Symbol	Locus Link Gene Name	Variation
ANGPTL1	angiopoietin-like 1 precursor; angiopoietin Y1; angiopoietin 3	Down-Regulated
C1R	complement component 1, r subcomponent	Down-Regulated
C7	complement component 7	Down-Regulated
CCL21	chemokine (C-C motif) ligand 21	Down-Regulated
CXCL2	chemokine (C-X-C motif) ligand 2	Down-Regulated
DCN	Decorin	Down-Regulated
DF	D component of complement (adipsin)	Down-Regulated
DKFZp434B1231	eEF1A2 binding protein	Down-Regulated
DPYSL3	dihydropyrimidinase-like 3	Down-Regulated
ECRG4	esophageal cancer related gene 4 protein	Down-Regulated
ENPP1	ectonucleotide pyrophosphatase/phosphodiesterase 1	Down-Regulated
FBLN2	fibulin 2	Down-Regulated
FGL2	Fibrinogen-like 2	Down-Regulated
FLJ14351	NA	Down-Regulated
FLJ38736	NA	Down-Regulated
FLJ44318	NA	Down-Regulated
GAS1	growth arrest-specific 1	Down-Regulated
GBP1	guanylate binding protein 1, interferon-inducible, 67kDa	Down-Regulated
GEM	GTP binding protein overexpressed in skeletal muscle	Down-Regulated
HBB	hemoglobin, beta	Down-Regulated
HFL1	H factor (complement)-like 1	Down-Regulated
KIAA0450	NA	Down-Regulated
KLF2	Kruppel-like factor 2	Down-Regulated
LUM	Lumican	Down-Regulated
MLF1	myeloid leukemia factor 1	Down-Regulated
MRC2	mannose receptor, C type 2	Down-Regulated
MUC15	mucin 15	Down-Regulated
NESHBP	DKFZP586L2024 protein	Down-Regulated
P8	p8 protein (candidate of metastasis 1)	Down-Regulated
PCP4	Purkinje cell protein 4	Down-Regulated
PGM5	phosphoglucomutase 5	Down-Regulated
PLA2R1	phospholipase A2 receptor 1, 180kDa	Down-Regulated
PTTG1	pituitary tumor-transforming 1	Down-Regulated
SELE	selectin E (endothelial adhesion molecule 1)	Down-Regulated
SMOC2	secreted modular calcium-binding protein 2	Down-Regulated
SPON2	spondin 2, extracellular matrix protein	Down-Regulated
ST6GalII	alpha 2,6-sialyltransferase	Down-Regulated
