Gene Description	Gene symbol	Entrez gene ID	p value	Fold change
S100 calcium binding protein P	S100P	6286	2·54×10–¹²	6·29558
Topoisomerase (DNA) II alpha 170 kDa	TOP2A	7153	5·66×10–¹?	4·39159
Fibronectin 1	FN1	2335	6·97×10–¹?	4·39094
Cysteine-rich protein 1 (intestinal)	CRIP1	1396	3·19×10–¹¹	4·1885
Asporin (LRR class 1)	ASPN	54 829	3·31×10–¹³	4·0611
Pituitary tumor-transforming 1	PTTG1	9232	5·86×10–¹?	4·06022
Centromere protein F, 350/400ka (mitosin)	CENPF	1063	1·51×10–¹?	4·05831
Interferon, alpha-inducible protein 27	IFI27	3429	7·25×10–?	3·62518
Neuroepithelial cell transforming gene 1	NET1	10 276	2·25×10–¹²	3·36536
Histone 1, H2bk	HIST1H2BK	85 236	1·91×10–?	3·34682
Collagen triple helix repeat containing 1	CTHRC1	115 908	2·51×10–¹?	3·16779
Ubiquitin-conjugating enzyme E2T (putative)	UBE2T	29 089	1·84×10–¹?	3·07706
ISG15 ubiquitin-like modifi er	ISG15	9636	3·00×10–?	3·05069
Antigen identifi ed by monoclonal antibody Ki-67	MKI67	4288	2·37×10–¹?	2·99129
N-acetyltransferase 1 (arylamine N-acetyltransferase)	NAT1	9	1·40×10–?	2·95928
Asp (abnormal spindle)-like, microcephaly associated (drosophila)	ASPM	259 266	1·17×10–¹?	2·95575
Chromosome condensation protein G	NCAPG	64 151	7·07×10–¹³	2·83205
G protein-coupled receptor, family C, group 5, member A	GPRC5A	9052	1·46×10–¹²	2·72864
Nucleolar and spindle associated protein 1	NUSAP1	51 203	1·41×10–¹?	2·68957
TPX2, microtubule-associated, homologue (Xenopus laevis)	TPX2	22 974	4·26×10–¹?	2·67136
Discs, large homologue 7 (drosophila)	DLGAP5	9787	5·63×10–¹³	2·66528
NEL-like 2 (chicken)	NELL2	4753	4·14×10–?	2·62658
Cyclin B1	CCNB1	891	2·35×10–¹³	2·59767
Bone-marrow stromal-cell-antigen 2	BST2	684	2·29×10–?	2·59568
Breast carcinoma amplifi ed sequence 1	BCAS1	8537	1·74×10–?	2·5612
Kinesin family member 23	KIF23	9493	3·20×10–¹?	2·50707
