mRNA	hESC	hNPC	Gliomas(average)
hsa-mir-106a	4.55	15.33	4.32
hsa-mir-106b	10.87	13.57	5.68
hsa-mir-10a	0.28	9.47	30.53
hsa-mir-10b	4.89	65.21	107.6
hsa-mir-17	252,108.25	48.57	40627.83
hsa-mir-19a	19.78	23.1	10.35
hsa-mir-19b-1	23.11	23.87	17.21
hsa-mir-20a	19.41	18.66	7.08
hsa-mir-21	7.7	0.81	9.77
hsa-mir-25	8.86	23.04	9.8
hsa-mir-92a-1	12.93	17.91	6.97
hsa-mir-93	48.59	ND	13.52
hsa-mir-96	23.23	8.6	19.04
hsa-mir-130a	41.55	44.57	9.41
hsa-mir-130b	14.93	83.4	8.04
hsa-mir-135b	65.69	469.9	2.5
hsa-mir-141	551.68	21.2	6.33
hsa-mir-155	9.36	0.18	33.51
hsa-mir-182	156.25	97.14	195.16
hsa-mir-182	14.47	1.21	49.62
hsa-mir-183	467.46	48.57	90.75
hsa-mir-188	4.04	17.11	8.52
hsa-mir-193a	6.76	1.76	20.84
hsa-mir-200c	854.35	24.68	6.17
hsa-mir-205	1680.51	106.9	18.8
hsa-mir-206	1.38	15.71	4.99
hsa-mir-208a	0.48	11.42	34.31
hsa-mir-210	11.99	54.8	57.02
hsa-mir-216b	0.07	127.5	5.93
hsa-mir-217	0.21	944.3	4.32
hsa-mir-296	18.02	5.87	13.37
hsa-mir-301a	22.26	39.29	3.8
hsa-mir-302a	1002856.52	356.3	9.84
hsa-mir-302b	599617.84	22.96	3.56
hsa-mir-302b	10769.65	192.2	56.14
hsa-mir-302c	187779.99	141	2.92
hsa-mir-302c	36704.87	34.85	10.5
hsa-mir-302d	408134.12	482.7	4.85
hsa-mir-320a	1.67	4.9	10.42
hsa-mir-367	814572.61	211.7	4.98
hsa-mir-371	1508.28	1.77	104.64
hsa-mir-372	263909.5	630.4	1,797.98
hsa-mir-373	28.58	0.2	7.1
