Gene symbol	Gene name	LMS/WT	Function
E2f1	E2F transcription factor 1	3.2	Transcription factors
Twist	Twist gene homolog, (Drosophila)	3.2	Transcription factors
Idb4	Inhibitor of DNA binding 4	3.5	Transcription factors
Nfe2	Nuclear factor, erythroid derived 2	3.8	Transcription factors
Igf1	Insulin-like growth factor 1	3.2	Signaling molecules
Cdc711	Cell division cycle 71 hom.-like 1	4	Signaling molecules
Sfrp2	Sec. frizzled-related seq protein 2	3.4	Signaling molecules
Wisp1	WNT1 ind. sig. pathway protein 1	5	Signaling molecules
Rb1	Retinoblastoma 1	2.1	Signaling molecules
Rb11	Retinoblastoma-like 1 (p107)	2.5	Signaling molecules
Myc	Myelocytomatosis oncogene	2.4	Signaling molecules
Map3k8	Mitogen act, protein 3 kinase 8	5.5	Signaling molecules
Rac2	RAS-rel C3 botulinum substrate 2	4.5	Signaling molecules
Rrad	Ras-rel. associated with diabetes	5	Signaling molecules
Gdf10	Growth differentiation factor 10	3.7	Signaling molecules
Sh3d2c2	SH3 domain protein 2C2	3.6	Signaling molecules
Ltbp1	Latent Tgf beta binding protein 1	3.4	Signaling molecules
Csrp2	Cysteine-rich protein 2	3.4	Signaling molecules
Fhl1	Four and a half LIM domains 1	3.2	Signaling molecules
Pscdbp	PH, Sec7, coil./coil dom bind. prot.	3.1	Signaling molecules
Mmp8	Matrix metalloproteinase 8	14.1	Adhesion and ECM
Mmp9	Matrix metalloproteinase 9	7	Adhesion and ECM
Tnc	Tenascin C	5	Adhesion and ECM
Thbs2	Thrombospondin 2	4	Adhesion and ECM
Itgb2	Integrin beta 2	5.9	Adhesion and ECM
Cdh13	Cadherin 13	4.2	Adhesion and ECM
Selp	Selectin, platelet	5.4	Adhesion and ECM
Ncam1	Neural cell adhesion molecule 1	4.8	Adhesion and ECM
Gjb6	Gap junction mem. channel prot.  Beta6	8.7	Adhesion and ECM
Sgcg	Sarcoglycan, gamma	5.5	Adhesion and ECM
Myla	Myosin light chain, alk. card. atria	18.5	Other genes
Myom1	Myomesin 1	4.6	Other genes
Acta2	Actin, alpha 2, sm. muscle, aorta	1.6	Other genes
Actg2	Actin, gamma 2, smooth muscle	1.5	Other genes
Acta1	Actin, alpha 1, skeletal muscle	1.8	Other genes
Cnn1	Calponin 1	1.9	Other genes
Cnn2	Calponin 2	3.5	Other genes
Gria2	Glutamate rec., ionotropic, AMPA2	11.9	Other genes
S100a4	S100 calcium binding protein A4	3.3	Other genes
Ltb4r1	Leukotriene B4 receptor 1	4.7	Other genes
