Gene name	PCOS/NL Untreated	PCOS/NL Forskolin	Functional category
Wnt 5A	0.56	0.44	Secreted factor
Atrial natiruretic peptide receptor C	0.56	0.45	Secreted factor
Transmembrane protein TMEFF1	0.47	0.49	Transmembrane receptor
Putative transmembrane protein (nma)	1.6	1.59	Transmembrane receptor
G-protein-coupled receptor 51	0.44	0.35	G-protein-coupled receptor
Adenosine A2 receptor	1.87	1.64	G-protein-coupled receptor
cAMP-GEFII	2.7	2.04	Intracellular signaling
ARF-like 6-interacting protein	2.14	1.43	Intracellular signaling
Aldehyde dehydrogenase 3, member A2	1.57	1.55	Fatty acid metabolism
Peroxisomal D3, D2-enoyl CoA isomerase	1.39	1.46	Fatty acid metabolism
Retinol dehydrogenase 2 (RoDH2)	3.29	4.06	Retinol metabolism
Aldehyde dehydrogenase 6	1.98	2.94	Retinol metabolism
Carbonyl reductase	1.61	1.54	Lipid metabolism
Phosphoribosylamine imidazole carboxylase	1.38	1.44	Nucleotide metabolism
SERPING (C1 inhibitor)	2.04	2.03	Protein modification
Clusterin	2.18	2.62	Protein modification
Phosphomannomutase 2	1.66	1.88	Protein modification
I factor	2.46	1.6	Protein modification
Cyt19 protein	1.63	1.72	Protein modification
CALL-A (CD10)	0.32	0.43	Protein degradation
Heparanase	1.79	2.27	Protein degradation
Eukaryotic translation initiation factor 2gamma	0.52	0.28	Protein translation
Cytochrome b[subscript 5]	1.64	1.59	Steroidogenesis
Flavin containing monooxygenase 2	0.45	0.42	Oxidation
GATA-binding protein 6	2.91	2.76	Transcription factor
Paired box gene 4	0.43	0.45	Transcription factor
Collagen type Ialpha1	0.43	0.48	Structural proteins
Collagen type XValpha1	0.18	0.2	Structural proteins
Neurofilament heavy polypeptide	2.41	1.88	Structural proteins
Myosin X	1.5	1.53	Structural proteins
SPARC-like 1 (mast9, hevin)	0.48	0.31	Cell adhesion
RPE-spondin	2.63	2.28	Cell adhesion
Vascular cell adhesion molecule 1	2.22	3.27	Cell adhesion
Desmoplakin	0.42	0.49	Cell adhesion
Tazarotene-induced gene 1 (TIG1)	3.46	4.24	Cell adhesion
Integrin alpha10	0.53	0.47	Cell adhesion
Annexin A3	1.82	2.25	Cell surface antigens
Transmembrane 4 superfamily 3	5.19	3.65	Cell surface antigens
Serologically defined colon cancer antigen 33	1.69	1.49	Cell surface antigens
Hematological and neurological expressed 1	1.49	1.51	Cell surface antigens
DKFZp434C171	2.92	2.22	Expressed sequence tags
IMAGE: 36221	2.55	2.82	Expressed sequence tags
IMAGE: 1734421	1.58	2.02	Expressed sequence tags
IMAGE: 266631	1.92	2.11	Expressed sequence tags
IMAGE: 1577789	0.28	0.47	Expressed sequence tags
HSPC125	1.53	1.58	Expressed sequence tags
FLJ11653	1.62	1.86	Expressed sequence tags
MGC27171	1.68	1.51	Expressed sequence tags
IMAGE: 3355383	1.53	1.52	Expressed sequence tags
IMAGE: 4473737	1.72	1.45	Expressed sequence tags
