Symbol	Accession No.	Sequence Description	10A	H	N	Log2N/10A	Log2H/10A	Comparison
BC010432	BC010432	CDNA clone IMAGE:3528357	1.04	0.36	1.1	0.09	-1.54	N>10A>H
CAV1	NM_001753	Caveolin 1, caveolae protein, 22 kDa	1.2	0.62	1.2	0	-0.95	N=10A>H
PLS3	NM_005032	Plastin 3 (T isoform)	1.44	0.78	1.03	-0.48	-0.87	10A>N>H
CAV1	NM_001753	Caveolin 1, caveolae protein, 22 kDa	1.1	0.6	1.09	-0.01	-0.87	10A>N>H
CAMSAP1	AL834528	Calmodulin regulated spectrin-associated protein 1	1.09	0.63	1.3	0.26	-0.79	N>10A>H
IGHG1	L04336	Immunoglobulin heavy constant gamma1	1.01	0.58	1.19	0.24	-0.78	N>10A>H
VPRBP	BC022792	KIAA0800 gene product	1.17	0.69	0.93	-0.33	-0.76	10A>N>H
NRP1	AF280547	Neuropilin 1	0.99	0.59	1.16	0.22	-0.76	N>10A>H
RP9	NM_203288	Retinitis pigmentosa 9 (autosomal dominant)	1.37	0.81	1.06	-0.38	-0.76	10A>N>H
MADH4	NM_005359	ElaC homologue 1 (E. coli )	1.09	0.67	1.16	0.09	-0.71	N>10A>H
CAV3	NM_001234	Caveolin 3	1.09	0.67	1.11	0.02	-0.7	N>10A>H
ZFP95	NM_014569	Zinc finger protein 95 homologue (mouse)	0.88	0.56	1.2	0.44	-0.66	N>10A>H
HMG1	NM_002128	High-mobility group box 1	1.23	0.78	1	-0.30	-0.65	10A>N>H
MET	NM_000245	Met proto-oncogene (hepatocyte growth factor receptor)	1.18	0.76	1.02	-0.20	-0.62	10A>N>H
EPB41L1	NM_012156	Erythrocyte membrane protein band 4.1-like 1	1	0.65	1.09	0.12	-0.61	N>10A>H
GYPB	NM_002100	Glycophorin B (MNS blood group)	1	0.69	1.04	0.06	-0.53	N>10A>H
A_32_P235289		Unknown	1.03	0.71	1.02	-0.01	-0.53	10A>N>H
A_24_P127042		Unknown	1.04	0.73	1.14	0.13	-0.52	N>10A>H
A_32_P219554		Unknown	1.04	0.73	1	-0.06	-0.5	10A>N>H
THC1856939		AK122508 mKIAA1424 protein (Mus musculus), partial (25%; THC1856939)	1	0.72	1.1	0.14	-0.49	N>10A>H
