A549	Calu6	H1299	BEAS2B	MCF-10A	Genesymbol	Genename	FDR(%)
3.5	2.9	3.7	1.3	1.7	ANXA1	AnnexinA1	2.6
-1.7	-1.5	-1.5	-1.3	-1.5	CASP3	Caspase3,apoptosis-relatedcysteinepeptidase	0
2.6	2.5	2.3	1.5	2.3	CASP7	Caspase7,apoptosis-relatedcysteinepeptidase	0
1.4	1.6	2.7	1.9	1.6	COL9A3	Collagen,typeIX,alpha3	0.8
2.2	2.4	1.7	1.5	1.9	CTNNB1	Catenin(cadherin-associatedprotein),beta1( -catenin)	12.6
3.4	2	3	2	1.3	KLF2	Kruppel-likefactor2(lung)	12.6
4.7	5.3	2.5	1.8	3	LAMC1	Laminin,gamma1	0
2	2.4	3.7	1.7	1.8	MDK	Midkine(neuritegrowth-promotingfactor2)	9.3
-2.5	-4	-1.5	-1.7	-4.2	NRAS	NeuroblastomaRASviral(v-ras)oncogenehomolog	0
2.4	2.2	1.9	1.5	1.5	RAC1	ras-RelatedC3botulinumtoxinsubstrate1(rhofamily,smallGTP-bindingprotein)	0
2.4	2.1	3.1	1.9	2.4	RECK	Reversion-inducing-cysteine-richproteinwithkazalmotifs	0.4
