Gene	Unigene	Map	Gene function	Wilcoxon p-value aGU/dGS+aGS	aGU/dGS+aGS medians
APC	Hs.158932	5q21-q22	APC--adenomatosis polyposis coli	0.207	1.51
BIRC5	Hs.514527, Hs.645371	17q25	apoptosis inhibitor 4 (survivin)	0	1.73
BUB1	Hs.469649	15q15	BUB1B--BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast)	0.7516	1.1
CCND1	Hs.523852	11q13	CCND1-cyclin D1 (PRAD1: parathyroid adenomatosis 1)	0.0308	0.79
CCND1	Hs.523852	11q13	CCND1--cyclin D1 (PRAD1: parathyroid adenomatosis 1)	0.0025	0.66
CCND3	Hs.534307	6p21	CCND3--cyclin D3	0.9533	0.94
CCNE1	Hs.244723	19q12	CCNE1--cyclin E1	0.0001	1.86
CDH1	Hs.4610806	16q22.1	CDH1--cadherin 1, type 1, E-cadherin (epithelial)	0.4312	1.11
CCNA2	Hs.58974	4q25-q31	Cyclin A2	0.0224	1.89
FGFR1	Hs.264887	8p11.2-p11.1	FGFR1--fibroblast growth factor receptor 1 (fms-related tyrosine kinase 2, Pfeiffer syndrome)	0.1824	0.91
FGFR2	Hs.533683	10q26	FGFR2--fibroblast growth factor receptor 2 (bacteria-expressed kinase, keratinocyte growth factor receptor, craniofacial dysostosis 1, Crouzon syndrome, Pfeiffer syndrome, Jackson-Weiss syndrome)	0.8055	1.07
RB1CC1	Hs.196102	8p22-q21.13	RB1CC1--RB1-inducible coiled-coil 1	0.1333	1.08
RPS6KA1	Hs.149957	3	RPS6KA1--ribosomal protein S6 kinase, 90kDa, polypeptide 1	0.0813	1.16
SMC1A	Hs.211602, Hs.594093	Xp11.22-p11.21	SMC1A--SMC1 structural maintenance of chromosomes 1-like 1 (yeast); segregation of mitotic chromosome 1	0.2247	0.88
ST7	Hs.368131	7	ST7--suppression of tumorigenicity 7	0.4175	0.93
AURKA	Hs.250822	20q13.2-q13.3	STK15--serine/threonine kinase 15	0	1.87
TP53	Hs.408312	17p13.1	TP53--tumor protein p53 (Li-Fraumeni syndrome)	0.1529	1.34
RB1	Hs.408528	13q14.2	RB1--retinoblastoma 1	NA	4.11
