Hugo ID	Name
LGALS3	Lectin, galactoside-binding, soluble, 3 (galectin-3)
CASP3	Caspase 3
CASP3	Caspase 3
CASP3	Caspase 3
NCSTN	KIAA0253 (Nicastrin)
PRKCSH	Protein kinase C substrate 80K-H
LRPAP1	Low-density lipoprotein-related protein-associated protein 1
PSEN1	Presenilin 1 (Alzheimer disease 3)
CTNNA1	Alpha-catenin
ECE1	Endothelin converting enzyme 1
NPEPPS	Aminopeptidase (puromycin sensitive)
CAPN4	Calpain, small polypeptide
HADH2	Short-chain alcohol dehydrogenase (ERAB)
APBB2	Stat-like protein (Fe65)
BCHE	Butyrylcholinesterase
