Acc no.	UniGene cluster	Gene name	Gene symbol	Relative mRNA levels (In)
U08020	Mm.22621	procollagen, type 1, alpha 1	Col1a1	-1.21 ± 0.41
M19729	Mm.1224	CD3 antigen, zeta polypeptide	Cd3z	-0.85 ± 0.07
AB041555	Mm.10009	RIKEN cDNA 2700043121 gene	2700043121Ri	-0.82 ± 0.13
AU017498	Mm.24764	expressed sequence AU017498		-0.78 ± 0.04
AJ223855	Mm.10762	titin-cap	Tcap	-0.77 ± 0.37
AF171086	Mm.15780	small inducible cytokine A21b (serine)	Scya21b	-0.71 ± 0.28
BC014853	Mm.80531	similar to phosphoinositol 3-phosphate-binding protein-2		-0.69 ± 0.07
AB013398	Mm.6660	small inducible cytokine A27	Scya27	-0.68 ± 0.30
AV280875	Mm.131639	EST		-0.68 ± 0.12
NM_030886	Mm.24624	gene trap ankyrin repeat	Gtar-pending	-0.63 ± 0.07
AF426314	Mm.33343	SH3GLB2 mRNA, complete cds		-0.60 ± 0.14
AF345994	Mm.4482	procollagen, type 1, alpha 2	Col1a2	-0.59 ± 0.20
NM_016874	Mm.28392	deformed epidermal autoregulatory factor 1 (Drosophila)	Deaf1	-0.59 ± 0.20
NM_009381	Mm.28585	thyroid hormone responsive SPOT14 homolog (Rattus)	Thrsp	-0.58 ± 0.25
M36084	Mm.3156	malate dehydrogenase, soluble	Mor2	-0.58 ± 0.16
AB030203	Mm.4266	integral membrane protein 2B	Itm2b	-0.57 ± 0.22
M20683	Mm.35439	secreted acidic cysteine rich glycoprotein	Sparc	-0.56 ± 0.26
AK008086	Mm.30130	RIKEN cDNA 2310022B03 gene	2310022B03Ri	-0.56 ± 0.24
NM_053178	Mm.20592	lipidosis-related protein lipidosin	Lpd	-0.56 ± 0.22
X61600	Mm.29994	enolase 3, beta muscle	Eno3	-0.54 ± 0.29
K02237	Mm.1000	myosin light chain, alkali, fast skeletal muscle	Mylf	-0.51 ± 0.19
AK002326	Mm.25808	guanosine monophosphate reductase	Gmpr	-0.50 ± 0.15
AK007427	Mm.196498	RIKEN cDNA 1810010N17 gene		-0.50 ± 0.12
NM_021791	Mm.40194	double C2, gamma	Doc2g	-0.50 ± 0.09
AF053943	Mm.4665	AE binding protein 1	Aebp1	-0.49 ± 0.22
U14556	Mm.4340	zinc finger protein 100	Zfp100	-0.49 ± 0.22
NM_027940	Mm.46155	RIKEN cDNA 1700001F09 gene	1700001F09Ri	-0.49 ± 0.17
D16195	Mm.1568	granulin	Grn	-0.48 ± 0.29
AK004732	Mm.28978	RIKEN cDNA 1200013A08 gene	1200013A08Ri	-0.48 ± 0.20
Z22660	Mm.182440	apolipoprotein Cl	Apoc1	-0.48 ± 0.20
NM_010455	Mm.147	homeo box A7	Hoxa7	-0.48 ± 0.06
