Category/function	Affymetrix no.	Accession no.	Gene title	Gene symbol	6 h; Number of compounds that up-regulated genes	24 h; Number of compounds that up-regulated genes
Lipid metabolism/phospholipid degradation	210980_s_at	U47674	N-acylsphingosine amidohydrolase (acid ceramidase) 1	ASAH1	0	6
Lipid metabolism/phospholipid degradation	213702_x_at	AI934569	N-acylsphingosine amidohydrolase (acid ceramidase) 1	ASAH1	0	7
Lipid metabolism/phospholipid degradation	213624_at	AA873600	Sphingomyelin phosphodiesterase, acid-like 3A	SMPDL3A	3	6
Lipid metabolism/phospholipid degradation	219722_s_at	NM_024307	Hypothetical protein MGC4171	MGC4171	0	7
Lipid metabolism/cholesterol biosynthesis	205822_s_at	NM_002130	3-Hydroxy-3-methylglutaryl-Coenzyme A synthase 1 (soluble)	HMGCS1	10	4
Lipid metabolism/cholesterol biosynthesis	202539_s_at	AL518627	3-Hydroxy-3-methylglutaryl-Coenzyme A reductase	HMGCR	9	4
Lipid metabolism/cholesterol biosynthesis	202540_s_at	NM_000859	3-Hydroxy-3-methylglutaryl-Coenzyme A reductase	HMGCR	11	5
Lipid metabolism/cholesterol biosynthesis	213562_s_at	BF979497	Squalene epoxidase	SQLE	7	3
Lipid metabolism/cholesterol biosynthesis	202245_at	AW084510	Lanosterol synthase (2,3-oxidosqualene-lanosterol cyclase)	LSS	4	6
Lipid metabolism/cholesterol biosynthesis	211019_s_at	D63807	Lanosterol synthase (2,3-oxidosqualene-lanosterol cyclase)	LSS	3	6
Lipid metabolism/cholesterol biosynthesis	201790_s_at	AW150953	7-Dehydrocholesterol reductase	DHCR7	4	6
Lipid metabolism/cholesterol biosynthesis	201791_s_at	NM_001360	7-Dehydrocholesterol reductase	DHCR7	4	6
Lipid metabolism/regulation of cholesterol metabolism	206410_at	NM_021969	Nuclear receptor subfamily 0, group B, member 2	NR0B2	0	8
Lipid metabolism/cholesterol metabolism	201847_at	NM_000235	Lipase A, lysosomal acid, cholesterol esterase (Wolman disease)	LIPA	0	6
Lipid metabolism/fatty acid biosynthesis	204256_at	NM_024090	ELOVL family member 6, elongation of long chain fatty acids (FEN1/Elo2, SUR4/Elo3-like, yeast)	ELOVL6	5	6
Lipid metabolism/fatty acid biosynthesis	210868_s_at	BC001305	ELOVL family member 6, elongation of long chain fatty acids (FEN1/Elo2, SUR4/Elo3-like, yeast)	ELOVL6	4	6
Lipid metabolism/fatty acid biosynthesis	211708_s_at	BC005807	Stearoyl-CoA desaturase (delta-9-desaturase)	SCD	8	6
Lipid metabolism/fatty acid biosynthesis	211162_x_at	AF116616	Stearoyl-CoA desaturase (delta-9-desaturase)	SCD	7	7
Lipid metabolism/fatty acid alpha-oxidation	203335_at	NM_006214	Phytanoyl-CoA hydroxylase (Refsum disease)	PHYH	0	9
Lipid metabolism/fatty acid transport	205892_s_at	NM_001443	Fatty acid binding protein 1, liver	FABP1	0	9
Lipid metabolism/lysosome enzyme	200742_s_at	BG231932	Ceroid-lipofuscinosis, neuronal 2, late infantile (Jansky-Bielschowsky disease)	CLN2	0	6
Cell cycle, proliferation, death	221577_x_at	AF003934	Prostate differentiation factor	PLAB	2	9
Cell cycle, proliferation, death	210587_at	BC005161	Activin beta E	INHBE	5	8
Cell cycle, proliferation, death	209230_s_at	AF135266	p8 protein (candidate of metastasis 1)	P8	7	7
Cell cycle, proliferation, death	218145_at	NM_021158	Chromosome 20 open reading frame 97	C20orf97	6	6
Cell cycle, proliferation, death	209101_at	M92934	Connective tissue growth factor	CTGF	0	6
Cell cycle, proliferation, death	200678_x_at	NM_002087	Granulin	GRN	0	6
Cell cycle, proliferation, death	216041_x_at	AK023348	Granulin	GRN	0	6
Cell cycle, proliferation, death	205302_at	NM_000596	Insulin-like growth factor binding protein 1	IGFBP1	3	6
Cell cycle, proliferation, death	202074_s_at	NM_021980	Optineurin	OPTN	0	6
Cell cycle, proliferation, death	200921_s_at	NM_001731	B-cell translocation gene 1, anti-proliferative	BTG1	9	3
Cell cycle, proliferation, death	202769_at	AW134535	Cyclin G2	CCNG2	8	3
Cell cycle, proliferation, death	202770_s_at	NM_004354	Cyclin G2	CCNG2	6	1
Transport	209921_at	AB040875	Solute carrier family 7, (cationic amino acid transporter, y+ system) member 11	SLC7A11	8	6
Transport	217678_at	AA488687	Solute carrier family 7, (cationic amino acid transporter, y+ system) member 11	SLC7A11	7	4
Transport	222071_s_at	BE552428	Solute carrier organic anion transporter family, member 4C1	SLCO4C1	4	6
Transport	209238_at	BE966922	syntaxin 3A	STX3A	1	7
Transport	219282_s_at	NM_015930	Transient receptor potential cation channel, subfamily V, member 2	TRPV2	1	6
Transport	209660_at	AF162690	Transthyretin (prealbumin, amyloidosis type I)	TTR	0	8
Proteolysis and peptidolysis	210944_s_at	BC003169	Calpain 3, (p94)	CAPN3	0	6
Proteolysis and peptidolysis	207300_s_at	NM_000131	Coagulation factor VII (serum prothrombin conversion accelerator)	F7	0	7
Proteolysis and peptidolysis	204934_s_at	NM_002151	Hepsin (transmembrane protease, serine 1)	HPN	0	10
Proteolysis and peptidolysis	202525_at	NM_002773	Protease, serine, 8 (prostasin)	PRSS8	1	7
Endopeptidase inhibition	205755_at	NM_002217	Pre-alpha (globulin) inhibitor, H3 polypeptide	ITIH3	0	7
Endopeptidase inhibition	202376_at	NM_001085	Serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3	SERPINA3	0	8
Endopeptidase inhibition	206239_s_at	NM_003122	Serine protease inhibitor, Kazal type 1	SPINK1	0	7
Miscellaneous	205047_s_at	NM_001673	Asparagine synthetase	ASNS	0	8
Miscellaneous	207076_s_at	NM_000050	Argininosuccinate synthetase	ASS	0	7
Miscellaneous	217783_s_at	NM_016061	Yippee protein	CGI-127	2	7
Miscellaneous	206457_s_at	NM_000792	Deiodinase, iodothyronine, type I	DIO1	4	6
Miscellaneous	205945_at	NM_000565	Interleukin 6 receptor	IL6R	2	6
Miscellaneous	218976_at	NM_021800	J domain containing protein 1	JDP1	3	6
Miscellaneous	212276_at	D80010	Lipin 1	LPIN1	8	2
Miscellaneous	212272_at	AA813260	Lipin 1	LPIN1	7	1
Miscellaneous	212274_at	AV705559	Lipin 1	LPIN1	7	4
Miscellaneous	204351_at	NM_005980	S100 calcium binding protein P	S100P	0	6
Miscellaneous	218638_s_at	NM_012445	Spondin 2, extracellular matrix protein	SPON2	0	6
Miscellaneous	206292_s_at	NM_003167	Sulfotransferase family, cytosolic, 2A, dehydroepiandrosterone (DHEA) -preferring, member 1	SULT2A1	0	7
Miscellaneous	206293_at	U08024	Sulfotransferase family, cytosolic, 2A, dehydroepiandrosterone (DHEA) -preferring, member 1	SULT2A1	0	7
Miscellaneous	210130_s_at	AF096304	Transmembrane 7 superfamily member 2	TM7SF2	0	6
Unknown/EST	205048_s_at	NM_003832			6	1
Unknown/EST	217188_s_at	AC_007182			6	6
Unknown/EST	209182_s_at	AI302100	Chromosome 10 open reading frame 10	C10orf10	4	9
Unknown/EST	209183_s_at	AL136653	Chromosome 10 open reading frame 10	C10orf10	3	9
Unknown/EST	220675_s_at	NM_025225	Chromosome 22 open reading frame 20	C22orf20	6	5
Unknown/EST	209560_s_at	U15979	Delta-like 1 homolog (Drosophila)	DLK1	0	6
Unknown/EST	213836_s_at	AW052084	Hypothetical protein FLJ10055	FLJ10055	3	7
Unknown/EST	203827_at	NM_017983	Hypothetical protein FLJ10055	FLJ10055	2	7
Unknown/EST	218843_at	NM_022823	Likely ortholog of mouse fibronectin type III repeat containing protein 1	FRCP1	2	9
Unknown/EST	212942_s_at	AB033025	KIAA1199 protein	KIAA1199	0	6
Unknown/EST	220437_at	NM_018687	Hepatocellular carcinoma-associated gene TD26	LOC55908	6	6
Unknown/EST	221864_at	AW517464	Hypothetical protein MGC13024	MGC13024	2	7
Unknown/EST	204985_s_at	NM_024108	Hypothetical protein MGC2650	MGC2650	0	7
Unknown/EST	202887_s_at	NM_019058	HIF-1 responsive RTP801	RTP801	7	4
