	Gene name	Function	Case 1; t-fibroblast/n-fibroblast Cell lines	Case 2; t-fibroblast/n-fibroblast Cell lines	Case 3; t-fibroblast/n-fibroblast Cell lines	Case 4; t-fibroblast/n-fibroblast Cell lines
Up-regulation	E2F2	Regulatory transcription factors	0.7/0.1	4/N	2.6/N	1.3/0.5
Up-regulation	MLH1	Tumor suppressor gene/apoptosis	1.8/N	1.6/N	1.4/N	1.1/N
Up-regulation	Talin	Cell adhesion protein	12.8/6.1	16.7/9.4	6.4/N	24.3/5.3
Up-regulation	TGFbRI	Membrane receptors	2.5/0.2	1.1/N	2.9/1.3	0.6/N
Up-regulation	TPA	Signaling Intermediates	2.1/0.5	1.2/N	1.6/0.7	0.9/N
Down-regulation	Bcl-x	Tumor suppressor gene	2.4/20.6	N/1.3	N/0.7	0.1/4.3
Down-regulation	CD4	Lymphocyte signaling	N/0.9	N/0.6	1.0/4.7	N/1.3
Down-regulation	Crk	Signaling Intermediates	1.3/5.7	1.3/3.0	2.1/7.7	0.4/2.0
Down-regulation	Cox1	Signaling Intermediates	0.5/5.1	N/3.4	N/2.5	2.1/4.4
Down-regulation	Eph	Membrane receptors	0.6/3.8	N/0.7	N/3.8	N/0.7
Down-regulation	FAS	Tumor suppressor gene/Apoptosis	N/1.4	N/0.3	N/2.6	N/1.8
Down-regulation	FGFR-4	Membrane receptors	N/2.4	1.0/2.2	N/1.2	N/0.1
Down-regulation	Flt1	Membrane receptors	N/0.6	N/1.7	N/2.3	N/2.3
Down-regulation	Mat1	Cell cycle proteins	2.0/3.0	N/1.0	N/0.1	N/N
Down-regulation	p120	Signaling Intermediates	N/1.0	N/2.3	N/2.3	N/1.6
Down-regulation	Smad3	Regulatory transcription factors	N/30.8	0.2/0.8	0.2/2.9	4.1/10.4
Down-regulation	VWF	Cell adhesion protein	N/5.3	N/0.1	0.6/1.9	N/0.6
