Biological Process	Gene Name	Regulation
Metabolism	FNTA	Up-Regulated
Metabolism	SMPD2	Up-Regulated
Metabolism	HADHSC	Down-Regulated
Metabolism	HAGH	Down-Regulated
Metabolism	PZP	Down-Regulated
Cell cycle	TRAF1	Down-Regulated
Signaling transduction	GDI1	Up-Regulated
Signaling transduction	ADRA1B	Down-Regulated
Signaling transduction	GPR37	Down-Regulated
Signaling transduction	RGR	Down-Regulated
Signaling transduction	RIT2	Down-Regulated
Structural protein	ECM2	Up-Regulated
Structural protein	ACTN1	Down-Regulated
Structural protein	ARPC2	Down-Regulated
Structural protein	ARGBP2	Down-Regulated
Structural protein	COL9A1	Down-Regulated
Structural protein	PFN1	Down-Regulated
Communication proteins	ARTN	Down-Regulated
Communication proteins	GAS	Down-Regulated
Communication proteins	NEGF2	Down-Regulated
Communication proteins	TNFRSF11B	Down-Regulated
Communication proteins	NRTN	Down-Regulated
Transcription	SNAPC1	Up-Regulated
Transcription	SNRPB2	Up-Regulated
Transcription	SNAPC3	Up-Regulated
Transcription	SMARCD1	Up-Regulated
Transcription	GTF2F1	Down-Regulated
Transcription	TLE3	Down-Regulated
Transcription	PPARBP	Down-Regulated
Transcription	IKBKG	Down-Regulated
Transcription	DDX16	Down-Regulated
Transduction	STXBP2	Down-Regulated
Transduction	GOLGA2	Down-Regulated
DNArepair	RAD51	Down-Regulated
Transporters	MSR1	Down-Regulated
Transporters	SLC30A3	Down-Regulated
Receptors	ICAM5	Down-Regulated
Receptors	GABRA2	Down-Regulated
Functionally unclassified	TEGT	Up-Regulated
Functionally unclassified	APEG1	Down-Regulated
Functionally unclassified	TM4SF7	Down-Regulated
Functionally unclassified	SPRR2B	Down-Regulated
