Gene Symbol	Name
C16orf45	Chromosome 16 open reading frame 45
CAMK2N1	Calcium/calmodulin-dependent protein kinase II inhibitor 1
CCND1	Cyclin D1
COX6C	Cytochrome c oxidase subunit VIc
ERBB2	V-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)
ESR1	Estrogen receptor 1
FOXA1	Forkhead box A1
GATA3	GATA binding protein 3
GRB7	Growth factor receptor-bound protein 7
ID4	Inhibitor of DNA binding 4, dominant negative helix-loop-helix protein
IGFBP2	Insulin-like growth factor binding protein 2, 36kDa
INPP4B	Inositol polyphosphate-4-phosphatase, type II, 105kDa
KRT17	Keratin 17
NAT1	N-acetyltransferase 1 (arylamine N-acetyltransferase)
SEMA3C	Sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C
SLC39A6	Solute carrier family 39 (zinc transporter), member 6
SLC40A1	Solute carrier family 40 (iron-regulated transporter), member 1
SLC5A6	Solute carrier family 5 (sodium-dependent vitamin transporter), member 6
TMSB10	Thymosin, beta 10
XBP1	X-box binding protein 1
ACOX2	Acyl-Coenzyme A oxidase 2, branched chain
ANKRD27	Ankyrin repeat domain 27 (VPS9 domain)
C17orf63	Chromosome 17 open reading frame 63
CDH1	Cadherin 1, type 1, E-cadherin (epithelial)
CFB	Complement factor B
CHI3L2	Chitinase 3-like 2
CX3CL1	Chemokine (C-X3-C motif) ligand 1
CYB5A	Cytochrome b5 type A (microsomal)
DUSP4	Dual specificity phosphatase 4
ECHDC1	Enoyl Coenzyme A hydratase domain containing 1
ETFA	Electron-transfer-flavoprotein, alpha polypeptide (glutaric aciduria II)
FABP7	Fatty acid binding protein 7, brain
FADD	Fas (TNFRSF6)-associated via death domain
GSTT1	Glutathione S-transferase theta 1
HOXB6	Homeobox B6
IFI6	Interferon, alpha-inducible protein 6
IGLL1	Immunoglobulin lambda-like polypeptide 1
KIAA0182	KIAA0182
KRT13	Keratin 13
LAPTM4B	Lysosomal associated protein transmembrane 4 beta
MUC1	Mucin 1, cell surface associated
