	Change	Symbol	Gene name	Summary
Adenoma	up	CHK2	Checkpoint kinase 2	DNA repair
Adenoma	up	GADD45G	Growth arrest and DNA-damage inducible, gamma	DNA repair
Adenoma	up	GADD45A	Growth arrest and DNA-damage inducible, alpha	DNA repair
Adenoma	up	GADD45B	Growth arrest and DNA-damage inducible, beta	DNA repair
Adenoma	up	CHEK1	CHK1 checkpoint homolog (S. pombe)	DNA repair; signal transduction resulting in cell cycle arrest
Adenoma	up	NBS1	Nijmegen breakage syndrome 1 (nibrin)	Cell cycle checkpoint; damaged DNA binding; double-strand break repair
Adenoma	down	CCNA2	Cyclin A2	Promotes both cell cycle G1/S and G2/M transitions
Adenoma	down	CDC25C	Cell division cycle 25C	Triggers entry into mitosis
Adenoma	down	CDC14A	CDC14 cell division cycle 14 homolog A (S. cerevisiae)	Involved in the exit of cell mitosis and initiation of DNA replication
Adenoma	down	CDKN1C	Cyclin-dependent kinase inhibitor 1C (p57, Kip2)	Negative regulation of cell proliferation
Adenoma	down	BRCA1	Breast cancer 1, early onset	DNA repair
Adenoma	down	BRCA2	Breast cancer 2, early onset	DNA repair
Multiple gland neoplasia	up	NEFH	Neurofilament, heavy polypeptide 200 kd	Abnormalities in neural migration in brain development in Down Syndrome
Multiple gland neoplasia	up	NRP1	Neuropilin 1	Regulate VEGF-induced angiogenesis
Multiple gland neoplasia	up	PRX	Periaxin	Dejerine-Sottas neuropathy
Multiple gland neoplasia	up	PAFAH1B3	Platelet-activating factor acetylhydrolase, isoform Ib, gamma subunit 29 kd	Mental retardation
Multiple gland neoplasia	up	GLB1	Galactosidase, beta 1	GM1-gangliosidosis
Multiple gland neoplasia	up	IDUA	Iduronidase, alpha-L	Mucopolysaccharidosis Type I
Multiple gland neoplasia	up	HEXB	Hexosaminidase B (beta polypeptide)	Sandhoff disease (GM2-gangliosidosis type II)
Multiple gland neoplasia	up	GAA	Glucosidase, alpha; acid	Pompe’s disease
Multiple gland neoplasia	up	MANBA	Mannosidase, beta A, lysosomal	Beta-mannosidosis
Multiple gland neoplasia	up	NAGLU	N-acetylglucosaminidase, alpha	Sanfilippo syndrome, type B
Multiple gland neoplasia	up	GUSB	Glucuronidase, beta	Mucopolysaccharidosis type VII
Multiple gland neoplasia	up	MAN2B1	Mannosidase, alpha, class 2B, member 1	Mannosidosis, alpha Types I and II
