MicroRNAs	Hazard Ratio	95% CI	p-value	Unique ID
hsa-mir-134	0.33	0.15-0.69	0.004	MIMAT0000447
hsa-mir-502	0.28	0.11-0.73	0.009	MIMAT0002873
hsa-mir-564	3.65	1.38-9.70	0.009	MIMAT0003228
hsa-mir-25	0.56	0.36-0.87	0.01	MIMAT0000081
hsa-let-7e	0.51	0.31-0.85	0.01	MIMAT0000066
hsa-mir-557	2.23	1.19-4.17	0.012	MIMAT0003221
hsa-mir-663	1.64	1.10-2.43	0.015	MIMAT0003326
hsa-mir-130a	0.41	0.20-0.84	0.015	MIMAT0000425
hsa-mir-574	0.45	0.24-0.86	0.015	MIMAT0003239
hsa-mir-302c	2.75	1.20-6.34	0.017	MIMAT0000716
hsa-let-7g	0.78	0.63-0.96	0.02	MIMAT0000414
hsa-let-7a-1	0.74	0.57-0.96	0.021	MIMAT0000062
hsa-mir-26b	0.76	0.60-0.97	0.026	MIMAT0000083
hsa-mir-638	1.55	1.05-2.29	0.027	MIMAT0003308
hsa-mir-491	1.56	1.05-2.34	0.029	MIMAT0002807
hsa-mir-198	2.35	1.07-5.13	0.033	MIMAT0000228
hsa-mir-373	1.71	1.03-2.84	0.039	MIMAT0000725
hsa-let-7d	0.67	0.46-0.98	0.04	MIMAT0000065
hsa-mir-29b-1	0.77	0.60-0.99	0.04	MIMAT0000100
hsa-mir-513a-1	1.89	1.02-3.49	0.043	MIMAT0002877
hsa-mir-191	0.66	0.44-0.99	0.045	MIMAT0000440
hsa-mir-93	0.69	0.48-0.99	0.045	MIMAT0000093
hsa-mir-107	0.69	0.48-0.99	0.045	MIMAT0000104
hsa-mir-503	1.9	1.01-3.59	0.047	MIMAT0002874
hsa-mir-103-1	0.7	0.48-1.00	0.05	MIMAT0000101
