ABC DLBCL P-Value	GCB DLBCL P-value	Gene Name
2.2 E-26	NA	IRF-4 transcription factor
8.5 E-23	NA	N-Acetyl-beta-D-glucosaminide (ER)
7.1 E-17	NA	putative nucleotide binding protein, estradiol induced
4.2 E-14	NA	CASP8 and FADD-like apoptosis regulator
5.6 E-14	NA	Signal sequence receptor epsilon (ER)
2.5 E-12	NA	Potassium voltage-gated channel shaker-related 3
3.0 E-12	NA	UDP-GAL: beta GLcNAc beta1, 4-galactosyltransferase 2 (golgi)
NA	7.0 E-11	Uridine phosphorylase
3.6 E-10	NA	FKBP19 (ER)
4.0 E-10	NA	Elongation factor-2 kinase
2.6 E-9	NA	Peptidylprolyl isomerase B (ER)
4.1 E-9	NA	Dual specificity phosphatase 5
1.0 E-8	NA	FLJ23412
2.2 E-8	NA	pM5
1.4 E-7	NA	XBP1 transcription factor
NA	2.0 E-7	RGC32
6.7 E-6	NA	RAB-30
1.2 E-5	NA	Caspase-10
1.4 E-5	NA	Signal sequence receptor (ER)
1.6 E-5	NA	Glucosidase I (ER)
2.1 E-5	NA	Pro-apoptotic caspase-2/9 binding protein
2.9 E-5	NA	Protein phosphatase 1 regulatory inhibitor subunit 2
4.2 E-5	NA	Protein disulfide isomerase-related (ER)
NA	9.4 E-5	Integrin alpha 6
