Agilent ProbeName	GeneID	GeneName	logFC	P.Value	adj.P.Val
A_17_P00518973	TPM3	TROPOMYOSIN 3	1.403476401	6.11E-11	2.06E-06
A_17_P15807547	GLP1R	GLUCAGON-LIKE PEPTIDE 1 RECEPTOR	2.033148517	4.45E-11	2.06E-06
A_17_P02616735	FAIM	FAS APOPTOTIC INHIBITORY MOLECULE	2.138044417	1.23E-09	2.78E-05
A_17_P09164877	SLC7A7-MRPL52	SOLUTE CARRIER FAMILY 7- MITOCHONDRIAL RIBOSOMAL PROTEIN L52	1.633413619	2.66E-09	4.49E-05
A_17_P11104464	INSM1	INSULINOMA-ASSOCIATED 1	1.057881565	3.35E-09	4.53E-05
A_17_P17094190	CIRBP	COLD INDUCIBLE RNA BINDING PROTEIN	1.34282502	1.22E-08	9.14E-05
A_17_P10950401	ZNF565	ZINC FINGER PROTEIN 565	1.569237134	8.78E-09	9.14E-05
A_17_P00243109	USP1	UBIQUITIN SPECIFIC PEPTIDASE 1	1.26375841	1.10E-08	9.14E-05
A_17_P05267666	TTYH3	TWEETY HOMOLOG 3 (DROSOPHILA)	0.860791999	1.22E-08	9.14E-05
A_17_P08372904	TMEM4	TRANSMEMBRANE PROTEIN 4	0.894377067	3.23E-08	0.000218302
A_17_P09776394	CHRNB4	CHOLINERGIC RECEPTOR, NICOTINIC, BETA 4	0.92055061	4.96E-08	0.000304373
A_17_P11512219	PHF5A-ACO2	PHD FINGER PROTEIN 5A - ACONITASE 2, MITOCHONDRIAL	1.117489343	5.52E-08	0.000310167
A_17_P10903736	ARRDC2	ARRESTIN DOMAIN CONTAINING 2	0.92361981	6.04E-08	0.000313631
A_17_P11115813	FOXA2	FORKHEAD BOX A2	0.814303921	6.96E-08	0.000322597
A_17_P01583195	ARL6IP6	ADP-RIBOSYLATION-LIKE FACTOR 6 INTERACTING PROTEIN 6	0.938192943	7.17E-08	0.000322597
A_17_P16519090	OPCML	OPIOID BINDING PROTEIN/CELL ADHESION MOLECULE-LIKE	0.762732917	8.73E-08	0.000327444
A_17_P00527546	CCT3	CHAPERONIN CONTAINING TCP1, SUBUNIT 3 (GAMMA)	1.213241696	8.71E-08	0.000327444
A_17_P06697222	STOML2	STOMATIN (EPB72)-LIKE 2	0.874591641	9.73E-08	0.000345691
A_17_P01063270	SLC30A3	SOLUTE CARRIER FAMILY 30 (ZINC TRANSPORTER), MEMBER 3	1.331131324	1.05E-07	0.000353185
A_17_P00175411	TESK2-MMACHC	TESTIS-SPECIFIC KINASE 2 - METHYLMALONIC ACIDURIA (COBALAMIN DEFICIENCY) CBLC TYPE, WITH HOMOCYSTINURIA	0.725624734	1.15E-07	0.000370684
