GO category	p-value(GO)	Gene Symbol	Common Name	Entrez ID	Fold Change	p-value
response to stress	7.03E-03	FANCB	Fanconi anemia, complementation group B	2187	-4.52	0.0089
response to stress	7.03E-03	NEIL3	nei endonuclease VIII-like 3 (E. coli)	55247	-4.13	0.009
response to stress	7.03E-03	CYP4F11	cytochrome P450, family 4, subfamily F, polypeptide 11	57834	-3.95	0.0095
response to stress	7.03E-03	CXCL3	chemokine (C-X-C motif) ligand 3	2921	-3.86	0.0095
response to stress	7.03E-03	H2AFX	H2A histone family, member X	3014	-3.76	0.0097
response to stress	7.03E-03	TBXAS1	thromboxane A synthase 1 (platelet, cytochrome P450, family 5, subfamily A)	6916	-3.73	0.0098
response to stress	7.03E-03	IL11	interleukin 11	3589	-3.4	0.0107
response to stress	7.03E-03	POLE	polymerase (DNA directed), epsilon	5426	-3.4	0.0133
response to stress	7.03E-03	RIF1	RAP1 interacting factor homolog (yeast)	55183	-3.29	0.0063
response to stress	7.03E-03	GTSE1	G-2 and S-phase expressed 1	51512	-3.23	0.01
response to stress	7.03E-03	RECQL4	RecQ protein-like 4	9401	-3.06	0.0119
response to stress	7.03E-03	EREG	epiregulin	2069	-3.05	0.0119
response to stress	7.03E-03	FANCD2	Fanconi anemia, complementation group D2	2177	-3.05	0.0119
response to stress	7.03E-03	POLQ	polymerase (DNA directed), theta	10721	-3.02	0.0121
response to stress	7.03E-03	TP53I11	tumor protein p53 inducible protein 11	9537	-3.01	0.0132
DNA metabolism	1.06E-05	FANCB	Fanconi anemia, complementation group B	2187	-4.52	0.0089
DNA metabolism	1.06E-05	SOX2	SRY (sex determining region Y)-box 2	6657	-4.31	0.0087
DNA metabolism	1.06E-05	NEIL3	nei endonuclease VIII-like 3 (E. coli)	55247	-4.13	0.009
DNA metabolism	1.06E-05	H2AFX	H2A histone family, member X	3014	-3.76	0.0097
DNA metabolism	1.06E-05	NEFH	neurofilament, heavy polypeptide 200kDa	4744	-3.75	0.0117
DNA metabolism	1.06E-05	SOX2	SRY (sex determining region Y)-box 2	6657	-3.7	0.0098
DNA metabolism	1.06E-05	CDT1	chromatin licensing and DNA replication factor 1	81620	-3.56	0.004
DNA metabolism	1.06E-05	SOX21	SRY (sex determining region Y)-box 21	11166	-3.55	0.0106
DNA metabolism	1.06E-05	CDC45L	CDC45 cell division cycle 45-like (S. cerevisiae)	8318	-3.46	0.0052
