Accession ID	Gene name	Fold change	P-value
R60170	Guanine deaminase	18	0.0002
W85851	Homo sapiens chromosome 16 BACclone	10.6	0.0002
H86812	Heparan sulfate (glucosamine) 3-O-sulfotransferase 1	7.9	0.0001
AA496334	Dynamin 1	7.7	0.0001
AA873159	Apolipoprotein C-I	6.8	0.0003
AA459296	Solute carrier family 34, member 2	6.5	0.0001
AA451904	Epididymis-specific, whey-acidic protein type	6.4	0.0004
R93124	Aldo-keto reductase family 1, member C1	5.7	0.0003
AA135886	Homo sapiens mRNA; cDNA DKFZp434F053	5.5	0.0001
AA127965	Integrin, beta 8	5.3	0.0002
AA453310	alpha-methylacyl-CoA racemase	5.2	0.0001
AA916325	Aldo–keto reductase family 1, member C3	5	0.0004
AA478724	Insulin-like growth factor binding protein 6	4.9	0.0001
AA416585	Angiotensin I-converting enzyme 2	4.8	0.0002
R51836	Homo sapiens clone CDABP0036 mRNA sequence	4.6	0.0002
AA430665	Claudin 4	4.5	0.0002
AA456022	Fibronectin leucine-rich transmembrane protein 3	4.5	0.0003
AA664101	Aldehyde dehydrogenase 1 family, member A1	3.9	0.0096
R35051	ESTs	3.9	0.0001
AA704995	Putative glycine-N-acyltransferase	3.8	0.0066
AA757672	ESTs	3.8	0.0001
AA464688	ESTs, weakly similar to unnamed protein product	3.7	0.0001
AA292226	Accessory proteins BAP31/BAP29	3.6	0.0055
AA437099	ESTs	3.6	0.0002
AA406126	Nit protein 2	3.5	0.0001
AA489246	Suppression of tumorigenicity 14	3.5	0.0029
H69786	Homo sapiens MAIL mRNA, complete cds	3.5	0.0018
T94781	Potassium inwardly -rectifying channel, subfamily J, member 15	3.5	0.004
AA455632	Chromosome 3p21.1 gene sequence	3.4	0.007
AA644088	Cathepsin C	3.3	0.0006
