Probeset ID	RefSeq Transcript ID(GenBank Accession)	Gene Symbol	Gene Title	Signal Log Ratio	control siRNA_signal	nm23-H1 siRNA_Signal
209774_x_at	NM_002089	CXCL2	chemokine (C-X-C motif) ligand 2	3.5	648.5	6219.9
204596_s_at	NM_003155	STC1	stanniocalcin 1	3.4	344.4	3038.6
212190_at	NM_006216	SERPINE2	serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 2	3.4	29.3	305
204595_s_at	NM_003155	STC1	stanniocalcin 1	3.1	2250.4	18472.8
204597_x_at	NM_003155	STC1	stanniocalcin 1	3.1	804	9861
213338_at	NM_015444	TMEM158	transmembrane protein 158	3.1	1808.5	16949.7
1555135_at	---	---	---	3	68.4	968.7
204734_at	NM_002275	KRT15	keratin 15	3	186.3	1324.5
230746_s_at	---	STC1	Stanniocalcin 1	3	3919	34034.1
236898_at	---	---	Transcribed locus	3	41.6	319.5
201645_at	NM_002160	TNC	tenascin C (hexabrachion)	2.8	224.8	1151.2
207850_at	NM_002090	CXCL3	chemokine (C-X-C motif) ligand 3	2.8	57.6	364.3
218000_s_at	NM_007350	PHLDA1	pleckstrin homology-like domain, family A, member 1	2.8	94.8	1096
1560208_at	---	---	---	2.7	56.1	351.5
217998_at	NM_007350 /// XR_018000	LOC652993 /// PHLDA1	pleckstrin homology-like domain, family A, member 1 /// hypothetical LOC652993	2.7	186.3	592.4
237352_at	---	GFPT2	Glutamine-fructose-6-phosphate transaminase 2	2.7	93.5	338.5
204864_s_at	NM_002184 /// NM_175767	IL6ST	interleukin 6 signal transducer (gp130, oncostatin M receptor)	2.6	51.3	328.1
218424_s_at	NM_001008410 /// NM_018234 /// NM_182915	STEAP3	STEAP family member 3	2.6	318.4	1742.3
227856_at	NM_152400	C4orf32	chromosome 4 open reading frame 32	2.6	124	837.3
204011_at	NM_005842	SPRY2	sprouty homolog 2 (Drosophila)	2.5	1101.7	6232.4
205100_at	NM_005110	GFPT2	glutamine-fructose-6-phosphate transaminase 2	2.5	1062.9	5866.8
211000_s_at	NM_002184 /// NM_175767	IL6ST	interleukin 6 signal transducer (gp130, oncostatin M receptor)	2.5	232.3	1279.8
223497_at	NM_001105531 /// NM_020819	FAM135A	family with sequence similarity 135, member A	2.5	55.4	511.3
201340_s_at	NM_003633	ENC1	ectodermal-neural cortex (with BTB-like domain)	2.4	459	2455
209277_at	NM_006528	TFPI2	tissue factor pathway inhibitor 2	2.4	383.4	2762.8
210310_s_at	NM_004464 /// NM_033143	FGF5	fibroblast growth factor 5	2.4	201.8	789.1
212196_at	NM_002184 /// NM_175767	IL6ST	Interleukin 6 signal transducer (gp130, oncostatin M receptor)	2.4	578.7	2931.7
217805_at	NM_004516 /// NM_012218 /// NM_153464	ILF3	interleukin enhancer binding factor 3, 90kDa	2.4	649.2	2453.1
234153_at	---	---	CDNA: FLJ21009 fis, clone CAE04083	2.4	116	602.9
1565868_at	NM_000610 /// NM_001001389 /// NM_001001390 /// NM_001001391 /// NM_001001392	CD44	CD44 molecule (Indian blood group)	2.3	83.1	372.3
201341_at	NM_003633	ENC1	ectodermal-neural cortex (with BTB-like domain)	2.3	442.2	2271.8
205572_at	NM_001147	ANGPT2	angiopoietin 2	2.3	93.6	487
211597_s_at	NM_032495 /// NM_139211 /// NM_139212	HOP	homeodomain-only protein	2.3	46.3	271.7
217523_at	NM_000610 /// NM_001001389 /// NM_001001390 /// NM_001001391 /// NM_001001392	CD44	CD44 molecule (Indian blood group)	2.3	179.1	961.8
225316_at	NM_032793	MFSD2	major facilitator superfamily domain containing 2	2.3	45.7	381.3
237212_at	---	---	Transcribed locus	2.3	66.2	344.8
238168_at	NM_014220	TM4SF1	transmembrane 4 L six family member 1	2.3	110.3	464.1
1554576_a_at	NM_001079675 /// NM_001986	ETV4	ets variant gene 4 (E1A enhancer binding protein, E1AF)	2.2	179.1	732.3
204475_at	NM_002421	MMP1	matrix metallopeptidase 1 (interstitial collagenase)	2.2	48.2	282.3
205266_at	NM_002309	LIF	leukemia inhibitory factor (cholinergic differentiation factor)	2.2	202.3	891.8
209457_at	NM_004419	DUSP5	dual specificity phosphatase 5	2.2	384.1	1632.6
212417_at	NM_004866 /// NM_052822	SCAMP1	secretory carrier membrane protein 1	2.2	399.2	2168.6
218254_s_at	NM_001033503 /// NM_016103	SAR1B	SAR1 gene homolog B (S. cerevisiae)	2.2	543.1	2884.7
227486_at	NM_002526	NT5E	5-nucleotidase, ecto (CD73)	2.2	153.5	716.7
229163_at	NM_018584	CAMK2N1	calcium/calmodulin-dependent protein kinase II inhibitor 1	2.2	45.5	298.3
229437_at	NR_001458	BIC	BIC transcript	2.2	644.8	3418.4
229759_s_at	NM_024621	VEPH1	ventricular zone expressed PH domain homolog 1 (zebrafish)	2.2	86.3	393.1
238622_at	NM_002886	RAP2B	RAP2B, member of RAS oncogene family	2.2	104.9	546.8
241994_at	NM_000379	XDH	xanthine dehydrogenase	2.2	85.5	397
1569583_at	NM_001432	EREG	Epiregulin	2.1	55.6	260.9
201466_s_at	NM_002228	JUN	jun oncogene	2.1	394.7	2009.1
203989_x_at	NM_001992	F2R	coagulation factor II (thrombin) receptor	2.1	317.4	2096.2
205364_at	NM_003500	ACOX2	acyl-Coenzyme A oxidase 2, branched chain	2.1	397.7	1757.9
210627_s_at	NM_006302	GCS1	glucosidase I	2.1	86.2	299.4
212440_at	NM_006857	RY1	putative nucleic acid binding protein RY-1	2.1	384.1	1431.9
213139_at	NM_003068	SNAI2	snail homolog 2 (Drosophila)	2.1	316.3	1579.1
215033_at	NM_014220	TM4SF1	transmembrane 4 L six family member 1	2.1	112.5	660
217996_at	NM_007350	PHLDA1	pleckstrin homology-like domain, family A, member 1	2.1	1125.1	5778.5
217997_at	NM_007350	PHLDA1	pleckstrin homology-like domain, family A, member 1	2.1	635.1	2143.8
217999_s_at	NM_007350	PHLDA1	pleckstrin homology-like domain, family A, member 1	2.1	438.9	1719.6
223333_s_at	NM_001039667 /// NM_139314	ANGPTL4	angiopoietin-like 4	2.1	251.8	1014.1
224657_at	NM_018948	ERRFI1	ERBB receptor feedback inhibitor 1	2.1	5412.8	23867.9
225802_at	NM_052963 /// XM_001130368	TOP1MT	topoisomerase (DNA) I, mitochondrial	2.1	131.1	828.2
225842_at	NM_007350	PHLDA1	pleckstrin homology-like domain, family A, member 1	2.1	1235.8	5402.1
226281_at	NM_139072	DNER	delta/notch-like EGF repeat containing	2.1	119	533.3
235019_at	NM_001005502 /// NM_001874 /// NM_198320	CPM	carboxypeptidase M	2.1	570.3	2281.6
235236_at	---	---	CDNA FLJ31436 fis, clone NT2NE2000636	2.1	367.6	1493.9
200878_at	NM_001430	EPAS1	endothelial PAS domain protein 1	2	101.8	399.3
204614_at	NM_002575	SERPINB2	serpin peptidase inhibitor, clade B (ovalbumin), member 2	2	191	664.5
204863_s_at	NM_002184 /// NM_175767	IL6ST	interleukin 6 signal transducer (gp130, oncostatin M receptor)	2	302.7	1494.5
205579_at	NM_000861 /// NM_001098211 /// NM_001098212 /// NM_001098213	HRH1	histamine receptor H1	2	98.6	376.2
206460_at	NM_001042478 /// NM_018836	AJAP1	adherens junction associated protein 1	2	97.5	620.5
206667_s_at	NM_004866 /// NM_052822	SCAMP1	secretory carrier membrane protein 1	2	137	569.6
208949_s_at	NM_002306 /// NM_194327 /// NR_003225	LGALS3	lectin, galactoside-binding, soluble, 3	2	330.7	1103.6
211375_s_at	NM_004516 /// NM_012218 /// NM_153464	ILF3	interleukin enhancer binding factor 3, 90kDa	2	752.7	3080.8
211540_s_at	NM_000321	RB1	retinoblastoma 1 (including osteosarcoma)	2	88.3	283.5
212131_at	NM_015578	LSM14A	LSM14A, SCD6 homolog A (S. cerevisiae)	2	1072.3	3869
215149_at	---	---	CDNA clone IMAGE:5260262	2	133.4	460.1
219347_at	NM_018283	NUDT15	nudix (nucleoside diphosphate linked moiety X)-type motif 15	2	1096.2	2901.2
224416_s_at	NM_025205	MED28	mediator of RNA polymerase II transcription, subunit 28 homolog (S. cerevisiae)	2	129.7	372.5
225612_s_at	NM_032047	B3GNT5	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5	2	641.3	2354
226033_at	NM_020718	USP31	ubiquitin specific peptidase 31	2	209.5	913.4
234730_s_at	NM_020639	RIPK4	receptor-interacting serine-threonine kinase 4	2	112.4	275.2
1554414_a_at	NM_004337	OSGIN2	oxidative stress induced growth inhibitor family member 2	1.9	202.9	838
1557905_s_at	NM_000610 /// NM_001001389 /// NM_001001390 /// NM_001001391 /// NM_001001392	CD44	CD44 molecule (Indian blood group)	1.9	844.6	3207.5
201464_x_at	NM_002228	JUN	jun oncogene	1.9	1567.3	4773.1
204431_at	NM_003260	TLE2	transducin-like enhancer of split 2 (E(sp1) homolog, Drosophila)	1.9	64.3	344.7
204470_at	NM_001511	CXCL1	chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)	1.9	163	357.5
204975_at	NM_001424	EMP2	epithelial membrane protein 2	1.9	167.6	651.7
206100_at	NM_001005502 /// NM_001874 /// NM_198320	CPM	carboxypeptidase M	1.9	656.8	1870.9
212014_x_at	NM_000610 /// NM_001001389 /// NM_001001390 /// NM_001001391 /// NM_001001392	CD44	CD44 molecule (Indian blood group)	1.9	871.2	3252.6
212195_at	NM_002184 /// NM_175767	IL6ST	Interleukin 6 signal transducer (gp130, oncostatin M receptor)	1.9	2306.8	9857.4
212416_at	NM_004866 /// NM_052822	SCAMP1	secretory carrier membrane protein 1	1.9	885.9	3771.6
213281_at	NM_002228	JUN	Jun oncogene	1.9	144.2	694.1
214220_s_at	NM_015120	ALMS1	Alstrom syndrome 1	1.9	129.2	358.7
218211_s_at	NM_001042467 /// NM_024101	MLPH	melanophilin	1.9	95.4	375.9
219179_at	NM_001079520 /// NM_016651	DACT1	dapper, antagonist of beta-catenin, homolog 1 (Xenopus laevis)	1.9	137.1	522.7
219479_at	NM_024089	KDELC1	KDEL (Lys-Asp-Glu-Leu) containing 1	1.9	436.4	1329.5
220468_at	NM_025047	ARL14	ADP-ribosylation factor-like 14	1.9	1981	7112.9
223541_at	NM_005329 /// NM_138612	HAS3	hyaluronan synthase 3	1.9	106	347.2
224232_s_at	NM_013237	PRELID1	PRELI domain containing 1	1.9	675.7	3043.2
225293_at	NM_032888	COL27A1	collagen, type XXVII, alpha 1	1.9	66.7	290.7
225796_at	NM_017771	PXK	PX domain containing serine/threonine kinase	1.9	267.4	1008.2
226694_at	NM_001004065 /// NM_007203 /// NM_147150	AKAP2 /// PALM2-AKAP2	A kinase (PRKA) anchor protein 2 /// PALM2-AKAP2 protein	1.9	653.3	2400.6
226925_at	NM_001037172 /// NM_152282	ACPL2	acid phosphatase-like 2	1.9	170.4	723.3
227180_at	NM_001104558 /// NM_024930	ELOVL7	ELOVL family member 7, elongation of long chain fatty acids (yeast)	1.9	330	1248.8
229011_at	---	---	Transcribed locus	1.9	117.7	469.4
230040_at	NM_139054 /// NM_199355	ADAMTS18	ADAM metallopeptidase with thrombospondin type 1 motif, 18	1.9	101.3	425.7
241765_at	NM_001005502 /// NM_001874 /// NM_198320	CPM	carboxypeptidase M	1.9	69.2	351
1554482_a_at	NM_001033503 /// NM_016103	SAR1B	SAR1 gene homolog B (S. cerevisiae)	1.8	605.2	1981.7
1554835_a_at	NM_032047	B3GNT5	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5	1.8	70.4	321.9
1558280_s_at	NM_004815	---	CDNA clone IMAGE:5264978	1.8	159	501.4
201020_at	NM_003405	YWHAH	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide	1.8	680.3	2213.2
201325_s_at	NM_001423	EMP1	epithelial membrane protein 1	1.8	726.5	1746.3
203373_at	NM_003877	SOCS2	suppressor of cytokine signaling 2	1.8	451.3	1124.2
203946_s_at	NM_001172	ARG2	arginase, type II	1.8	290.3	912.5
204489_s_at	NM_000610 /// NM_001001389 /// NM_001001390 /// NM_001001391 /// NM_001001392	CD44	CD44 molecule (Indian blood group)	1.8	1002.6	3917.5
204823_at	NM_014903	NAV3	neuron navigator 3	1.8	84.7	370.4
205681_at	NM_004049	BCL2A1	BCL2-related protein A1	1.8	244.8	1058.1
205932_s_at	NM_002448	MSX1	msh homeobox 1	1.8	133.9	608.3
212438_at	NM_006857	RY1	putative nucleic acid binding protein RY-1	1.8	436.4	1073.2
212473_s_at	NM_014632	MICAL2	microtubule associated monoxygenase, calponin and LIM domain containing 2	1.8	703.3	2581.4
213793_s_at	NM_004272	HOMER1	homer homolog 1 (Drosophila)	1.8	606.3	1968.4
214866_at	NM_001005376 /// NM_001005377 /// NM_002659	PLAUR	plasminogen activator, urokinase receptor	1.8	233.7	727.1
215610_at	XR_015245 /// XR_015406	LOC728263 /// LOC731183	similar to beta-1,4-mannosyltransferase	1.8	82.1	307.9
215706_x_at	NM_001010972 /// NM_003461	ZYX	zyxin	1.8	260.9	890.5
218016_s_at	NM_018119	POLR3E	polymerase (RNA) III (DNA directed) polypeptide E (80kD)	1.8	538.7	1859.5
