Gene ID	Gene Identifier	ANOVA P value	B&H P value	mean 1	mean 2	mean 3	mean 4	SEM 1	SEM 2	SEM 3	SEM 4	Quality 1	Quality 2	Quality 3	Quality 4	Gene Title	Other ID	UG Cluster	LocusLink	Chromosome
ANAPC11	BG180679	0.000071	0.001562747	9.665	10.213	10.097	10.108	0.057	0.071	0.031	0.055	9.665	10.213	10.097	10.108	APC11 anaphase promoting complex subunit 11 homolog (yeast)	MmugDNA.28252.1.S1_s_at	Hs.534456	51529	17
ANAPC4	AA604393	0.003171	0.014154118	10.932	10.377	10.553	10.598	0.094	0.125	0.008	0.043	10.932	10.377	10.553	10.598	Anaphase promoting complex subunit 4	MmugDNA.38501.1.S1_at	Hs.152173	29945	4
ATM	U26455	0.002896	0.013391817	9.804	9.049	9.218	9.233	0.046	0.163	0.099	0.116	9.804	9.049	9.218	9.233	Ataxia telangiectasia mutated	MmugDNA.29228.1.S1_at	Hs.367437	472	11
ATM	NM_000051	0.002152	0.011085812	9.975	9.279	9.506	9.439	0.044	0.160	0.091	0.062	9.975	9.279	9.506	9.439	Ataxia telangiectasia mutated	MmugDNA.11329.1.S1_at	Hs.367437	472	11
ATR	U49844	0.00025	0.003049789	10.144	9.924	9.848	9.791	0.040	0.030	0.034	0.053	10.144	9.924	9.848	9.791	Ataxia telangiectasia and Rad3 related	MmugDNA.18756.1.S1_at	Hs.271791	545	3
BUB1	AF043294	0.000459	0.004397109	4.734	6.843	5.177	5.353	0.187	0.417	0.197	0.107	4.734	6.843	5.177	5.353	BUB1 budding uninhibited by benzimidazoles 1 homolog (yeast)	MmugDNA.6277.1.S1_at	Hs.469649	699	2
BUB1B	NM_001211	0.000179	0.00253209	5.850	8.259	6.341	6.490	0.099	0.354	0.361	0.117	5.850	8.259	6.341	6.490	BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast)	MmugDNA.14075.1.S1_at	Hs.631699	701	15
BUB3	AF081496	0.011019	0.032013767	9.403	9.855	9.608	9.438	0.077	0.130	0.069	0.042	9.403	9.855	9.608	9.438	BUB3 budding uninhibited by benzimidazoles 3 homolog (yeast)	MmugDNA.40767.1.S1_at	Hs.418533	9184	10
CCNA1	NM_003914	0.009237	0.028541139	5.599	6.375	5.873	5.732	0.071	0.188	0.175	0.067	5.599	6.375	5.873	5.732	Cyclin A1	MmugDNA.14231.1.S1_at	Hs.417050	8900	13
CCNB1	BE407516	0.000699	0.005631418	7.443	9.393	7.933	8.060	0.079	0.384	0.216	0.191	7.443	9.393	7.933	8.060	Cyclin B1	MmugDNA.41268.1.S1_at	Hs.23960	891	5
CCNB2	NM_004701	0.000243	0.003001742	6.287	8.624	6.834	7.128	0.086	0.371	0.308	0.172	6.287	8.624	6.834	7.128	Cyclin B2	MmugDNA.40742.1.S1_at	Hs.194698	9133	15
CCNB3	AI003521	0.014917	0.039314009	5.186	5.738	5.576	5.656	0.098	0.151	0.072	0.088	5.186	5.738	5.576	5.656	Cyclin B3	MmugDNA.18233.1.S1_at	Hs.130310	85417	X
CCND1	BC000076	0.000467	0.004440458	7.989	8.834	9.099	9.424	0.170	0.081	0.205	0.200	7.989	8.834	9.099	9.424	Cyclin D1	MmugDNA.27098.1.S1_at	Hs.523852	595	11
CCND3	AL833425	0.000409	0.004118831	6.944	6.066	6.351	6.228	0.041	0.102	0.170	0.058	6.944	6.066	6.351	6.228	Cyclin D3	MmugDNA.7342.1.S1_at	Hs.534307	896	6
CCNE1	AI671049	0.014631	0.038826792	7.467	8.440	8.014	8.084	0.087	0.255	0.174	0.137	7.467	8.440	8.014	8.084	Cyclin E1	MmugDNA.4085.1.S1_at	Hs.244723	898	19
CCNE2	AF112857	0.000321	0.003556513	6.299	6.699	6.126	6.152	0.070	0.075	0.062	0.075	6.299	6.699	6.126	6.152	Cyclin E2	MmugDNA.8564.1.S1_at	Hs.567387	9134	8
CDC14B	AK024886	0.000132	0.002138121	9.462	8.353	8.691	8.596	0.056	0.105	0.190	0.065	9.462	8.353	8.691	8.596	CDC14 cell division cycle 14 homolog B (S. cerevisiae)	MmugDNA.9110.1.S1_at	Hs.40582	8555	9
CDC16	AF164598	0.000101	0.001859969	11.836	11.571	11.568	11.624	0.048	0.015	0.023	0.024	11.836	11.571	11.568	11.624	Cell division cycle 16 homolog (S. cerevisiae)	MmugDNA.38812.1.S1_at	Hs.374127	8881	13
