Acccession #	Gene	Function	Fold up	% down
U18244	Excitatory amino acid transporter 4	Glutamate transporter	16.75	–
X63237	Ubiquitin 80	Degradation of protein	17.47	–
L38961	Putative transmembrane protein precursor (B5)	Glycosylation of protein	6.52	–
Z26876	Ribosomal protein L38	Protein synthesis	5.13	–
U49436	Translation initiation factor 5 (eIF5)	Promote protein synthesis	4.34	–
U49260	Mevalonate pyrophosphate decarboxylase (MPD)	Biosynthesis of steroid	3.82	–
X89401	Ribosomal protein L21	Protein synthesis	3.47	–
M58458	Ribosomal protein S4 (RPS4X) isoform	Protein synthesis	3.12	–
AF026844	Ribosomal protein L41	Protein synthesis	2.86	–
L38941	Ribosomal protein L34 (RPL34)	Protein synthesis	2.8	–
M63180	Threonyl-tRNA synthetase	Activation of amino acid for protein synthesis	2.73	–
M13932	Ribosomal protein S17	Protein synthesis	2.56	–
M31520	Ribosomal protein S24	Protein synthesis	2.39	–
L06498	Ribosomal protein S20 (RPS20)	Protein synthesis	2.25	–
