Accesion #	Gene Name	PCOS/NL	p-value	Function	Specific Function
NM_003392	Wnt 5A	0.44	0.004	Signal Transduction	Secreted Factors
NM_012242	Dickkopf homolog 1	2.4	0.016	Signal Transduction	Secreted Factors
M31159	IGF binding protein 3	2.96	0.006	Signal Transduction	Secreted Factors
U29953	Pigment epithelium derived factor (PEDF)	0.47	0.005	Signal Transduction	Secreted Factors
NM_002521	Natriuretic peptide precursor B	5.48	0.027	Signal Transduction	Secreted Factors
NM_000627	Latent TGFbeta binding protein 1	0.49	0.009	Signal Transduction	Secreted Factors
NM_016205	Platelet derived growth factor C	2	0.002	Signal Transduction	Secreted Factors
NM_002607	Platelet derived growth factor alpha	1.98	0.007	Signal Transduction	Secreted Factors
NM_006207	Platelet derived growth factor receptor like	0.55	0.041	Signal Transduction	Secreted Factors
NM_001562	Interleukin 18	2.43	0.05	Signal Transduction	Secreted Factors
NM_006850	Interleukin 24	0.64	0.043	Signal Transduction	Secreted Factors
NM_006291	TNFalpha induced protein 2	1.48	0.014	Signal Transduction	Secreted Factors
NM_002975	Lymphocyte secreted C-type lectin	0.56	0.023	Signal Transduction	Secreted Factors
NM_002226	Jagged 2	0.63	0.026	Signal Transduction	Secreted Factors
X83412	Mucin B1	0.6	0.029	Signal Transduction	Secreted Factors
NM_002035	Follicular lymphoma variant translocation 1	1.43	0.039	Signal Transduction	Secreted Factors
NM_017625	Soluble lectin (intelectin)	1.45	0.033	Signal Transduction	Secreted Factors
NM_004673	Angiopoietin-like 1	3.15	0.03	Signal Transduction	Secreted Factors
NM_003692	Transmembrane protein TMEFF1	0.49	0.002	Signal Transduction	Transmembrane Receptors
NM_012342	Putative transmembrane protein (nma)	1.59	0.023	Signal Transduction	Transmembrane Receptors
NM_000908	Atrial natriuretic peptide receptor C (NPR3)	0.45	0.003	Signal Transduction	Transmembrane Receptors
NM_003234	Transferrin receptor	2.15	0.005	Signal Transduction	Transmembrane Receptors
NM_001338	Coxsackie virus and adenovirus receptor	2.12	0.02	Signal Transduction	Transmembrane Receptors
AL033377	7 transmembrane like BMP (DKFZp564D0462)	2.22	0.032	Signal Transduction	Transmembrane Receptors
NM_018113	Lipocalin-interacting membrane receptor	0.67	0.048	Signal Transduction	Transmembrane Receptors
AI377497	Mob protein	1.42	0.036	Signal Transduction	Transmembrane Receptors
AF056085	G-protein coupled receptor 51	0.35	0.001	Signal Transduction	G-Protein Coupled Receptors
NM_000676	Adenosine A2 receptor	2.64	0.007	Signal Transduction	G-Protein Coupled Receptors
NM_001957	Endothelin receptor type A	0.48	0.002	Signal Transduction	G-Protein Coupled Receptors
NM_002530	Neurotrophic tyrosine kinase receptor	0.5	0.007	Signal Transduction	Tyrosine Kinase/Phosphatase Receptors
NM_000121	Erythropoietin receptor (EPOR)	0.54	0.037	Signal Transduction	Tyrosine Kinase/Phosphatase Receptors
