Candidates	GENE  Symbol	Probe set ID	22Rv1 Log2 (signal)	22Rv1 Log2 accumulation	22Rv1 Log2 degradation	LNCaP Log2 (signal)	LNCaP Log2 accumulation	LNCaP Log2 degradation
LNCaP	PARD3	221526_x_at	7.1	0.9	0.1	3.2	2.9	1.6
LNCaP	ANKRD28	213035_at	8.2	0.4	0.4	5.6	1.7	1.5
LNCaP	CLPTM1	211136_s_at	9.7	-0.5	-0.6	4.3	1.6	1.8
LNCaP	VRK3	221999_at	6.5	0.3	0.5	3.9	1.5	2.5
22RV1	GTPBP2	221050_s_at	8.2	0.2	0.2	5.2	1.5	2.1
22RV1	LOC692247	1561355_at	6.9	0.1	0.3	3.9	1.5	1.5
22RV1	AFF1	227198_at	10.5	-0.6	0.7	5.4	1.3	1.4
22RV1	AS3	207956_x_at	5.9	2.6	1.4	10.0	0.1	0.3
22RV1	TTLL7	219882_at	3.6	2.0	1.4	7.6	0.3	0.9
22RV1	PDSB5	204742_s_at	3.9	1.9	1.3	7.8	-0.6	-0.6
22RV1	EIF5	208708_x_at	9.2	1.7	2.5	11.3	0.7	0.9
22RV1	EIF2C2	225827_at	3.5	1.6	1.9	6.1	-0.6	0.1
