Symbol	Function	Description	HDM
Agr2	Epithelial products	Anterior gradient 2 (Xenopuslaevis)	4.4
Itln2	Epithelial products	Intelectin 2	5.7
Muc5ac	Epithelial products	MusmusculusMuc5AC-like gene, partial	3
Retnlb	Epithelial products	Resistin-like b	6.3
Sprr2a	Epithelial products	Small proline-rich protein 2A	2.9
Sprr2a	Epithelial products	Small proline-rich protein 2A	3
Sprr2b	Epithelial products	Small proline-rich protein 2B	2.8
Tff2	Epithelial products	Trefoil factor 2 (spasmolytic protein 1)	2.5
Clca3	Ion channels	Chloride channel calcium activated 3	26.9
Mcoln2	Ion channels	Mucolipin 2	1.9
Slc5a1	Ion channels	Solute carrier family 5 (sodium/glucose cotransporter), member 1	2.7
Ccl2	Chemokines	Chemokine (C-C motif) ligand 2	5.2
Ccl7	Chemokines	Chemokine (C-C motif) ligand 7	2.6
Ccl8	Chemokines	Chemokine (C-C motif) ligand 8	23.4
Ccl9	Chemokines	Chemokine (C-C motif) ligand 9	5.7
Ccl11	Chemokines	Small chemokine (C-C motif) ligand 11	8.4
Ccl12	Chemokines	Chemokine (C-C motif) ligand 12	2
Ccr5	Chemokines	Chemokine (C-C motif) receptor 5	4.1
Cxcl1	Chemokines	Chemokine (C-X-C motif) ligand 1	4.5
Chi3l3	Inflammation	Chitinase 3–like 3	10.7
Chia	Inflammation	Chitinase, acidic	9.9
Ear2	Inflammation	Eosinophil-associated, ribonuclease A family, member 2	2.3
Itgax	Inflammation	Integrin aX	2.5
Scin	Inflammation	Scinderin	3.1
Cd83	Host immune response	CD83 antigen	2.6
Il1rl1	Host immune response	IL-1 receptor–like 1	4.9
Irf4	Host immune response	Interferon regulatory factor 4	2.1
Mrc1	Host immune response	Mannose receptor, C type 1	2.8
Ms4a1	Host immune response	membrane-spanning 4-domains, subfamily A, member 1	2
Pigr	Host immune response	Polymeric immunoglobulin receptor	4.3
S100a8	Host immune response	S100 calcium binding protein A8 (calgranulin A)	22.5
Mcpt2	Protease pathways	Mast cell protease 2	2.8
Mmp12	Protease pathways	Matrix metalloproteinase 12	16.6
Serpina3c	Protease pathways	Serine (or cysteine) proteinase inhibitor, clade A, member 3C	2
Serpina3g	Protease pathways	Serine (or cysteine) proteinase inhibitor, clade A, member 3G	6.3
Serpina3n	Protease pathways	Serine (or cysteine) proteinase inhibitor, clade A, member 3N	3.2
Tfpi2	Protease pathways	Tissue factor pathway inhibitor 2	2.9
Arg1	Arginine metabolism	Arginase 1, liver	9
Gatm	Arginine metabolism	Glycine amidinotransferase (L-arginine:glycine amidinotransferase)	4.2
C1qa	Complement pathway	Complement component 1, q subcomponent, apolypeptide	3.5
C1qg	Complement pathway	Complement component 1, q subcomponent, gpolypeptide	2.9
C3	Complement pathway	Complement component 3	2.1
Ctsb	Antigen presentation	Cathepsin B	2
Ctsb	Antigen presentation	Cathepsin B	2
Ctsz	Antigen presentation	Cathepsin Z	2.7
Ifi30	Antigen presentation	IFN-g–inducible protein 30	2.2
Col6a2	Matrix homeostasis	Procollagen, type VI, a2	2.1
Ctsk	Matrix homeostasis	Cathepsin K	3.2
Ltbp4	Matrix homeostasis	Latent TGF-bbinding protein 4	22
Alox15	Lipid metabolites/mediators	Arachidonate 15-lipoxygenase	2.8
Ch25h	Lipid metabolites/mediators	Cholesterol 25-hydroxylase	2.5
Pon1	Lipid metabolites/mediators	Paraoxonase 1	22.7
F10	Signaling	Coagulation Factor X	2.1
Fbp1	Signaling	Fructose bisphosphatase 1	2.7
Mapt	Signaling	Microtubule-associated protein t	22.1
Mapt	Signaling	Microtubule-associated protein t	22.2
Mod1	Signaling	Malic enzyme, supernatant	2.2
Pcdha1	Signaling	Protocadherin a1	21.9
Tenc1	Signaling	Tensin-like C1 domain–containing phosphatase	22
Fgf1	Cell growth	Fibroblast growth factor 1	22
Igf1	Cell growth	Insulin-like growth factor 1	2.4
Igfbp3	Cell growth	Insulin-like growth factor binding protein 3	22.6
Thbs1	Cell growth	Thrombospondin 1	2.8
Adam8	Cell adhesion	A disintegrin and metalloprotease domain 8	2.1
Atf3	Regulation of gene expression	Activating transcription factor 3	2.1
Nr1d1	Regulation of gene expression	Nuclear receptor subfamily 1, group D, member 1	22
Aass	Lysine metabolism	Aminoadipate-semialdehyde synthase	2.8
Mest	Others	Mesoderm-specific transcript	2.3
Fcgbp	Immunoglobulins and receptors	Fc fragment of IgG binding protein	5.8
Fcgr2b	Immunoglobulins and receptors	Fc receptor, IgG, low-affinity IIb	5.4
Igh-VJ558	Immunoglobulins and receptors	Immunoglobulin heavy chain (J558 family)	2
Igk-V8	Immunoglobulins and receptors	Immunoglobulin kchain variable 8 (V8) immunoglobulin kchain variable 1 (V1)	3.1
Igk-V1	Immunoglobulins and receptors	Nucleosome-reactive mAb PR1-3, immunoglobulin light chain variable region mRNA
MGC60843Igh-6	Immunoglobulins and receptors	Unknown (protein for MGC:60843) immunoglobulin heavy chain 6 (heavy chain of IgM)	5.9
U46068	Immunoglobulins and receptors	cDNA sequence U46068	2.8
Musmusculus rearranged mRNA for IgE heavy chain C-region	Immunoglobulins and receptors		8.6
