Parametric p-value	Fold difference of geometric means (N vs R)	Description	Clone	UG cluster	Gene symbol	Map
5.46E-05	0.062	prominin-like 1 (mouse)	2070568	Hs.112360	PROML1	4p15.33
2.87E-05	0.085	carboxylesterase 1 (monocyte/macrophage serine esterase 1)	1813269	Hs.76688	CES1	16q13-q22.1
0.0006787	0.096	lactotransferrin	1861911	Hs.105938	LTF	3q21-q23
5.45E-05	0.1	serum amyloid A4, constitutive	86390	Hs.1955	SAA4	11p15.1-p14
0.0003482	0.103	B-cell CLL/lymphoma 3	1867294	Hs.31210	BCL3	19q13.1-q13.2
2.55E-05	0.109	selenium binding protein 1	2591494	Hs.334841	SELENBP1	1q21-q22
1.23E-05	0.131	melanoma inhibitory activity	1911332	Hs.279651	MIA	19q13.32-q13.33
2.00E-07	0.137	amylase, alpha 2B; pancreatic	254081	Hs.335493	AMY2B	1p21
4.32E-05	0.149	complement component 4A	1996090	Hs.170250	C4A	6p21.3
1.49E-05	0.164	phospholipase A2, group IB (pancreas)	2383830	Hs.992	PLA2G1B	12q23-q24.1
1.20E-06	0.166	benzodiazapine receptor (peripheral) associated protein 1	1865225	Hs.112499	BZRAP1	17q22-q23
0.0007326	0.173	ESTs, Weakly similar to neuronal thread protein [Homo sapiens] [H.sapiens]	2714867	Hs.436950	NA	11
0.0004825	0.188	major histocompatibility complex, class II, DR beta 5	2105963	Hs.352392	HLA-DRB5	6p21.3
0.0002959	0.189	four and a half LIM domains 1	224996	Hs.239069	FHL1	Xq26
0.0002017	0.194	retinoic acid receptor responder (tazarotene induced) 1	1982324	Hs.82547	RARRES1	3q25.32
0.0008317	0.198	Incyte EST	1507769	NA	NA	NA
0.0001521	0.216	complement component 3	1513989	Hs.284394	C3	19p13.3-p13.2
3.30E-06	0.217	polycystic kidney disease 1 (autosomal dominant)	1887011	Hs.75813	PKD1	16p13.3
0.0002169	0.221	KIAA0675 gene product	1794725	Hs.165662	KIAA0675	3q13.12
8.40E-06	0.225	major histocompatibility complex, class II, DM alpha	2059338	Hs.77522	HLA-DMA	6p21.3
0.0007868	0.226	CD8 antigen, beta polypeptide 1 (p37)	2656104	Hs.2299	CD8B1	2p12
1.50E-06	0.236	ribonuclease, RNase A family, 4	1858905	Hs.283749	RNASE4	14q11.1
2.69E-05	0.239	neuroblastoma, suppression of tumorigenicity 1	1816413	Hs.76307	NBL1	1p36.3-p36.2
0.000705	0.247	SPARC-like 1 (mast9, hevin)	3721788	Hs.75445	SPARCL1	4q22.1
1.14E-05	0.251	fibulin 5	2060177	Hs.11494	FBLN5	14q32.1
0.0001223	0.252	Homo sapiens cDNA FLJ20115 fis, clone COL05594	2716261	NA	NA	NA
0.0001101	0.261	transforming growth factor, beta receptor III (betaglycan, 300kDa)	1443766	Hs.342874	TGFBR3	1p33-p32
6.41E-05	0.267	ectonucleoside triphosphate diphosphohydrolase 6 (putative function)	1511486	Hs.12330	ENTPD6	20p11.2-p11.22
2.83E-05	0.274	Homo sapiens colon cancer antigen NY-CO-45 mRNA, partial cds	275494	Hs.160881	NA	6
5.00E-07	0.275	ATPase, Class II, type 9A	1942046	Hs.406434	ATP9A	20q13.11-q13.2
0.0009855	0.284	hepatocellular carcinoma-associated antigen 112	409677	Hs.12126	HCA112	7q36.1
4.00E-07	0.285	iduronate 2-sulfatase (Hunter syndrome)	549290	Hs.172458	IDS	Xq28
0.0005432	0.285	ESTs	3144431	Hs.56220	NA	1
7.00E-06	0.287	Fc fragment of IgG, receptor, transporter, alpha	1871295	Hs.111903	FCGRT	19q13.3
0.0001881	0.288	cysteine-rich protein 2	2672064	Hs.70327	CRIP2	14q32.3
0.0002332	0.288	ADP-ribosyltransferase 3	2011270	Hs.24976	ART3	4p15.1-p14
0.0003998	0.291	Duffy blood group	1987335	Hs.183	FY	1q21-q22
4.00E-06	0.295	calmin (calponin-like, transmembrane)	1464613	Hs.406099	CLMN	14q32.2
1.54E-05	0.295	hypothetical protein LOC283445	1968776	Hs.234898	LOC283445	12q24.12
5.08E-05	0.295	Homo sapiens clone 24790 mRNA sequence	866608	Hs.13431	NA	12
2.61E-05	0.298	FERM, RhoGEF (ARHGEF) and pleckstrin domain protein 1 (chondrocyte-derived)	1966067	Hs.183738	FARP1	13q32.2
0.0001598	0.298	serine (or cysteine) proteinase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 1	2989991	Hs.173594	SERPINF1	17p13.1
5.00E-07	0.301	KIAA0590 gene product	1996021	Hs.111862	KIAA0590	16p13.3
0.0001196	0.302	nischarin	1809315	Hs.26285	NISCH	3p21.1
