p Value	CloneID	Description	Locus	CytoBand
4.607E-08	137645	Full length insert cDNA YH97B03	NA	NA
1.373E-07	126739	NADH dehydrogenase (ubiquinone) flavoprotein 2, 24kDa	NDUFV2	18p11.31-p11.2
7.202E-07	28442	FYN oncogene related to SRC, FGR, YES	FYN	6q21
0.000000856	743828	IGH mRNA for immunoglobulin heavy chain VHDJ region, partial cds,	NA	NA
9.463E-07	137790	Rho-related BTB domain containing 1	RHOBTB1	10q21.2
0.000001602	177363	Chromosome 16 open reading frame 5	C16orf5	16p13.3
0.000002372	165908	Transcription factor-like 1	TCFL1	1q21
0.000002859	364825	NA	NA	NA
0.000003242	229734	Hypothetical protein BC015088	MGC16471	3p25.2
0.000003692	190200	Spindlin	SPIN	9q22.1-q22.3
0.000003986	267778	MYST histone acetyltransferase 1	MYST1	16p11.2
0.000004207	2296286	ATP synthase, H+ transporting, mitochondrial F1 complex,	ATP5E	20q13.32
0.000004277	1391653	KIAA0792	KIAA0792	1q42.12
0.000005104	297430	Cyclin-dependent kinase inhibitor 1B (p27, Kip1)	CDKN1B	12p13.1-p12
0.000006437	124168	Transcribed locus	NA	NA
0.000006781	322759	Small nuclear RNA activating complex, polypeptide 5, 19kDa	SNAPC5	15q22.31
0.000006852	926259	Solute carrier organic anion transporter family, member 4A1	SLCO4A1	20q13.33
0.000007367	1186121	CDNA FLJ12676 fis, clone NT2RM4002383	NA	NA
0.000007569	125300	Hypothetical protein MGC4308	MGC4308	3q12.1
0.000007647	138430	Hypothetical protein LOC286505	AMMECR1	Xq22.3
0.000008746	167041	ATP-binding cassette, sub-family B (MDR/TAP), member 8	ABCB8	7q36
0.00000884	1185901	BTB and CNC homology 1, basic leucine zipper transcription factor 2	BACH2	6q15
0.000009026	345561	Pim-1 oncogene	PIM1	6p21.2
0.000009419	743085	WD repeat domain 57 (U5 snRNP specific)	HPRP8BP	1p35.2
0.00001032	135500	Solute carrier family 7 (cationic amino acid transporter, y+ system),	SLC7A2	8p22-p21.3
0.00001119	1642453	CCCTC-binding factor (zinc finger protein)-like	CTCFL	20q13.31
0.00001129	43071	CLIP-170-related protein	CLIPR-59	19q13.12
0.00001129	35093	Dual specificity phosphatase 14	DUSP14	17q12
0.00001198	727981	CAMP responsive element binding protein 3-like 4	CREB3L4	1q21.3
