Genes more expressed in post-CT samples	Gene Description	Fc (Post/Pre-CT)
DUSP1	(dual specificity phosphatase 1)	5.5
CTGF	(connective tissue growth factor)	3.7
SEPT1	(septin 1)	3.4
FOSB	(FBJ murine osteosarcoma viral oncogene homolog B)	3
PLK3	[polo-like kinase 3 (Drosophila)]	2.9
SMOC2	(SPARC related modular calcium binding 2)	2.8
MGC12972	(hypothetical protein MGC12972)	2.6
BTG2	(BTG family, member 2)	2.5
NAPA	(N-ethylmaleimide-sensitive factor attachment protein, alpha)	2.5
TOM1L2	[target of myb1-like 2 (chicken)]	2.4
FXYD6	(FXYD domain containing ion transport regulator 6)	2.3
NXN	(Nucleoredoxin)	2.3
SGK	(serum/glucocorticoid regulated kinase)	2.3
STARD13	(START domain containing 13)	2.3
ABI3	(ABI gene family, member 3)	2.2
AXUD1	(AXIN1 up-regulated 1)	2.2
MGC3047	(hypothetical protein MGC3047)	2.2
NPR2	[natriuretic peptide receptor B/guanylate cyclase B (atrionatriuretic peptide receptor B)]	2.2
WWP2	(Nedd-4-like ubiquitin-protein ligase)	2.2
C3	(complement component 3)	2.2
D2S448	(Melanoma associated gene)	2.1
MAP4	(microtubule-associated protein 4)	2.1
NPD007	(NPD007 protein)	2.1
PDGFRL	(platelet-derived growth factor receptor-like)	2.1
PPGB	[protective protein for Beta-galactosidase (galactosialidosis)]	2.1
ADAMTS1	[a disintegrin-like and metalloprotease (reprolysin type) with (thrombospondin type 1 motif, 1)]	2.1
C6orf37	(chromosome 6 open reading frame 37)	2
CYFIP2	(cytoplasmic FMR1 interacting protein 2)	2
GNAI2	[guanine nucleotide binding protein (G protein), · inhibiting activity (polypeptide 2)]	2
PDZRN3	(PDZ domain containing RING finger 3)	2
RGS2	(regulator of G-protein signalling 2, 24 kDa)	2
SALL2	[sal-like 2 (Drosophila)]	2
SASH1	(SAM and SH3 domain containing 1)	2
SLIT3	[slit homolog 3 (Drosophila)]	2
