Probe Set ID	Gene Symbol	Gene	Cytoband
201124_at	ITGB5	Integrin, beta 5	3q21.2
201474_s_at	ITGA3	Integrin, alpha 3	17q21.33
204625_s_at	ITGB3	Integrin, beta 3	17q21.32
204990_s_at	ITGB4	Integrin, beta 4	17q25
205032_at	ITGA2	Integrin, alpha 2 (CD49B, a2 subunit VLA2 receptor)	5q23-q31
205422_s_at	ITGBL1	Integrin, beta-like 1 (with EGF-like repeat domains)	13q33
205785_at	ITGAM	Integrin, alpha M	16p11.2
206009_at	ITGA9	Integrin, alpha 9	3p21.3
206025_s_at	TNFAIP6	Tumor necrosis factor, alpha-induced protein 6	2q23.3
206766_at	ITGA10	Integrin, alpha 10	1q21
212128_s_at	DAG1	Dystroglycan 1 (dystrophin-associated glycoprotein 1)	3p21
205816_at	ITGB8	Integrin, beta 8	7p15.3
215879_at	ITGB1	Integrin, beta 1	10p11.2
216331_at	ITGA7	Integrin, alpha 7	12q13
