Gene	Description
NACA	Nascent-polypeptide-associated complex alpha polypeptide
RPL7A	Ribosomal protein L7a
TACSTD1	Tumor-associated calcium signal transducer 1
ARF4	ADP-ribosylation factor 4
ULBP3	UL16 binding protein 3
RAB5C	RAB5C, member RAS oncogene family
ILF2	Interleukin enhancer binding factor 2, 45kDa
RGS6	Regulator of G-protein signalling 6
TARBP2	Tar (HIV-1) RNA binding protein 2
EIF4A2	Eukaryotic translation initiation factor 4A, isoform 2
NOP5 / NOP58	Nucleolar protein NOP5/NOP58
INA	Internexin neuronal intermediate filament protein, alpha
YWHAE	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide
GALR1	Galanin receptor 1
ISL1	ISL1 transcription factor, LIM/homeodomain, (islet-1)
EIF4A1	Eukaryotic translation initiation factor 4A, isoform 1
ZMAT2	Zinc finger, matrin type 2
HNRPC	Heterogeneous nuclear ribonucleoprotein C (C1/C2)
GNAS	GNAS complex locus
CDC42BPB	CDC42 binding protein kinase beta (DMPK-like)
RSU1	Ras suppressor protein 1
C2orf25	Chromosome 2 open reading frame 25
RASL12	RAS-like, family 12
EIF4B	Eukaryotic translation initiation factor 4B
CAPN10	Calpain 10
TSKS	Testis-specific kinase substrate
ATP6V1G2	ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G2
YWHAZ	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide
TTC1	Tetratricopeptide repeat domain 1
APOA5	Apolipoprotein A-V
DPM1	Dolichyl-phosphate mannosyltransferase polypeptide 1, catalytic subunit
PCBD2	Pterin-4 alpha-carbinolamine dehydratase/dimerization cofactor of hepatocyte nuclear factor 1 alpha (TCF1) 2
CDKN3	Cyclin-dependent kinase inhibitor 3 (CDK2-associated dual specificity phosphatase)
ADSS	Adenylosuccinate synthase
ATP5A1	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle
SCFD1	Sec1 family domain containing 1
VPS4B	Vacuolar protein sorting 4 homolog B (S. cerevisiae)
NFE2L2	Nuclear factor (erythroid-derived 2)-like 2
MMAB	Methylmalonic aciduria (cobalamin deficiency) cblB type
BPTF	Bromodomain PHD finger transcription factor
HARS	Histidyl-tRNA synthetase
OTUD5	OTU domain containing 5
C9orf7	Chromosome 9 open reading frame 7
KIAA0737	KIAA0737
GNPAT	Glyceronephosphate O-acyltransferase
MGAT2	Mannosyl (alpha-1,6-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase
CSDE1	Cold shock domain containing E1, RNA-binding
POGK	Pogo transposable element with KRAB domain
MCM4	MCM4 minichromosome maintenance deficient 4 (S. cerevisiae)
CASP4	Caspase 4, apoptosis-related cysteine peptidase
KRT10	Keratin 10 (epidermolytic hyperkeratosis; keratosis palmaris et plantaris)
ITPR3	Inositol 1,4,5-triphosphate receptor, type 3
TCOF1	Treacher Collins-Franceschetti syndrome 1
UGDH	UDP-glucose dehydrogenase
NFATC2IP	Nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 2 interacting protein
PSMB10	Proteasome (prosome, macropain) subunit, beta type, 10
RAB2A	RAB2A, member RAS oncogene family
PTPN22	Protein tyrosine phosphatase, non-receptor type 22 (lymphoid)
LAMB3	Laminin, beta 3
UBE2E3	Ubiquitin-conjugating enzyme E2E 3 (UBC4/5 homolog, yeast)
CDC2L2	Cell division cycle 2-like 2 (PITSLRE proteins)
UGCGL1	UDP-glucose ceramide glucosyltransferase-like 1
SERPINA1	Serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1
LAIR2	Leukocyte-associated immunoglobulin-like receptor 2
BTG1	B-cell translocation gene 1, anti-proliferative
MOAP1	Modulator of apoptosis 1
SLC15A2	Solute carrier family 15 (H+/peptide transporter), member 2
HSDL1	Hydroxysteroid dehydrogenase like 1
LGTN	Ligatin
PAX3	Paired box gene 3 (Waardenburg syndrome 1)
SGCG	Sarcoglycan, gamma (35kDa dystrophin-associated glycoprotein)
SLC25A31	Solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 31
PTPRC	Protein tyrosine phosphatase, receptor type, C
THRAP5	Thyroid hormone receptor associated protein 5
TIAL1	TIA1 cytotoxic granule-associated RNA binding protein-like 1
TOP2B	Topoisomerase (DNA) II beta 180kDa
MRPL3	Mitochondrial ribosomal protein L3
GRHPR	Glyoxylate reductase/hydroxypyruvate reductase
PSMD13	Proteasome (prosome, macropain) 26S subunit, non-ATPase, 13
SGIP1	SH3-domain GRB2-like (endophilin) interacting protein 1
ADNP	Activity-dependent neuroprotector
STAT1	Signal transducer and activator of transcription 1, 91kDa
