Probe ID	P-Value	Gene Name	Description
244429_at	0.00544	---	Full-length cDNA clone CS0DE004YG18 of Placenta of Homo sapiens (human)
243032_at	0.00544	PIP3-E	Phosphoinositide-binding protein PIP3-E
1562754_at	0.00568	LOC339260	hypothetical protein LOC339260
218949_s_at	0.00636	QRSL1	glutaminyl-tRNA synthase (glutamine-hydrolyzing)-like 1
1564996_at	0.00636	---	CDNA FLJ20017 fis, clone ADSE00552
238813_at	0.00636	---	---
205789_at	0.00677	CD1D	CD1d molecule
216913_s_at	0.00677	KIAA0690	KIAA0690
216080_s_at	0.00735	FADS3	fatty acid desaturase 3
204257_at	0.00761	FADS3	fatty acid desaturase 3
205223_at	0.00761	DEPDC5	DEP domain containing 5
208309_s_at	0.00761	MALT1	mucosa associated lymphoid tissue lymphoma translocation gene 1
211899_s_at	0.00817	TRAF4	TNF receptor-associated factor 4
207446_at	0.00817	TLR6	toll-like receptor 6
210017_at	0.0101	MALT1	mucosa associated lymphoid tissue lymphoma translocation gene 1
243365_s_at	0.011	AUTS2	autism susceptibility candidate 2
210018_x_at	0.011	MALT1	mucosa associated lymphoid tissue lymphoma translocation gene 1
40016_g_at	0.011	MAST4	microtubule associated serine/threonine kinase family member 4
244119_at	0.011	LOC283483	hypothetical protein LOC283483
204005_s_at	0.0124	PAWR	PRKC, apoptosis, WT1, regulator
239074_at	0.0128	LOC400581	GRB2-related adaptor protein-like
206620_at	0.0132	GRAP	GRB2-related adaptor protein
236854_at	0.0134	LOC284749	hypothetical protein LOC284749
218991_at	0.0139	ABC1	amplified in breast cancer 1
220068_at	0.0141	VPREB3	pre-B lymphocyte gene 3
206508_at	0.0147	TNFSF7	tumor necrosis factor (ligand) superfamily, member 7
1553998_at	0.0147	DMRTC1	DMRT-like family C1
215537_x_at	0.0148	DDAH2	dimethylarginine dimethylaminohydrolase 2
240539_at	0.0148	AUTS2	Autism susceptibility candidate 2
230345_at	0.0152	---	Transcribed locus, weakly similar to XP_864747.1 PREDICTED: hypothetical protein XP_859654 [Canis familiaris]
214950_at	0.016	IL9R	interleukin 9 receptor
229515_at	0.017	PAWR	PRKC, apoptosis, WT1, regulator
239021_at	0.017	TLR1	Toll-like receptor 1
229726_at	0.017	GRAP	GRB2-related adaptor protein
1558476_at	0.0175	C1orf165	Chromosome 1 open reading frame 165
226713_at	0.0175	CCDC50	coiled-coil domain containing 50
207339_s_at	0.0175	LTB	lymphotoxin beta (TNF superfamily, member 3)
216379_x_at	0.0175	CD24	CD24 molecule
1563553_at	0.0184	---	---
218032_at	0.0188	SNN	stannin
244839_at	0.0191	TTN	titin
214909_s_at	0.0191	DDAH2	dimethylarginine dimethylaminohydrolase 2
1566990_x_at	0.0191	ARID1B	AT rich interactive domain 1B (SWI1-like)
1556474_a_at	0.0191	FLJ38379	hypothetical protein FLJ38379
239278_at	0.0191	---	CDNA clone IMAGE:5301129
208206_s_at	0.0191	RASGRP2	RAS guanyl releasing protein 2 (calcium and DAG-regulated)
1555888_at	0.0191	EDD1	E3 ubiquitin protein ligase, HECT domain containing, 1
209771_x_at	0.0191	CD24	CD24 molecule
230640_at	0.0191	PRPF40B	PRP40 pre-mRNA processing factor 40 homolog B (S.cerevisiae)
210202_s_at	0.0191	BIN1	bridging integrator 1
234952_s_at	0.0191	KIAA1542	CTD-binding SR-like protein rA9
41660_at	0.0191	CELSR1	cadherin, EGF LAG seven-pass G-type receptor 1 (flamingo homolog, Drosophila)
236190_at	0.0191	---	---
1559689_a_at	0.0193	LOC400581	GRB2-related adaptor protein-like
205987_at	0.0193	CD1C	CD1c molecule
218312_s_at	0.0193	ZNF447	zinc finger protein 447
1554652_s_at	0.0193	LOC375449	similar to microtubule associated testis specific serine/threonine protein kinase
1558185_at	0.0194	CLLU1	chronic lymphocytic leukemia up-regulated 1
242047_at	0.02	PLEKHK1	pleckstrin homology domain containing, family K member 1
231093_at	0.0204	FCRL3	Fc receptor-like 3
242473_at	0.0204	TRAF4	TNF receptor-associated factor 4
235322_at	0.0212	LOC649734	hypothetical protein LOC649734
243923_at	0.0216	---	---
209772_s_at	0.0216	CD24	CD24 molecule
1569422_at	0.0216	BCNP1	B-cell novel protein 1
235750_at	0.0218	C17orf65	Chromosome 17 open reading frame 65
209201_x_at	0.0223	CXCR4	chemokine (C-X-C motif) receptor 4
211919_s_at	0.0223	CXCR4	chemokine (C-X-C motif) receptor 4
214369_s_at	0.0223	RASGRP2	RAS guanyl releasing protein 2 (calcium and DAG-regulated)
219968_at	0.0223	ZNF589	zinc finger protein 589
210763_x_at	0.0223	NCR3	natural cytotoxicity triggering receptor 3
226583_at	0.0223	FLJ40142	FLJ40142 protein
220866_at	0.0223	ADAMTS6	ADAM metallopeptidase with thrombospondin type 1 motif, 6
222918_at	0.0223	RAB9B	RAB9B, member RAS oncogene family
204936_at	0.0229	MAP4K2	mitogen-activated protein kinase kinase kinase kinase 2
1557359_at	0.0229	LOC285758	hypothetical protein LOC285758
211583_x_at	0.0232	NCR3	natural cytotoxicity triggering receptor 3
212098_at	0.0236	LOC151162	hypothetical protein LOC151162
201670_s_at	0.0236	MARCKS	myristoylated alanine-rich protein kinase C substrate
212744_at	0.0236	BBS4	Bardet-Biedl syndrome 4
206036_s_at	0.0237	REL	v-rel reticuloendotheliosis viral oncogene homolog (avian)
227983_at	0.0237	MGC7036	hypothetical protein MGC7036
218922_s_at	0.0237	LASS4	LAG1 longevity assurance homolog 4 (S. cerevisiae)
202732_at	0.0244	PKIG	protein kinase (cAMP-dependent, catalytic) inhibitor gamma
206255_at	0.0244	BLK	B lymphoid tyrosine kinase
230983_at	0.0244	BCNP1	B-cell novel protein 1
1566428_at	0.0246	PAX5	Paired box gene 5 (B-cell lineage specific activator)
1566181_at	0.0246	---	CDNA: FLJ20881 fis, clone ADKA03177
210061_at	0.0248	ZNF589	zinc finger protein 589
229736_at	0.0254	TMEM86B	transmembrane protein 86B
228762_at	0.0254	LFNG	lunatic fringe homolog (Drosophila)
