GenBank ID	Definition	Ratio
X78925	Homo sapiens HZF2 mRNA for zinc finger protein	2.248
M74524	Human HHR6A (yeast RAD6 homologue) mRNA	2.277
L42373	Homo sapiens phosphatase 2A	2.462
M29580	Human zinc finger protein 7 in mRNA	2.487
NM_002647	Homo sapiens phosphatidylinositol 3-kinase (PIK3C3)	2.649
D42046	Human mRNA for KIAA0083	2.861
X72889	Homo sapiens hhrm mRNA	2.866
M64497	Human apolipoprotein A1 regulatory protein (ARP-1) mRNA	2.922
NM_003194	Homo sapiens TATA box binding protein	3.08
V43885	Human Grb-2–associated binder-1 mRNA	3.38
U31525	Human glycogenic mRNA	3.493
AF078776	Homo sapiens P53 tumor suppressor–binding protein 1 mRNA	3.575
AF06819	Homo sapiens BCE-1	4.422
X62534	Homo sapiens HMG-2 mRNA	5.256
U09366	Human zinc finger protein ZNF133	6.02
M25753	Cyclin B mRNA	6.36
