Average ratio of three paired cell lines	GenBank accession no.	Gene name	Function
-10.73	AF099731	connexin 31.1 (GJB5)	Cell communication
-33.46	Z35402	E-cadherin	Adhesion
-4.48	U97067	alpha-catenin-like	Adhesion
-7.33	M59911	Integrin alpha-3	Adhesion
-5.26	Z48199	syndecan-1	Adhesion
-29.4	AJ011497	claudin-7	Adhesion
-33.29	M23410	plakoglobin (PLAK)	Adhesion
-11.4	U07919	Aldehyde dehydrogenase 6	Metabolism
-2.97	U12472	glutathione S-transferase (GST phi)	Metabolism
-10.68	L20817	tyrosine protein kinase (CAK)	Signaling
-27.07	X52015	interleukin-1 receptor	Signaling
-6.53	U48705	receptor tyrosine kinase DDR	Signaling
-49.99	M30704	amphiregulin (AR),	Signaling
-3.86	X02910	tumor necrosis factor (TNF-alpha)	Apoptosis
-4.75	M59465	tumor necrosis factor alpha inducible protein A20	Apoptosis
-20.52	AF055481	normal epithelial cell-specific 1	Cell structure
-114.7	AF061812	keratin 16 (KRT16A)	Cell structure
-50.65	U42408	ladinin (LAD)	Cell structure
-40.64	X07696	cytokeratin 15	Cell structure
-98.43	L34155	laminin-related protein (LamA3)	Cell structure
-9.08	M26326	keratin 18	Cell structure
-22.96	X06956	alpha-tubulin	Cell structure
-46.38	Z19574	cytokeratin 17	Cell structure
-4.84	X68452	cyclin D2	Cell cycle
-3.44	V00568	c-myc	Transcription
