Probeset	V2 FA Gene Symbol	Univariate P Value	Unique GS Best P value	Significant ?0.05?	Found in Chung	ID_REF	Univariate P Value	Unique GS Best P value	Significant ?0.05?
212488_at	COL5A1	0.00081	0.00081	yes	COL5A1	11430	0.79	0.79	no
221729_at	COL5A2	0.0014	0.0014	yes	COL5A2	13243	0.29	0.29	no
204320_at	COL11A1	0.0045	0.0045	yes	COL11A1	13029	0.026	0.026	yes
202310_s_at	COL1A1	0.0055	0.0055	yes	COL1A1	9839	0.047	0.047	yes
211964_at	COL4A2	0.0096	0.0096	yes	COL4A2	6114	0.000084	0.000084	yes
211980_at	COL4A1	0.018	0.018	yes	COL4A1	8115	0.66	0.66	no
209652_s_at	PGF	0.022	0.022	yes	PGF	3591	0.12	0.12	no
201389_at	ITGA5	0.033	0.033	yes	ITGA5	4995	0.0007	0.0007	yes
226498_at	FLT1	0.046	0.046	yes					no
205885_s_at	ITGA4	0.049	0.049	yes	ITGA4	10342	0.33	0.33	no
205463_s_at	PDGFA	0.056	0.056	no	PDGFA	6096	0.00036	0.00036	yes
201110_s_at	THBS1	0.065	0.065	no	THBS1	339	0.03	0.03	yes
235629_at	FN1	0.077	0.077	no	FN1	1716	0.04	0.04	yes
37966_at	PARVB	0.077	0.077	no	PARVB	5104	0.19	0.19	no
215077_at	COL3A1	0.081	0.081	no	COL3A1	14991	0.72	0.72	no
216005_at	TNC	0.087	0.087	no	TNC	10276	0.0097	0.0097	yes
201474_s_at	ITGA3	0.12	0.12	no	ITGA3	11837	0.03	0.03	yes
209946_at	VEGFC	0.13	0.13	no	VEGFC	1331	0.64	0.64	no
202267_at	LAMC2	0.14	0.14	no	LAMC2	11922	0.92	0.92	no
203726_s_at	LAMA3	0.17	0.17	no	LAMA3	9880	0.024	0.024	yes
213992_at	COL4A6	0.18	0.18	no	COL4A6	13059	0.32	0.32	no
203510_at	MET	0.23	0.23	no	MET	12810	0.19	0.19	no
226063_at	VAV2	0.23	0.23	no	VAV2	12351	0.79	0.79	no
222719_s_at	PDGFC	0.25	0.25	no					no
200951_s_at	CCND2	0.31	0.31	no	CCND2	4118	0.058	0.058	no
208084_at	ITGB6	0.33	0.33	no					no
227048_at	LAMA1	0.35	0.35	no					no
236028_at	IBSP	0.42	0.42	no	IBSP	13368	0.000076	0.000076	yes
1568574_x_at	SPP1	0.55	0.55	no	SPP1	13416	0.1	0.1	no
204989_s_at	ITGB4	0.69	0.69	no	ITGB4	5022	0.0007	0.0007	yes
210513_s_at	VEGF	0.74	0.74	no					no
