Gene Symbol	Name
C16orf45	Chromosome 16 open reading frame 45
CAMK2N1	Calcium/calmodulin-dependent protein kinase II inhibitor 1
CCND1	Cyclin D1
COX6C	Cytochrome c oxidase subunit VIc
ERBB2	V-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)
ESR1	Estrogen receptor 1
FOXA1	Forkhead box A1
GATA3	GATA binding protein 3
GRB7	Growth factor receptor-bound protein 7
ID4	Inhibitor of DNA binding 4, dominant negative helix-loop-helix protein
IGFBP2	Insulin-like growth factor binding protein 2, 36kDa
INPP4B	Inositol polyphosphate-4-phosphatase, type II, 105kDa
KRT17	Keratin 17
NAT1	N-acetyltransferase 1 (arylamine N-acetyltransferase)
SEMA3C	Sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C
SLC39A6	Solute carrier family 39 (zinc transporter), member 6
SLC40A1	Solute carrier family 40 (iron-regulated transporter), member 1
SLC5A6	Solute carrier family 5 (sodium-dependent vitamin transporter), member 6
TMSB10	Thymosin, beta 10
XBP1	X-box binding protein 1
ASF1A	ASF1 anti-silencing function 1 homolog A (S. cerevisiae)
BLVRA	Biliverdin reductase A
BTG3	BTG family, member 3
CCNE1	Cyclin E1
CSDA	Cold shock domain protein A
CTPS	CTP synthase
FOXC1	Forkhead box C1
GSTM3	Glutathione S-transferase M3 (brain)
IGBP1	Immunoglobulin (CD79A) binding protein 1
KIAA1370	KIAA1370
RABEP1	Rabaptin, RAB GTPase binding effector protein 1
S100A11	S100 calcium binding protein A11
TCEAL1	Transcription elongation factor A (SII)-like 1
TP53BP2	Tumor protein p53 binding protein, 2
TMEM45B	Transmembrane protein 45B
VAV3	Vav 3 oncogene
FBP1	Fructose-1,6-bisphosphatase 1
HEXIM1	Hexamethylene bis-acetamide inducible 1
GPR160	G protein-coupled receptor 160
LRIG1	Leucine-rich repeats and immunoglobulin-like domains 1
MYBL2	V-myb myeloblastosis viral oncogene homolog (avian)-like 2
ABCC3	ATP-binding cassette, sub-family C (CFTR/MRP), member 3
