Position	Gene Name	Status
A2k	G1/S-specific cyclin C	Up Regulated Genes
A4i	ERK5	Up Regulated Genes
A4j	ERK6	Up Regulated Genes
A5b	ERK activator kinase 1	Up Regulated Genes
A5l	transcription factor DP2	Up Regulated Genes
B3g	caspase-8 precursor	Up Regulated Genes
B3i	caspase-9 precursor	Up Regulated Genes
B3j	caspase-10 precursor (CASP10)	Up Regulated Genes
C1a	DNA-dependent protein kinase	Up Regulated Genes
C2c	DNA-repair protein XRCC1	Up Regulated Genes
C2j	RAD1	Up Regulated Genes
C4b	Wnt-5A	Up Regulated Genes
C4k	DVL1	Up Regulated Genes
C6m	CCK4	Up Regulated Genes
C7k	retinoic acid receptor epsilon	Up Regulated Genes
C7l	retinoic acid receptor gamma 1	Up Regulated Genes
C7m	retinoic acid receptor beta	Up Regulated Genes
D4b	integrin alpha 8	Up Regulated Genes
D4j	integrin beta 7 precursor	Up Regulated Genes
D4k	integrin beta 8 precursor	Up Regulated Genes
D5g	ezrin; cytovillin 2; villin 2	Up Regulated Genes
D5j	CD56 antigen	Up Regulated Genes
D7f	placenta growth factor 1	Up Regulated Genes
E1f	MMP9	Up Regulated Genes
E2a	MMP18	Up Regulated Genes
F3j	early growth response protein 1	Up Regulated Genes
F4l	IL-6	Up Regulated Genes
F5e	IL-13	Up Regulated Genes
F5k	interferon gamma precursor	Up Regulated Genes
F5l	leukocyte interferon-inducible peptide	Up Regulated Genes
C6c	insulin-like growth factor binding protein 2 (IGFBP2)	Down regulated Genes
F4d	interleukin-1 receptor antagonist protein precursor (IL-1RA; IRAP)	Down regulated Genes
