Gene symbol	Gene title	Fold difference of geometric means	Description
MLL3	Myeloid/lymphoid or mixed-lineage leukemia 3	0.58	Ubiquitination
MYLIP	Myosin regulatory light chain interacting protein	0.57	Ubiquitination
TRIM25	Tripartite motif-containing 25	0.71	Ubiquitination
TRIM38	Tripartite motif-containing 38	0.63	Ubiquitination
TRIM52	Tripartite motif-containing 52	0.71	Ubiquitination
USP8	Ubiquitin specific peptidase 8	0.78	Ubiquitination
ADAR	Adenosine deaminase, RNA specific	0.84	Regulation of transcription
ANKIB1	Ankyrin repeat and IBR domain containing 1	0.6	Regulation of transcription
ELF2	E74-like factor 2 (ets domain transcription factor)	0.74	Regulation of transcription
HOXA7	Homeobox A7	0.54	Regulation of transcription
ID2	Inhibitor of DNA binding 2, dominant-negative helix-loop-helix protein	0.49	Regulation of transcription
POU2F1	POU domain, class 2, transcription factor 1	0.7	Regulation of transcription
PPARBP	PPAR binding protein	0.59	Regulation of transcription
SP100	Nuclear antigen Sp100	0.65	Regulation of transcription
SP110	SP110 nuclear body protein	0.61	Regulation of transcription
SP4	Sp4 transcription factor	0.71	Regulation of transcription
TAF1	TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor	0.74	Regulation of transcription
TFAP2A	Transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)	0.52	Regulation of transcription
TRERF1	Transcriptional regulating factor 1	0.42	Regulation of transcription
ZNF12	Zinc finger protein 12	0.57	Regulation of transcription
ZNF148	Zinc finger protein 148 (pHZ-52)	0.68	Regulation of transcription
CCR7	Chemokine (C-C motif) receptor 7	0.46	Immune response:chemotaxis
CD47	CD47 antigen (Rh-related antigen, integrin-associated signal transducer)	0.61	Immune response:chemotaxis
G1P2	Interferon alpha-inducible protein (clone IFI-15K)	0.58	Immune response:chemotaxis
IFI44	Interferon-induced protein 44	0.36	Immune response:chemotaxis
IFI44L	Interferon-induced protein 44-like	0.17	Immune response:chemotaxis
IFIT2	Interferon-induced protein with tetratricopeptide repeats 2	0.46	Immune response:chemotaxis
IFIT3	Interferon-induced protein with tetratricopeptide repeats 3	0.38	Immune response:chemotaxis
