GO code	GO term	No of changed probe sets	No of probe sets on chip	% of changed probe sets	P value
278	mitotic cell cycle	20	367	0.054	1.30×10-45
279	M phase	19	335	0.057	2.38×10-45
7067	mitosis	16	260	0.062	5.82×10-42
87	M phase of mitotic cell cycle	16	264	0.061	2.91×10-41
51301	cell division	13	267	0.049	1.78×10-26
7049	cell cycle	30	1230	0.024	4.61×10-26
7017	microtubule-based process	10	194	0.052	5.25×10-22
74	regulation of progression through cell cycle	20	839	0.024	5.85×10-17
51726	regulation of cell cycle	20	842	0.024	7.01×10-17
6260	DNA replication	10	301	0.033	2.16×10-13
6259	DNA metabolism	15	968	0.015	3.63×10-7
7010	cytoskeleton organization and biogenesis	10	591	0.017	9.17×10-6
50791	regulation of physiological process	37	4764	0.008	2.18×10-4
51244	regulation of cellular physiological process	36	4603	0.008	2.41×10-4
8283	cell proliferation	12	954	0.013	2.48×10-4
50794	regulation of cellular process	37	4952	0.007	6.06×10-4
6996	organelle organization and biogenesis	14	1336	0.01	1.34×10-3
51649	establishment of cellular localization	12	1071	0.011	1.37×10-3
50789	regulation of biological process	38	5318	0.007	1.47×10-3
51641	cellular localization	12	1083	0.011	1.60×10-3
16043	cell organization and biogenesis	20	2536	0.008	1.25×10-2
6139	nucleobase, nucleoside, nucleotide and nucleic acid metabolism	30	4590	0.007	4.12×10-2
43283	biopolymer metabolism	27	4033	0.007	4.28×10-2
50875	cellular physiological process	70	13467	0.005	4.97×10-2
