Probeset ID	Gene Symbol	Gene Title	P-value	FoldChange
225688_s_at	PHLDB2	pleckstrin homology-like domain, family B, member 2	0.009	4.2
212592_at	IGJ	Immunoglobulin J polypeptide, linker protein for immunoglobulin alpha and mu polypeptides	0.015	3.64
238919_at	Unknown transcript	Full-length cDNA clone CS0DF024YN04 of Fetal brain of Homo sapiens (human)	0.004	3.57
1554997_a_at	PTGS2	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)	0.004	3.57
236203_at	HLA-DQA1	NA	0.032	3.42
205848_at	GAS2	growth arrest-specific 2	0.021	3.4
219454_at	EGFL6	EGF-like-domain, multiple 6	0.01	3.3
213094_at	GPR126	G protein-coupled receptor 126	0.018	3.18
235763_at	SLC44A5	solute carrier family 44, member 5	0.009	2.88
238206_at	RXFP1	relaxin/insulin-like family peptide receptor 1	0.011	2.83
214455_at	HIST1H2BC	histone cluster 1, H2bc	0.006	2.71
210387_at	HIST1H2BG	histone cluster 1, H2bg	0.009	2.55
204748_at	PTGS2	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)	0.036	2.53
239451_at	Unknown transcript	CDNA FLJ26407 fis, clone HRT09288	0.02	2.53
1552715_a_at	RXFP1	relaxin/insulin-like family peptide receptor 1	0.005	2.53
214472_at	HIST1H3D	histone cluster 1, H3d	0.006	2.51
228372_at	C10orf128	chromosome 10 open reading frame 128	0.001	2.49
229530_at	NA	CDNA clone IMAGE:5302158	0.061	2.48
236193_at	HIST1H2BC	histone cluster 1, H2bc	0.015	2.45
205612_at	MMRN1	multimerin 1	0.012	2.41
229963_at	BEX5	BEX family member 5	0.038	2.41
230836_at	ST8SIA4	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4	0.018	2.39
234994_at	TMEM200A	transmembrane protein 200A	0.039	2.38
232752_at	Unknown transcript	Homo sapiens, clone IMAGE:4095671, mRNA	0.009	2.34
235342_at	SPOCK3	sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 3	0.042	2.34
213194_at	ROBO1	roundabout, axon guidance receptor, homolog 1 (Drosophila)	0.09	2.33
206950_at	SCN9A	sodium channel, voltage-gated, type IX, alpha subunit	0	2.32
229437_at	MIRN155	microRNA 155	0.005	2.31
222872_x_at	OBFC2A	oligonucleotide/oligosaccharide-binding fold containing 2A	0.004	2.3
227235_at	Unknown transcript	CDNA clone IMAGE:5302158	0.029	2.29
226003_at	KIF21A	kinesin family member 21A	0.034	2.29
207426_s_at	TNFSF4	tumor necrosis factor (ligand) superfamily, member 4 (tax-transcriptionally activated glycoprotein 1, 34kDa)	0.018	2.28
233085_s_at	OBFC2A	oligonucleotide/oligosaccharide-binding fold containing 2A	0.005	2.28
218502_s_at	TRPS1	trichorhinophalangeal syndrome I	0.011	2.28
215071_s_at	HIST1H2AC	histone cluster 1, H2ac	0.024	2.27
202581_at	HSPA1B	heat shock 70kDa protein 1B	0.063	2.27
222908_at	FAM38B	family with sequence similarity 38, member B	0.003	2.26
219602_s_at	FAM38B	family with sequence similarity 38, member B	0.014	2.25
232235_at	DSEL	dermatan sulfate epimerase-like	0.002	2.24
204794_at	DUSP2	dual specificity phosphatase 2	0.006	2.23
219737_s_at	PCDH9	protocadherin 9	0.071	2.23
222162_s_at	ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif, 1	0	2.22
230791_at	Unknown transcript	CDNA FLJ12033 fis, clone HEMBB1001899	0.021	2.22
219410_at	TMEM45A	transmembrane protein 45A	0.007	2.22
228919_at	Unknown transcript	NA	0.009	2.22
219304_s_at	PDGFD	platelet derived growth factor D	0.005	2.21
228708_at	RAB27B	RAB27B, member RAS oncogene family	0.001	2.2
231804_at	RXFP1	relaxin/insulin-like family peptide receptor 1	0.029	2.2
236451_at	NA	CDNA FLJ14635 fis, clone NT2RP2001196	0.017	2.19
209774_x_at	CXCL2	chemokine (C-X-C motif) ligand 2	0.029	2.19
204753_s_at	HLF	hepatic leukemia factor	0.06	2.18
205608_s_at	ANGPT1	angiopoietin 1	0.021	2.18
209839_at	DNM3	dynamin 3	0.019	2.17
242292_at	CXorf50B /// hCG_1731871	hCG1731871 /// chromosome X open reading frame 50B	0.016	2.16
210299_s_at	FHL1	four and a half LIM domains 1	0.037	2.16
227082_at	NA	MRNA; cDNA DKFZp586K1922 (from clone DKFZp586K1922)	0.02	2.16
235046_at	NA	Transcribed locus	0.027	2.15
219871_at	FLJ13197	hypothetical FLJ13197	0.006	2.15
1562235_s_at	NA	Transcribed locus	0.012	2.13
205609_at	ANGPT1	angiopoietin 1	0.028	2.13
204438_at	MRC1 /// MRC1L1	mannose receptor, C type 1 /// mannose receptor, C type 1-like 1	0.05	2.13
210621_s_at	RASA1	RAS p21 protein activator (GTPase activating protein) 1	0.002	2.12
207850_at	CXCL3	chemokine (C-X-C motif) ligand 3	0.054	2.12
204755_x_at	HLF	hepatic leukemia factor	0.041	2.1
240574_at	NA	CDNA clone IMAGE:5262677	0.009	2.1
223503_at	TMEM163	transmembrane protein 163	0.01	2.1
222885_at	EMCN	endomucin	0.021	2.09
204749_at	NAP1L3	nucleosome assembly protein 1-like 3	0.079	2.09
227314_at	ITGA2	integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)	0.004	2.09
226425_at	CLIP4	CAP-GLY domain containing linker protein family, member 4	0.005	2.08
222717_at	SDPR	serum deprivation response (phosphatidylserine binding protein)	0.002	2.08
206110_at	HIST1H3H	histone cluster 1, H3h	0.044	2.08
203102_s_at	MGAT2	mannosyl (alpha-1,6-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase	0.011	2.07
230261_at	ST8SIA4	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4	0.022	2.06
224827_at	UBTD2	ubiquitin domain containing 2	0.038	2.05
241991_at	NA	Transcribed locus	0.01	2.05
226210_s_at	MEG3	maternally expressed 3	0.01	2.05
213388_at	LOC727942	similar to phosphodiesterase 4D interacting protein isoform 2	0.006	2.04
209348_s_at	MAF	v-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)	0.049	2.04
235852_at	STON2	Stonin 2	0.042	2.04
219371_s_at	KLF2	Kruppel-like factor 2 (lung)	0.012	2.04
225897_at	MARCKS	myristoylated alanine-rich protein kinase C substrate	0.002	2.04
232383_at	TFEC	transcription factor EC	0.014	2.03
216379_x_at	CD24	CD24 molecule	0.078	2.03
227626_at	PAQR8	progestin and adipoQ receptor family member VIII	0.032	2.03
205637_s_at	SH3GL3	SH3-domain GRB2-like 3	0.041	2.01
213506_at	F2RL1	coagulation factor II (thrombin) receptor-like 1	0.008	2.01
233011_at	ANXA1	Annexin A1	0.097	2
239123_at	NA	Colorectal cancer-related mRNA sequence	0.004	2
230192_at	TRIM13	tripartite motif-containing 13	0.055	2
223698_at	SLC25A36	solute carrier family 25, member 36	0.007	1.99
229199_at	SCN9A	sodium channel, voltage-gated, type IX, alpha subunit	0.027	1.99
243908_at	NA	NA	0.004	1.99
239999_at	C21orf34	Chromosome 21 open reading frame 34	0.04	1.99
212099_at	RHOB	ras homolog gene family, member B	0.054	1.99
206478_at	KIAA0125	KIAA0125	0.001	1.98
239278_at	NA	CDNA clone IMAGE:5301129	0.013	1.98
222891_s_at	BCL11A	B-cell CLL/lymphoma 11A (zinc finger protein)	0.01	1.98
1562403_a_at	SLC8A3	solute carrier family 8 (sodium-calcium exchanger), member 3	0.003	1.98
239024_at	ZNF148	zinc finger protein 148	0.025	1.98
203881_s_at	DMD	dystrophin (muscular dystrophy, Duchenne and Becker types)	0.008	1.97
238554_at	CYB5B	cytochrome b5 type B (outer mitochondrial membrane)	0.004	1.97
222067_x_at	HIST1H2BD	histone cluster 1, H2bd	0.018	1.97
226041_at	NAPE-PLD	N-acyl-phosphatidylethanolamine-hydrolyzing phospholipase D	0.017	1.97
212731_at	ANKRD46	ankyrin repeat domain 46	0.007	1.96
225308_s_at	TANC1	tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1	0.005	1.96
238484_s_at	NA	MRNA; clone CD 43T7	0.013	1.96
1556474_a_at	FLJ38379	hypothetical protein FLJ38379	0.055	1.96
203946_s_at	ARG2	arginase, type II	0.039	1.95
232344_at	NA	CDNA FLJ11750 fis, clone HEMBA1005568	0.02	1.94
228396_at	PRKG1	protein kinase, cGMP-dependent, type I	0.055	1.94
238458_at	EFHA2	EF-hand domain family, member A2	0.032	1.94
230563_at	RASGEF1A	RasGEF domain family, member 1A	0.015	1.94
200878_at	EPAS1	endothelial PAS domain protein 1	0.067	1.94
228027_at	GPRASP2	G protein-coupled receptor associated sorting protein 2	0.044	1.94
230624_at	SLC25A27	solute carrier family 25, member 27	0.007	1.93
212367_at	FEM1B	fem-1 homolog b (C. elegans)	0.041	1.93
204084_s_at	CLN5	ceroid-lipofuscinosis, neuronal 5	0.001	1.93
1555938_x_at	VIM	vimentin	0.083	1.93
219421_at	TTC33	tetratricopeptide repeat domain 33	0.042	1.93
202112_at	VWF	von Willebrand factor	0.078	1.93
209386_at	TM4SF1	transmembrane 4 L six family member 1	0.021	1.92
236328_at	ZNF285A	zinc finger protein 285A	0.018	1.92
232382_s_at	PCMTD1	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1	0.04	1.92
1554007_at	NA	CDNA clone IMAGE:5303689	0.011	1.92
228977_at	LOC729680	hypothetical protein LOC729680	0.052	1.91
232974_at	NA	CDNA FLJ12417 fis, clone MAMMA1003039	0.003	1.91
233921_s_at	NA	CDNA FLJ12016 fis, clone HEMBB1001707	0.025	1.91
221207_s_at	NBEA	neurobeachin	0.011	1.91
209943_at	FBXL4	F-box and leucine-rich repeat protein 4	0.008	1.9
1569312_at	NA	CDNA clone IMAGE:4067166	0.011	1.9
203476_at	TPBG	trophoblast glycoprotein	0.086	1.9
242172_at	MEIS1	Meis homeobox 1	0.006	1.9
214930_at	SLITRK5	SLIT and NTRK-like family, member 5	0.03	1.9
1563629_a_at	NA	CDNA FLJ34475 fis, clone HLUNG2003716, moderately similar to RETROVIRUS-RELATED ENV POLYPROTEIN	0.002	1.9
231899_at	ZC3H12C	zinc finger CCCH-type containing 12C	0.005	1.89
221942_s_at	GUCY1A3	guanylate cyclase 1, soluble, alpha 3	0.082	1.89
208498_s_at	AMY1A /// AMY1B /// AMY1C /// AMY2A /// AMY2B /// LOC730924	amylase, alpha 1A (salivary) /// amylase, alpha 1B (salivary) /// amylase, alpha 1C (salivary) /// amylase, alpha 2A (pancreatic) /// amylase, alpha 2B (pancreatic) /// similar to Pancreatic alpha-amylase precursor (PA) (1,4-alpha-D-glucan glucanohydrolase)	0.022	1.89
228494_at	PPP1R9A	protein phosphatase 1, regulatory (inhibitor) subunit 9A	0.061	1.89
227792_at	LOC162073	hypothetical protein LOC162073	0.021	1.89
227866_at	LOC729436	Hypothetical protein LOC729436	0.002	1.89
218901_at	PLSCR4	phospholipid scramblase 4	0.023	1.89
205376_at	INPP4B	inositol polyphosphate-4-phosphatase, type II, 105kDa	0.013	1.89
1569583_at	EREG	epiregulin	0.021	1.89
236723_at	NA	Transcribed locus	0.002	1.89
223669_at	HEMGN	hemogen	0.034	1.88
209911_x_at	HIST1H2BD	histone cluster 1, H2bd	0.004	1.88
238122_at	RBM12B	RNA binding motif protein 12B	0.018	1.88
215034_s_at	TM4SF1	transmembrane 4 L six family member 1	0.009	1.88
235740_at	NA	Transcribed locus	0.058	1.88
213541_s_at	ERG	v-ets erythroblastosis virus E26 oncogene homolog (avian)	0.015	1.88
229654_at	ZNF44	Zinc finger protein 44	0.001	1.87
214469_at	HIST1H2AE	histone cluster 1, H2ae	0.043	1.87
243767_at	NA	Transcribed locus	0.035	1.87
238154_at	CEP70	Centrosomal protein 70kDa	0.005	1.87
226365_at	NA	CDNA FLJ40901 fis, clone UTERU2003704 /// Clone HLS_IMAGE_767345 mRNA sequence	0.047	1.87
204069_at	MEIS1	Meis homeobox 1	0.003	1.87
235456_at	NA	CDNA clone IMAGE:4819084	0.015	1.87
227607_at	STAMBPL1	STAM binding protein-like 1	0.007	1.86
205067_at	IL1B	interleukin 1, beta	0	1.86
215779_s_at	HIST1H2BG	histone cluster 1, H2bg	0.04	1.86
