Genesymbol	P,unadjusted	P,adjusted	Function
FJX1	0.00002	0.0210896	Differentiationanddevelopment
	0.00002	0.0210896	ESTs
STAT4	0.00002	0.0210896	Signaltransduction,T-celldifferentiation/proliferation
SYNE-1B	0.00004	0.0210896	Signaltransduction
CDC16	0.00004	0.0210896	Cellcyclecontrol
BCL7A	0.00004	0.0210896	Oncogenesis,actinbinding
TRAF1	0.00006	0.0210896	TNFsignaling,apoptosisregulator
BIRC3	0.00006	0.0210896	Inhibitionofapoptosis
PRO0823	0.00006	0.0210896	HypotheticalproteinPRO0823,functionunknown
WBSCR14	0.00006	0.0210896	Roleincelldifferentiationand/orproliferation
ITGAX	0.0001	0.0319539	Integrin,celladhesion
MGC5363	0.00014	0.039543	HypotheticalproteinMGC5363,functionunknown
LYN	0.00016	0.039543	Signaltransduction,oncogene
EB12	0.00016	0.039543	EBVinduced,receptorsignaling,immuneresponse
BARX2	0.00018	0.039543	Differentiationanddevelopment,celladhesion
FBP17	0.00018	0.039543	Formingbinding
RASSF2	0.00022	0.0454873	Oncogene
WASPIP	0.00026	0.0507712	Cytoskeletonorganization,signaltransduction
LCP2	0.00031999	0.0562389	T-cellsignaling
PCTAIRE2BP	0.00031999	0.0562389	Cellcyclecontrol
HCK	0.00033999	0.0569084	Signaltransduction
DEDD	0.00037999	0.0607124	Apoptosis
ACTN1	0.00039999	0.0611292	Actinin,cytoskeletonorganization
SELP	0.00043999	0.0644404	Selectin,celladhesion
CD5	0.00047999	0.0674867	T-cellmarker,T-cellproliferation
UBE2L3	0.00061999	0.0838176	Ubiquitination
TNFRSF5	0.00069999	0.0911278	TNFfamily,T-cellactivation,apoptosisinhibitor
