Probe ID	HGNC	EnsEMBL ID	Description	Fold Difference	P-value	Corrected p-value
213539_at	CD3D	ENSG00000167286	T-cell surface glycoprotein CD3 delta chain precursor (T-cell receptor T3 delta chain).	0.76	0.016	1.00
205456_at	CD3E	ENSG00000198851	T-cell surface glycoprotein CD3 epsilon chain precursor (T-cell surface antigen T3/Leu-4 epsilon chain).	0.64	2.9E-04	0.65
206804_at	CD3G	ENSG00000160654	T-cell surface glycoprotein CD3 gamma chain precursor (T-cell receptor T3 gamma chain).	0.65	8.8E-04	0.92
203547_at	CD4	ENSG00000010610	T-cell surface glycoprotein CD4 precursor (T-cell surface antigen T4/Leu-3).	1.16	0.064	1.00
205758_at	CD8A	ENSG00000153563	T-cell surface glycoprotein CD8 alpha chain precursor (T-lymphocyte differentiation antigen T8/Leu-2) (CD8a antigen).	2.19	1.9E-03	0.99
215332_s_at	CD8B	ENSG00000172116	T-cell surface glycoprotein CD8 beta chain precursor (CD8b antigen).	1.21	0.44	1.00
206545_at	CD28	ENSG00000178562	T-cell-specific surface glycoprotein CD28 precursor (TP44).	0.54	1.1E-03	0.95
211856_x_at	CD28	ENSG00000178562	T-cell-specific surface glycoprotein CD28 precursor (TP44).	0.63	0.084	1.00
211861_x_at	CD28	ENSG00000178562	T-cell-specific surface glycoprotein CD28 precursor (TP44).	0.59	0.059	1.00
208850_s_at	THY1	ENSG00000154096	Thy-1 membrane glycoprotein precursor (Thy-1 antigen) (CD90 antigen) (CDw90).	0.51	0.015	1.00
208851_s_at	THY1	ENSG00000154096	Thy-1 membrane glycoprotein precursor (Thy-1 antigen) (CD90 antigen) (CDw90).	0.60	0.029	1.00
213869_x_at	THY1	ENSG00000154096	Thy-1 membrane glycoprotein precursor (Thy-1 antigen) (CD90 antigen) (CDw90).	0.52	0.016	1.00
231794_at	CTLA4	ENSG00000163599	Cytotoxic T-lymphocyte protein 4 precursor (Cytotoxic T-lymphocyte-associated antigen 4) (CTLA-4) (CD152 antigen).	0.72	0.18	1.00
234362_s_at	CTLA4	ENSG00000163599	Cytotoxic T-lymphocyte protein 4 precursor (Cytotoxic T-lymphocyte-associated antigen 4) (CTLA-4) (CD152 antigen).	0.71	0.23	1.00
234895_at	CTLA4	ENSG00000163599	Cytotoxic T-lymphocyte protein 4 precursor (Cytotoxic T-lymphocyte-associated antigen 4) (CTLA-4) (CD152 antigen).	1.01	0.033	1.00
236341_at	CTLA4	ENSG00000163599	Cytotoxic T-lymphocyte protein 4 precursor (Cytotoxic T-lymphocyte-associated antigen 4) (CTLA-4) (CD152 antigen).	0.67	0.19	1.00
207892_at	CD40LG	ENSG00000102245	CD40 ligand (CD40-L) (Tumor necrosis factor ligand superfamily member 5) (TNF-related activation protein) (TRAP) (T cell antigen Gp39) (CD154 antigen) [Contains: CD40 ligand, membrane form; CD40 ligand, soluble form].	0.75	0.029	1.00
210439_at	ICOS	ENSG00000163600	Inducible T-cell co-stimulator precursor (Activation-inducible lymphocyte immunomediatory molecule) (CD278 antigen).	0.34	7.8E-04	0.90
207849_at	IL2	ENSG00000109471	Interleukin-2 precursor (IL-2) (T-cell growth factor) (TCGF) (Aldesleukin).	1.01	0.48	1.00
207538_at	IL4	ENSG00000113520	Interleukin-4 precursor (IL-4) (B-cell stimulatory factor 1) (BSF-1) (Lymphocyte stimulatory factor 1) (Binetrakin) (Pitrakinra).	1.01	0.073	1.00
207952_at	IL5	ENSG00000113525	Interleukin-5 precursor (IL-5) (T-cell replacing factor) (TRF) (Eosinophil differentiation factor) (B cell differentiation factor I).	1.02	0.046	1.00
207844_at	IL13	ENSG00000169194	Interleukin-13 precursor (IL-13).	1.01	0.81	1.00
208402_at	IL17A	ENSG00000112115	Interleukin-17A precursor (IL-17A) (IL-17) (Cytotoxic T-lymphocyte-associated antigen 8) (CTLA-8).	1.02	0.046	1.00
216876_s_at	IL17A	ENSG00000112115	Interleukin-17A precursor (IL-17A) (IL-17) (Cytotoxic T-lymphocyte-associated antigen 8) (CTLA-8).	1.16	0.64	1.00
206341_at	IL2RA	ENSG00000134460	Interleukin-2 receptor alpha chain precursor (IL-2 receptor alpha subunit) (IL-2-RA) (IL2-RA) (p55) (TAC antigen) (CD25 antigen).	2.32	1.9E-03	0.99
