Gene Bank	Gene Name	Fold Change	p-value
X56692	C-reactive protein	10.1	0.039
NM_000584.1	Interleukin 8 (IL8)	8.7	0.017
AK026546.1	Homo sapiens cDNA: FLJ22893 fis, clone KAT04792.	6.9	0.009
NM_003641.1	Interferon induced transmembrane protein 1 (9-27) (IFITM1)	6.1	0.005
NM_005141.1	Fibrinogen, B beta polypeptide (FGB)	5.5	0.023
NM_006169.1	Nicotinamide N-methyltransferase (NNMT)	5.3	0.002
L03203.1	Peripheral myelin protein 22 (GAS3)	5.2	0.023
AJ224869	CXCR4 gene encoding receptor CXCR4 (fusin)	5.2	0.003
M83248.1	Nephropontin (osteopontin)	5.1	0.023
NM_000295.1	Serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1 (SERPINA1)	4.9	0.002
