ProbeID	Gen Name	ALL_DATA	GRADE_1	GRADE_1-LIKE	GRADE_3-LIKE	GRADE_3
200029_at	RPL19	2.20E-02	8.64E-01	6.06E-01	9.10E-01	3.62E-01
228888_at	STAC2	2.81E-01	5.73E-01	4.60E-01	8.45E-01	7.69E-01
239224_at	FBXL20	2.62E-02	3.84E-01	5.19E-02	1.05E-01	6.88E-03
203497_at	PPARBP	5.54E-12	3.89E-01	6.20E-03	2.52E-02	1.51E-02
213557_at	CRKRS	5.39E-08	9.06E-01	1.63E-02	3.50E-02	1.46E-02
210271_at	NEUROD2	4.07E-01	7.20E-01	2.72E-01	9.85E-01	2.31E-01
225165_at	PPP1R1B	6.52E-02	4.92E-01	9.18E-01	3.25E-01	3.88E-01
202991_at	STARD3	6.70E-12	4.07E-02	8.87E-04	5.16E-03	1.73E-02
205766_at	TCAP	1.81E-02	1.29E-01	4.07E-01	3.59E-02	2.53E-01
206793_at	PNMT	4.42E-02	6.06E-01	8.03E-01	5.08E-02	1.16E-01
221811_at	PERLD1	3.66E-11	1.53E-01	1.99E-05	4.81E-02	5.67E-02
216836_s_at	ERBB2	2.42E-02	7.48E-01	1.53E-03	1.54E-01	4.46E-02
224447_s_at	C17orf37	6.84E-02	4.81E-02	1.68E-02	2.20E-01	3.70E-02
210761_s_at	GRB7	3.85E-10	3.33E-01	1.83E-03	8.59E-03	1.94E-02
221092_at	IKZF3	2.11E-02	3.61E-02	5.06E-02	2.29E-01	1.10E-01
231442_at	ZPBP2	3.88E-02	3.96E-01	3.14E-02	2.53E-01	4.13E-03
219233_s_at	GSDML	2.59E-02	1.02E-01	4.92E-01	4.32E-01	7.09E-01
