Down-regulation (Z score)	Gene	Common	GeneBank	Description
4.73	210072_at	CCL19	U88321	chemokine (C-C motif) ligand 19
3.598	208581_x_at	MT1X	NM_005952	metallothionein 1X
3.35	212185_x_at	MT2A	NM_005953	metallothionein 2A
3.278	217165_x_at	MT2A	M10943	human metallothionein-If; Human metallothionein-If gene (hMT-If).
3.242	1555653_at	hnRNPA3	BC012090
3.005	218345_at	HCA112	NM_018487	hepatocellular carcinoma-associated antigen 112
2.997	204326_x_at	MT1X	NM_002450
2.987	206461_x_at	MT1H	NM_005951	metallothionein 1H
2.98	220532_s_at	LR8	NM_014020	LR8 protein
2.967	212859_x_at	MT1E	BF217861	metallothionein 2A
2.929	36994_at	ATP6V0C	M62762	Human vacuolar H+ ATPase proton channel subunit mRNA, complete cds.
2.845	217767_at	C3	NM_000064	complement component 3
2.775	208540_x_at	S100A11	NM_021039
2.646	206662_at	GLRX	NM_002064	glutaredoxin (thioltransferase)
2.638	202376_at	SERPINA3	NM_001085	serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3
2.558	200675_at	CD81	NM_004356	CD81 antigen (target of antiproliferative antibody 1)
2.514	206108_s_at	SFRS6	NM_006275	splicing factor, arginine/serine-rich 6
2.453	213629_x_at	MT1F	BF246115	metallothionein 1F (functional)
2.385	204745_x_at	MT1G	NM_005950	metallothionein 1G
2.361	1558836_at		BQ024490	UI-1-BB1p-aut-f-08-0-UI.s1 NCI_CGAP_Pl6 Homo sapiens cDNA clone UI-1-BB1p-aut-f-08-0-UI 3prime, mRNA sequence.
2.273	224583_at	COTL1	AL565621	coactosin-like 1 (Dictyostelium)
2.249	212884_x_at	APOE	AI358867	apolipoprotein E
2.202	202727_s_at	IFNGR1	NM_000416	interferon gamma receptor 1
2.199	215235_at	SPTAN1	AL110273	spectrin, alpha, non-erythrocytic 1 (alpha-fodrin)
2.15	234987_at		AV715309	Similar to dJ132F21.2 (Contains a novel protein similar to the L82E from Drosophila) (LOC343574), mRNA
2.146	221477_s_at	MGC5618	BF575213	superoxide dismutase 2, mitochondrial
2.124	200782_at	ANXA5	NM_001154	annexin A5
2.093	207460_at	GZMM	NM_005317	granzyme M (lymphocyte met-ase 1)
2.075	211509_s_at	RTN4	AB015639	reticulon 4
2.063	212171_x_at	VEGF	H95344	vascular endothelial growth factor
2.051	1558837_a_at		BQ024490	UI-1-BB1p-aut-f-08-0-UI.s1 NCI_CGAP_Pl6 Homo sapiens cDNA clone UI-1-BB1p-aut-f-08-0-UI 3prime, mRNA sequence.
2.043	212303_x_at	KHSRP	BG026366	602291736F1 NIH_MGC_86 Homo sapiens cDNA clone IMAGE:4386489 5prime, mRNA sequence.
2.024	200945_s_at	SEC31L1	NM_014933	SEC31-like 1 (S. cerevisiae)
2.01	201425_at	ALDH2	NM_000690	aldehyde dehydrogenase 2 family (mitochondrial)
2.001	64064_at	IAN4L1	AI435089	th95b11.x1 Soares_NSF_F8_9W_OT_PA_P_S1 Homo sapiens cDNA clone IMAGE:2126397 3prime, mRNA sequence.
1.974	227853_at		AW024350	Transcribed sequence with weak similarity to protein pir:I60307 (E. coli) I60307 beta-galactosidase, alpha peptide - Escherichia coli
1.967	221747_at	TNS	AL046979	tensin
1.967	224927_at	KIAA1949	BG251556	KIAA1949
1.955	206359_at	SOCS3	BG035761	suppressor of cytokine signaling 3
1.949	240991_at		AI732596	Transcribed sequence with weak similarity to protein ref:NP_060265.1 (H.sapiens) hypothetical protein FLJ20378 [Homo sapiens]
1.891	217892_s_at	EPLIN	NM_016357	epithelial protein lost in neoplasm beta
1.875	200800_s_at	HSPA1A	NM_005345	heat shock 70kDa protein 1A
1.873	202759_s_at	AKAP2	BE879367	paralemmin 2
1.844	202794_at	INPP1	NM_002194	inositol polyphosphate-1-phosphatase
1.834	204858_s_at	ECGF1	NM_001953	endothelial cell growth factor 1 (platelet-derived)
1.829	231241_at		AW469714	Transcribed sequence with moderate similarity to protein ref:NP_055224.1 (H.sapiens) PCAF associated factor 65 beta [Homo sapiens]
1.827	204166_at	KIAA0963	NM_014963
1.825	213733_at	MYO1F	BF740152	myosin IF
1.82	234973_at	SLC38A5	BG325630	solute carrier family 38, member 5
1.816	209003_at	SLC25A11	AF070548	solute carrier family 25 (mitochondrial carrier; oxoglutarate carrier), member 11
1.815	201862_s_at	LRRFIP1	NM_004735	leucine rich repeat (in FLII) interacting protein 1
1.809	221489_s_at	SPRY4	W48843	sprouty homolog 4 (Drosophila)
1.805	201042_at	TGM2	AL031651
1.783	209758_s_at	MFAP5	U37283	Microfibril-associated glycoprotein-2
1.771	218094_s_at	C20orf35	NM_018478	chromosome 20 open reading frame 35
1.766	200035_at	DULLARD	NM_015343	GABA(A) receptor-associated protein
