Hugo ID	Name
WASPIP	PRPL-2 protein
ITGAL	Integrin, alpha L (antigen CD11A (p180))
PIR121	inducible protein (CYFIP2)
BTK	TYROSINE-PROTEIN KINASE ATK
BTK	Agammaglobulinaemia protein-tyrosine kinase atk
CD53	CD53 antigen
CORO1A	actin binding protein p57
BNIP2	BCL2/adenovirus E1B 19kD-interacting protein 2 (BNIP2)
GRP58	Probable protein disulfide isomerase ER-60
GRP58	Probable protein disulfide isomerase ER-60
GRP58	phospholipase C-alpha
MLC-B	myosin regulatory light chain
ABCD3	Peroxisomal membrane protein 1
ADFP	adipophilin
HCLS1	Hematopoietic lineage cell specific protein (HS1)
PRKCBP1	RACK-like protein PRKCBP1
TMSB4X	thymosin beta-4
INPP5D	signaling inositol polyphosphate 5 phosphatase (SHIP)
G1P3	IFI27
CLK1	clk1
CKB	Creatine kinase B
CTRB1	Chymotrypsinogen B1
SEC61B	Protein transport protein SEC61 beta subunit
BTG2	BTG2 (BTG2)
KIAA0226	KIAA0226
IGJ	IMMUNOGLOBULIN J CHAIN
TPD52	19.8 kDa protein
KIAA0040	KIAA0040
GM2A	GM2 ganglioside activator protein
KCNN3	calcium-activated potassium channel (SKCA3)
PSCDBP	transcription factor (cytohesin binding protein)
ACO2	Aconitase 2, mitochondrial
OPCML	similar to SW:OPC1_RAT P32736 opiod binding protein
ETV5	ETS-RELATED PROTEIN ERM
HADHA	Hydroxyacyl-Coenzyme A dehydrogenase
HINT1	protein kinase C inhibitor-I (PKCI-1)
	rearranged immunoglobulin lambda light chain
TFAP4	Transcription factor AP-4
MYC	MYC PROTO-ONCOGENE
MYC	V-myc avian myelocytomatosis viral oncogene homolog
MAC30	MAC30 mRNA, 3 end
MAC30	MAC30 mRNA, 3 end
HNRPH1	hnRNP H
RFP	Ret proto-oncogene
