Functional group	Unigene identification	Gene	Gene description	Change (fold)
Proteasome	Hs.350939	p44S10	Proteasome regulatory particle subunit p44S10	1.98
Proteasome	Hs.251531	PSMA4	Proteasome (prosome, macropain) subunit, alpha type, 4	1.89
Proteasome	Hs.76913	PSMA5	Proteasome (prosome, macropain) subunit, alpha type, 5	1.84
Proteasome	Hs.374499	PSMA6	Proteasome (prosome, macropain) subunit, alpha type, 6	2.32
Proteasome	Hs.9661	PSMB10	Proteasome (prosome, macropain) subunit, beta type, 10	1.66
Proteasome	Hs.89545	PSMB4	Proteasome (prosome, macropain) subunit, beta type, 4	2.05
Proteasome	Hs.250758	PSMC3	Proteasome (prosome, macropain) 26S subunit, ATPase, 3	1.74
Proteasome	Hs.79387	PSMC5	Proteasome (prosome, macropain) 26S subunit, ATPase, 5	2.75
Proteasome	Hs.279554	PSMD13	Proteasome (prosome, macropain) 26S subunit, non-ATPase, 13	2.11
Proteasome	Hs.9736	PSMD3	Proteasome (prosome, macropain) 26S subunit, non-ATPase, 3	2.01
Proteasome	Hs.78466	PSMD8	Proteasome (prosome, macropain) 26S subunit, non-ATPase, 8	2.05
Proteasome	Hs.75348	PSME1	Proteasome (prosome, macropain) activator subunit 1 (PA28 alpha)	1.43
Proteasome	Hs.434081	PSME2	Proteasome (prosome, macropain) activator subunit 2 (PA28 beta)	1.46
Proteasome	Hs.152978	PSME3	Proteasome (prosome, macropain) activator subunit 3 (PA28 gamma)	2.6
Proteasome	Hs.119563	PSME4	Proteasome (prosome, macropain) activator subunit 4	1.8
Nuclear transport	Hs.414565	CLIC1	Chloride intracellular channel 1	2.2
Nuclear transport	Hs.434408	IPO7	Importin 7	2.01
Nuclear transport	Hs.439683	KPNB1	Karyopherin (importin) beta 1	3.22
Nuclear transport	Hs.172108	NUP88	Nucleoporin 88 kDa	2.02
Nuclear transport	Hs.356630	NUTF2	Nuclear transport factor 2	1.81
Nuclear transport	Hs.10842	RAN	RAN, member RAS oncogene family	3.09
Nuclear transport	Hs.446673	THOC4	THO complex 4	2.19
Splicing factors	Hs.181368	PRPF8	PRP8 pre-mRNA processing factor 8 homolog (yeast)	0.36
Splicing factors	Hs.77897	SF3A3	Splicing factor 3a, subunit 3, 60 kDa	3.2
Splicing factors	Hs.68714	SFRS1	Splicing factor, arginine/serine-rich 1 (splicing factor 2, alternate splicing factor)	2.32
Splicing factors	Hs.77608	SFRS9	Splicing factor, arginine/serine-rich 9	1.9
Splicing factors	Hs.180610	SFPQ	Splicing factor proline/glutamine rich (polypyrimidine tract binding protein associated)	2.37
Splicing factors	Hs.356549	SNRPD3	Small nuclear ribonucleoprotein D3 polypeptide 18 kDa	2.14
Transcription and translation	Hs.135643	C2F	C2f protein	2.71
Transcription and translation	Hs.15591	COPS6	COP9 constitutive photomorphogenic homolog subunit 6 (Arabidopsis)	1.75
Transcription and translation	Hs.371001	EIF3S9	Eukaryotic translation initiation factor 3, subunit 9 eta; 116 kDa	3
Transcription and translation	Hs.129673	EIF4A1	Eukaryotic translation initiation factor 4A, isoform 1	3.41
Transcription and translation	Hs.406408	EIF4EBP1	Eukaryotic translation initiation factor 4E binding protein 1	1.94
Transcription and translation	Hs.445977	GTF3A	General transcription factor IIIA	1.88
Transcription and translation	Hs.89525	HDGF	Hepatoma-derived growth factor (high-mobility group protein 1-like)	2.2
Transcription and translation	Hs.75117	ILF2	Interleukin enhancer binding factor 2, 45 kDa	2.4
Transcription and translation	Hs.5215	ITGB4BP	Integrin beta 4 binding protein	2.47
Transcription and translation	Hs.448398	MAZ	Myc-associated zinc finger protein (purine-binding transcription factor)	2.64
Transcription and translation	Hs.444086	SRF	Serum response factor (c-fos serum response element-binding transcription factor)	2.32
Transcription and translation	Hs.60679	TAF9	TAF9 RNA polymerase II, TATA box binding protein associated factor, 32 kDa	1.97
Transcription and translation	Hs.365116	U2AF1	U2(RNU2) small nuclear RNA auxiliary factor 1	2.33
Transcription and translation	Hs.388927	YY1	YY1 transcription factor	2.18
Chaperone function	Hs.1708	CCT3	Chaperonin containing TCP1, subunit 3 (gamma)	2.23
Chaperone function	Hs.1600	CCT5	Chaperonin containing TCP1, subunit 5 (epsilon)	2.79
Chaperone function	Hs.368149	CCT7	Chaperonin containing TCP1, subunit 7 (eta)	3.01
Chaperone function	Hs.446481	DNAJC7	DnaJ (Hsp40) homolog, subfamily C, member 7	1.94
Chaperone function	Hs.151903	GRPEL1	GrpE-like 1, mitochondrial (Escherichia coli)	1.66
Chaperone function	Hs.184233	HSPA9B	Heat shock 70kDa protein 9B (mortalin-2)	2.97
Chaperone function	Hs.74335	HSPCB	Heat shock 90kDa protein 1, beta	3.01
Chaperone function	Hs.79037	HSPD1	Heat shock 60kDa protein 1 (chaperonin)	2.31
Chaperone function	Hs.36927	HSPH1	Heat shock 105-kDa/110-kDa protein 1	3.07
Chaperone function	Hs.434937	PPIB	Peptidylprolyl isomerase B (cyclophilin B)	0.61
Signal transduction	Hs.25277	ARAP3	ARF-GAP, RHO-GAP, ankyrin repeat and plekstrin homology domain-containing protein 3	2.01
Signal transduction	Hs.3109	ARHGAP4	Rho GTPase activating protein 4	0.45
Signal transduction	Hs.159161	ARHGDIA	Rho GDP dissociation inhibitor (GDI) alpha	2.73
Signal transduction	Hs.292738	ARHGDIB	Rho GDP dissociation inhibitor (GDI) beta	1.72
Signal transduction	Hs.433888	RAB11B	RAB11B, member RAS oncogene family	0.57
Signal transduction	Hs.32217	RAB32	RAB32, member RAS oncogene family	0.64
Signal transduction	Hs.24763	RANBP1	RAN binding protein 1	2.15
