Entrez	Name	Title
87	ACTN1	actinin, alpha 1
136	ADORA2B	adenosine A2b receptor
390	ARHE	Rho family GTPase 3
824	CAPN2	calpain 2, (m/II) large subunit
858	CAV2	caveolin 2
994	CDC25B	cell division cycle 25B
1075	CTSC	cathepsin C
1284	COL4A2	collagen, type IV, alpha 2
1786	DNMT1	DNA (cytosine-5-)-methyltransferase 1
1969	EPHA2	EPH receptor A2
2000	ELF4	E74-like factor 4 (ets domain)
2023	ENO1	enolase 1, (alpha)
2037	EPB41L2	erythrocyte membrane protein band 4.1-like 2
2131	EXT1	exostoses (multiple) 1
2182	ACSL4	acyl-CoA synthetase long-chain member 4
2633	GBP1	guanylate binding protein 1, interferon-inducible
2920	CXCL1	chemokine (C-X-C motif) ligand 2
3383	ICAM1	intercellular adhesion molecule 1 (CD54), human rhinovirus receptor
3569	IL6	interleukin 6 (interferon, beta 2)
3575	IL7R	interleukin 7 receptor
3600	IL15	interleukin 15
3801	KIFC3	kinesin family member C3
3934	LCN2	lipocalin 2 (oncogene 24p3)
4478	MSN	moesin
4907	NT5E	5-nucleotidase, ecto (CD73)
5271	SERPINB8	serpin peptidase inhibitor, clade B
5329	PLAUR	plasminogen activator, urokinase receptor
5359	PLSCR1	phospholipid scramblase 1
5621	PRNP	Prion protein (p27–30)
6732	SRPK1	SFRS protein kinase 1
7272	TTK	TTK protein kinase
7296	TXNRD1	thioredoxin reductase 1
7378	UP	uridine phosphorylase 1
7398	USP1	ubiquitin specific peptidase 1
8882	ZNF259	zinc finger protein 259
8898	MTMR2	myotubularin related protein 2
9056	SLC7A7	solute carrier family 7, member 7
9322	TRIP10	thyroid hormone receptor interactor 10
10403	KNTC2	kinetochore associated 2
10479	SLC9A6	solute carrier family 9, member 6
10644	IMP-2	IGF-II mRNA-binding protein 2
10946	SF3A3	splicing factor 3a, subunit 3, 60 kDa
25937	DKFZP586I1419	WW domain containing transcription regulator 1
26031	OSBPL3	oxysterol binding protein-like 3
26064	RAI14	retinoic acid induced 14
29083	HSPC135	HSPC135 protein
29970	SCHIP1	schwannomin interacting protein 1
29980	DONSON	downstream neighbor of SON
55003	PAK1IP1	PAK1 interacting protein 1
56913	C1GALT1	glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase
140885	PTPNS1	protein tyrosine phosphatase, non-receptor type substrate 1
