Affy ID human	Affy ID mouse	Symbol human	Symbol mouse	Gene Name	Fold change smoker vs control	Fold change IL13tg vs wt	Fold change B6-/- 2mo vs wt	Fold change B6-/-10 mo vs 2 mo	Fold change B6-/-10 mo vs 2 mo
206214_at	1430700_a_at	PLA2G7	Pla2g7	phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma) /// phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma)	19.4	3.8	3.0	1.9	1
204580_at	1449153_at	MMP12	Mmp12	matrix metalloproteinase 12 (macrophage elastase)	8.8	14.5	22.1	1.0	1
223204_at	1416805_at	DKFZp434L142	1110032E23Rik	hypothetical protein DKFZp434L142	5.1	22.6	35.0	1.1	1
219648_at	1437250_at	DSU	na	likely ortholog of mouse dilute suppressor	4.5	5.2	4.3	1.3	1
219890_at	1421366_at	CLEC5A	Clecsf5	C-type lectin domain family 5, member A	4.3	4.1	4.4	1.2	1
202391_at	1428572_at	BASP1	Basp1	brain abundant, membrane attached signal protein 1	3.3	3.0	2.8	-1.1	1
226722_at	1417688_at	FAM20C	BC004044	family with sequence similarity 20, member C	3.3	6.2	4.5	-1.8	1
219725_at	1421792_s_at	TREM2	Trem2	triggering receptor expressed on myeloid cells 2	3.1	5.3	4.5	-1.1	1
226679_at	1436865_at	SLC26A11	Slc26a11	solute carrier family 26, member 11	2.9	1.8	1.1	-1.2	1
206991_s_at	1424727_at	CCR5	Ccr5	chemokine (C-C motif) receptor 5	2.7	15.8	7.7	-1.2	1
209921_at	1420413_at	SLC7A11	Slc7a11	solute carrier family 7, (cationic amino acid transporter, y+ system) member 11	2.5	3.1	1.3	1.3	1
216598_s_at	1419282_at	CCL2	Ccl12	chemokine (C-C motif) ligand 2	1.9	6.2	11.1	-1.2	1
201201_at	1422507_at	CSTB	Cstb	cystatin B (stefin B)	1.5	1.7	1.5	-1.1	1
228372_at	1429604_at	C10orf128	1810011H11Rik	chromosome 10 open reading frame 128	-1.7	-1.8	-2.6	-1.2	1
224970_at	1446990_at	NFIA		nuclear factor I/A	-2.3	-1.3	-1.7	-1.1	1
212724_at	1416700_at	RND3	Rhoe	Rho family GTPase 3	-3.9	-7.8	2.1	-1.2	1
202388_at	1419248_at	RGS2	Rgs2	regulator of G-protein signalling 2, 24kDa	-3.9	-3.0	-1.1	-1.8	1
202437_s_at	1432081_at	CYP1B1	Cyp1b1	cytochrome P450, family 1, subfamily B, polypeptide 1	98.8	-1.1	-1.0	1.0	1
