Gene Symbol	Entrez	NKI295ProbeID	Affy_HGU133A	CentroidMeta	CentroidNoMeta	Delta_Centroid	Gene Title	Pathway	Pathway Hyperlink	go biological process term	go molecular function term	go cellular component term
ALB	213	NM_000477	214837_at	0.016396244	0.03038729	-0.013991046	albumin	---	---	transport /// transport /// cellular response to starvation /// hemolysis by symbiont of host red blood cells /// negative regulation of apoptosis /// negative regulation of non-apoptotic programmed cell death /// maintenance of mitochondrion localization	DNA binding /// carrier activity /// fatty acid binding /// fatty acid binding /// copper ion binding /// copper ion binding /// protein binding /// drug binding /// drug binding /// lipid binding /// toxin binding /// antioxidant activity /// oxygen binding /// pyridoxal phosphate binding /// metal ion binding	extracellular region /// extracellular space /// protein complex
APP	351	NM_000484	200602_at	-0.063052836	-0.072642466	0.00958963	amyloid beta (A4) precursor protein (peptidase nexin-II, Alzheimer disease)	---	---	copper ion homeostasis /// endocytosis /// apoptosis /// cell adhesion /// Notch signaling pathway /// neuromuscular process	endopeptidase inhibitor activity /// serine-type endopeptidase inhibitor activity /// serine-type endopeptidase inhibitor activity /// serine-type endopeptidase inhibitor activity /// binding /// iron ion binding /// copper ion binding /// protein binding /// protein binding /// heparin binding /// zinc ion binding /// identical protein binding /// metal ion binding	extracellular region /// integral to plasma membrane /// coated pit /// cell surface /// membrane /// integral to membrane
ARHGDIB	397	NM_001175	201288_at	-0.213335467	0.051941307	-0.265276775	Rho GDP dissociation inhibitor (GDI) beta	G13_Signaling_Pathway	http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/cellular_process-GenMAPP/Hs_G13_Signaling_Pathway/Hs_G13_Signaling_Pathway.htm	cell motility /// immune response /// negative regulation of cell adhesion /// Rho protein signal transduction /// multicellular organismal development /// actin cytoskeleton organization and biogenesis	Rho GDP-dissociation inhibitor activity /// Rho GDP-dissociation inhibitor activity /// GTPase activator activity /// protein binding	cytoplasm /// cytoplasm /// cytoskeleton /// cytoplasmic membrane-bound vesicle
CCL19	6363	NM_006274	210072_at	-0.070496846	0.376224641	-0.446721488	chemokine (C-C motif) ligand 19	---	---	calcium ion homeostasis /// chemotaxis /// chemotaxis /// inflammatory response /// immune response /// immune response /// cell communication /// signal transduction /// response to virus	cytokine activity /// chemokine activity /// chemokine activity	extracellular region /// extracellular space
CCL23	6368	NM_005064	210548_at	0.045395636	0.032301445	0.013094191	chemokine (C-C motif) ligand 23	---	---	calcium ion homeostasis /// chemotaxis /// chemotaxis /// inflammatory response /// inflammatory response /// immune response /// immune response /// signal transduction /// G-protein coupled receptor protein signaling pathway /// cell-cell signaling /// negative regulation of cell proliferation	cytokine activity /// chemokine activity /// chemokine activity /// heparin binding	extracellular region /// extracellular space
CCL5	6352	NM_002985	1405_i_at	0.061389682	0.232164979	-0.170775297	chemokine (C-C motif) ligand 5	---	---	calcium ion homeostasis /// exocytosis /// cell motility /// chemotaxis /// chemotaxis /// inflammatory response /// inflammatory response /// immune response /// immune response /// cellular defense response /// response to oxidative stress /// cell adhesion /// signal transduction /// cell-cell signaling /// response to virus	signal transducer activity /// receptor binding /// cytokine activity /// chemokine activity /// chemokine activity /// chemoattractant activity	extracellular region /// extracellular space
CCR1	1230	NM_001295	205098_at	-0.029014493	-0.038212045	0.009197552	chemokine (C-C motif) receptor 1	GPCRDB_Class_A_Rhodopsin-like /// Peptide_GPCRs	http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/molecular_function_GenMAPP/Hs_GPCRDB_Class_A_Rhodopsin-like/Hs_GPCRDB_Class_A_Rhodopsin-like.htm /// http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/molecular_function_GenMAPP/Hs_Peptide_GPCRs/Hs_Peptide_GPCRs.htm	chemotaxis /// chemotaxis /// inflammatory response /// immune response /// cell adhesion /// signal transduction /// cell surface receptor linked signal transduction /// G-protein coupled receptor protein signaling pathway /// G-protein signaling, coupled to cyclic nucleotide second messenger /// elevation of cytosolic calcium ion concentration /// cell-cell signaling /// response to wounding /// cytokine and chemokine mediated signaling pathway	rhodopsin-like receptor activity /// signal transducer activity /// receptor activity /// G-protein coupled receptor activity /// chemokine receptor activity /// protein binding /// C-C chemokine receptor activity	plasma membrane /// plasma membrane /// plasma membrane /// integral to plasma membrane /// membrane /// integral to membrane
CCR2	1231	NM_000647	206978_at	-0.13613109	0.149066908	-0.285197998	chemokine (C-C motif) receptor 2	GPCRDB_Class_A_Rhodopsin-like /// GPCRDB_Class_A_Rhodopsin-like /// GPCRDB_Other /// GPCRDB_Other /// Peptide_GPCRs /// Peptide_GPCRs	http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/molecular_function_GenMAPP/Hs_GPCRDB_Class_A_Rhodopsin-like/Hs_GPCRDB_Class_A_Rhodopsin-like.htm /// http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/molecular_function_GenMAPP/Hs_GPCRDB_Class_A_Rhodopsin-like/Hs_GPCRDB_Class_A_Rhodopsin-like.htm /// http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/molecular_function_GenMAPP/Hs_GPCRDB_Other/Hs_GPCRDB_Other.htm /// http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/molecular_function_GenMAPP/Hs_GPCRDB_Other/Hs_GPCRDB_Other.htm /// http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/molecular_function_GenMAPP/Hs_Peptide_GPCRs/Hs_Peptide_GPCRs.htm /// http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/molecular_function_GenMAPP/Hs_Peptide_GPCRs/Hs_Peptide_GPCRs.htm	chemotaxis /// inflammatory response /// immune response /// cellular defense response /// signal transduction /// G-protein coupled receptor protein signaling pathway /// negative regulation of adenylate cyclase activity /// elevation of cytosolic calcium ion concentration /// JAK-STAT cascade /// response to wounding /// cytokine and chemokine mediated signaling pathway	rhodopsin-like receptor activity /// signal transducer activity /// receptor activity /// G-protein coupled receptor activity /// chemokine receptor activity /// C-C chemokine receptor activity /// CCR2 chemokine receptor binding	soluble fraction /// cytoplasm /// plasma membrane /// plasma membrane /// integral to plasma membrane /// membrane /// integral to membrane /// integral to membrane
CCR5 /// LOC727797	1234	NM_000579	206991_s_at	-0.024758571	0.070900861	-0.095659432	chemokine (C-C motif) receptor 5 /// similar to C-C chemokine receptor type 5 (C-C CKR-5) (CC-CKR-5) (CCR-5) (CCR5) (HIV-1 fusion coreceptor) (CHEMR13) (CD195 antigen)	GPCRDB_Class_A_Rhodopsin-like /// GPCRDB_Other /// Peptide_GPCRs	http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/molecular_function_GenMAPP/Hs_GPCRDB_Class_A_Rhodopsin-like/Hs_GPCRDB_Class_A_Rhodopsin-like.htm /// http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/molecular_function_GenMAPP/Hs_GPCRDB_Other/Hs_GPCRDB_Other.htm /// http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/molecular_function_GenMAPP/Hs_Peptide_GPCRs/Hs_Peptide_GPCRs.htm	chemotaxis /// inflammatory response /// immune response /// cellular defense response /// signal transduction /// cell surface receptor linked signal transduction /// G-protein coupled receptor protein signaling pathway /// G-protein coupled receptor protein signaling pathway /// elevation of cytosolic calcium ion concentration /// cell-cell signaling	rhodopsin-like receptor activity /// actin binding /// phosphoinositide phospholipase C activity /// signal transducer activity /// receptor activity /// G-protein coupled receptor activity /// chemokine receptor activity /// protein binding /// coreceptor activity /// C-C chemokine receptor activity /// C-C chemokine receptor activity /// C-C chemokine receptor activity	cytoplasm /// endosome /// plasma membrane /// integral to plasma membrane /// external side of plasma membrane /// membrane /// integral to membrane
CD2	914	NM_001767	205831_at	-0.050928648	0.125549256	-0.176477905	CD2 molecule	---	---	lipid raft polarization /// induction of apoptosis /// induction of apoptosis /// cell adhesion /// cell surface receptor linked signal transduction /// cell surface receptor linked signal transduction /// cell-cell adhesion /// cell-cell adhesion /// natural killer cell activation /// positive regulation of myeloid dendritic cell activation /// T cell activation /// T cell activation /// regulation of T cell differentiation /// regulation of T cell differentiation	receptor activity /// receptor activity /// receptor activity /// protein binding /// protein binding /// protein binding	integral to plasma membrane /// integral to plasma membrane /// membrane /// integral to membrane
