Symbol	CloneID	Class	Cross validation support (%)	Parametric p-value	t-value	Foldchange
ABCB9	36371	AT	100	1,00E-07	6,81	3,28
2-Sep	729542	AT	100	2,67E-01	21,11	0,75
5-Sep	448163	AT	100	1,00E-07	7,03	4,96
AAAS	740617	AT	99	3,00E-07	5,36	3,34
ABCA3	52740	AT	97	4,99E-01	0,68	1,13
ABCA8	284828	AT	97	1,86E-01	21,33	0,74
ABCB1	1837488	AT	97	2,26E-01	21,22	0,72
ABCB8	238705	AT	97	3,51E-01	20,94	0,84
ABCC3	208097	AT	96	1,54E-01	1,43	1,64
ABCF2	1086914	AT	96	1,00E-07	6,91	3,37
BATF	1929371	AT	83	1,00E-07	10,52	6,03
C18orf51	742649	AT	62	1,00E-07	9,87	7,47
CARD11	665651	AT	46	1,00E-07	10,85	4,72
CBFA2T2	43629	AT	39	1,00E-07	10,18	10,03
CD38	1352408	AT	29	1,00E-07	10,18	7,22
CD79A	1056782	AT	25	1,00E-07	11,14	8,58
CD79B	155717	AT	25	1,00E-07	11,91	10,51
CXCL6	2108870	AT	14	1,00E-07	10,13	4,29
EPPB9	668454	AT	7	1,00E-07	9,67	9,03
DKFZp667B0210	1844689	AT	3	1,00E-07	9,30	4,83
PLXNB2	1420676	FTA	65	6,00E-07	5,21	1,70
TBC1D17	739955	FTA	62	4,00E-07	5,27	1,56
ZNF76	745003	FTA	59	8,00E-07	5,15	1,51
KIAA1196	738938	FTA	52	1,40E-06	5,01	1,52
ASGR1	25883	FTA	48	1,25E-05	4,51	1,75
BCL2L11	300194	FTA	42	6,00E-06	4,68	1,42
DAP	725371	FTA	41	6,20E-06	4,67	1,51
CABIN1	1844968	FTA	40	1,12E-05	4,53	1,59
FLJ14981	24532	FTA	31	1,84E-04	3,83	1,50
RAD51L1	295412	FTA	30	4,23E-05	4,21	1,66
TSPAN1	376003	FTA	26	3,52E-05	4,25	1,57
745465	745465	FTA	25	2,58E-02	2,25	1,24
PLCG1	1174287	FTA	25	8,36E-05	24,04	0,67
COL18A1	359202	FTA	24	3,20E-05	4,28	1,60
RPS6KA2	22711	FTA	23	3,77E-05	4,24	1,57
CaMKIINalpha	173820	FTA	22	9,52E-04	3,37	1,35
KLF1	208991	FTA	16	3,01E-03	3,01	1,49
BAT3	24392	FTA	13	8,11E-04	3,41	1,42
PDK4	487379	FTA	11	1,00E-02	22,61	0,70
24065	24065	FTA	6	4,52E-04	23,58	0,75
KRTHB5	364569	FTAb	86	1,00E-07	6,02	1,94
METRN	487475	FTAb	86	1,00E-07	5,68	2,15
DCI	667892	FTAb	74	6,00E-07	5,19	1,63
IFI30	740931	FTAb	68	4,90E-06	24,73	0,41
ALCAM	172828	FTAb	64	1,21E-05	24,51	0,68
ADAMTS2	364844	FTAb	55	1,61E-04	3,86	1,41
ETF1	146976	FTAb	54	1,12E-04	3,96	1,54
TP53I11	667514	FTAb	44	1,22E-04	3,94	1,94
487086	487086	FTAb	42	1,52E-04	23,88	0,67
666315	666315	FTAb	35	5,63E-04	3,52	1,52
GRB10	564994	FTAb	33	1,80E-04	3,83	1,42
ISG20	740604	FTAb	33	3,51E-05	24,26	0,60
SPARC	267358	FTAb	33	1,09E-04	3,97	1,47
HAS3	667533	FTAb	28	1,07E-04	3,97	1,52
USP13	666007	FTAb	20	9,96E-05	3,99	1,56
KRT4	1173570	FTAb	13	2,87E-04	3,71	1,65
LHFP	591534	FTAb	9	2,24E-03	23,11	0,74
PCDHB15	730593	FTAb	9	1,06E-03	23,33	0,74
TPM2	740620	FTAb	9	9,35E-03	2,63	1,45
DKFZp434M202	743118	FTAb	2	5,77E-03	22,80	0,76
C22orf9	667250	FTC	89	2,00E-07	25,43	0,34
SUCLG2	687551	FTC	83	7,00E-07	25,18	0,27
LAPTM4A	726684	FTC	77	4,00E-07	25,26	0,24
KIAA1576	743426	FTC	76	1,00E-07	5,70	3,33
NR2F2	72744	FTC	65	2,60E-06	4,87	3,11
CHST3	665327	FTC	62	2,90E-06	24,85	0,32
PAI-RBP1	236055	FTC	55	5,30E-06	24,71	0,29
729896	729896	FTC	54	3,00E-07	5,34	3,22
ZBTB16	2467442	FTC	52	4,72E-05	4,18	4,68
ZNF364	471834	FTC	52	5,80E-06	24,69	0,39
GHITM	25077	FTC	50	5,30E-06	24,71	0,31
LRP8	415554	FTC	49	1,43E-04	3,90	2,74
CEECAM1	666784	FTC	45	2,67E-04	3,73	2,22
HIST1H4C	682451	FTC	43	1,57E-05	24,45	0,25
TIE1	743043	FTC	35	5,46E-05	4,14	2,52
SH3RF2	744797	FTC	22	5,37E-03	2,82	2,18
MGC5395	238840	FTC	15	5,07E-04	3,55	2,66
EMX2	365121	FTC	14	6,95E-03	22,73	0,51
LRRC28	26519	FTC	13	1,51E-03	23,23	0,40
GFRA3	2716748	FTC	11	4,52E-03	2,88	1,93
TTC19	136366	GD	72	1,57E-04	3,87	1,87
ATP6V1G2	726424	GD	61	1,91E-04	3,82	2,22
23817	23817	GD	61	3,65E-04	23,64	0,52
178161	178161	GD	52	6,99E-04	3,46	2,53
BDKRB2	665674	GD	50	6,16E-03	2,78	2,15
744385	744385	GD	48	1,37E-02	2,49	1,70
LOC150837	258698	GD	47	5,84E-04	3,51	1,81
SSX1	262894	GD	47	5,97E-04	3,50	1,76
DHX57	24623	GD	46	1,69E-03	23,19	0,59
RAI14	731711	GD	46	8,19E-03	2,68	1,56
180851	180851	GD	45	5,36E-03	22,82	0,61
MGC5566	53119	GD	43	1,74E-03	3,18	1,85
D21S2056E	740140	GD	36	2,44E-03	3,08	1,72
729489	729489	GD	31	1,28E-03	3,28	2,95
KIAA1737	122063	GD	29	1,78E-03	3,18	1,67
