 Affymetrix ID 	 Method 1 genes (82%)* 	 Symbol 	 Gene function 	 Fold change 
 202443_x_at 	 notchhomologue2 	 NOTCH2 	" cellcycle,transcription,apoptosis "	 4.3 
 202499_s_at 	 solutecarrierfamily2 	 SLC2A3 	 carbohydratetransport 	 5.5 
 	" (facilitatedglucosetransporter), "	 	 	 
 	 member3 	 	 	 
 203435_s_at 	 membranemetalloendopeptidase 	 MME 	" proteolysis,cellcommunication "	 3.9 
 210220_at 	 frizzledhomologue2 	 FZD2 	 Wntreceptorsignalingpathway 	 3.4 
 210605_s_at 	 milkfatglobule-egffactor8protein 	 MFGE8 	 endocytosis 	 8.8 
 217730_at 	 transmembranebaxinhibitor 	 TMBIM1 	" cell,membrane, "	 3.8 
 	 motifcontaining1 	 	 	 
 218865_at 	 mocosulfurasec-terminaldomain 	 MOSC1 	 oxidoreductaseactivity 	 ?3.2 
 	 containing1 	 	 	 
				
 Affymetrix ID 	 Method 2 genes (66%)† 	 Symbol 	 Gene function(s) 	 Fold change 
 200872_at 	 s100calciumbindingproteina10 	 S100A10 	 cellcommunication 	 8.8 
 201105_at 	" lectin,galactoside-binding,soluble,1 "	 LGALS1 	" apoptosis,cellcommunication "	 13.7 
 201231_s_at 	 enolase1 	 ENO1 	" glucosemetabolicprocess, "	 1.7 
 	 	 	 transcription 	 
 201477_s_at 	 ribonucleotidereductasem1polypeptide 	 RRM1 	 DNAmetabolicprocess 	 ?1.4 
 202088_at 	" solutecarrierfamily39(zinctransporter), "	 SLC39A6 	 iontransport 	 ?1.2 
 	 member6 	 	 	 
 209366_x_at 	 cytochromeb5typea 	 CYB5A 	 electrontransport 	 ?1.6 
 211528_x_at 	" hla-ghistocompatibilityantigen,classi,g "	 HLA-G 	 immuneresponse 	 3.7 
 212063_at 	 cd44antigen 	 CD44 	 kidneydevelopment 	 5.3 
 216623_x_at 	 trinucleotiderepeatcontaining9 	 TOX3 	 transcription 	 ?5.8 
 217294_s_at 	 enolase1 	 ENO1 	" glucosemetabolicprocess, "	 1.8 
 	 	 	 transcription 	 
				
 Affymetrix ID 	 Bcl-2 family genes (70%) 	 Symbol 	 Gene function 	 Fold change 
 200797_s_at 	 myeloidcellleukemiasequence1 	 MCL1 	 apoptosis 	 1.3 
 	 (bcl2-related) 	 	 	 
 203684_s_at 	 b-cellcll/lymphoma2 	 BCL2 	 apoptosis 	 ?1.8 
 203685_at 	 b-cellcll/lymphoma2 	 BCL2 	 apoptosis 	 ?3.3 
 204285_s_at 	 phorbol-12-myristate-13-acetate-induced 	 PMAIP1 	 apoptosis 	 ?2.7 
 	 protein1(Noxa) 	 	 	 
 204286_s_at 	 phorbol-12-myristate-13-acetate-induced 	 PMAIP1 	 apoptosis 	 ?2.8 
 	 protein1(Noxa) 	 	 	 
 211725_s_at 	 bh3-interactingdomaindeathagonist 	 BID 	 apoptosis 	 ?1.5 
