Genesymbol	Sequence description	Fold change	P-value
NFAM1	Homo sapiens NFAT activation molecule 1 (NFAM1), mRNA [NM_145912]	121.22	0.00001
NCAM2	Neural cell adhesion molecule 2 precursor (N-CAM 2). [Source:Uniprot/SWISSPROT;Acc:O15394] [ENST00000284894]	80.73	?E-46
CXCR7	Homo sapiens chemokine (C-X-C motif) receptor 7 (CXCR7), transcript variant 1, mRNA [NM_001047841]	77.54	2.28E-29
FSTL5	Homo sapiens follistatin-like 5 (FSTL5), mRNA [NM_020116]	72.63	?E-46
THC2683057	Q9Y5L8_HUMAN (Q9Y5L8) Apoptosis related protein APR-4 (Fragment), partial (10%) [THC2683057]	61.93	3.42E-07
CB123670	Transcribed locus	59.74	?E-46
MARCKS	Homo sapiens myristoylated alanine-rich protein kinase C substrate (MARCKS), mRNA [NM_002356]	49.42	2.18E-35
C10orf10	decidual protein induced by progesterone	39.4	?E-46
BC128163	Homo sapiens serine protease inhibitor, mRNA (cDNA clone MGC:149259 IMAGE:40113027), complete cds. [BC128163]	37.72	2.61E-28
SEMA3A	Homo sapiens sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A (SEMA3A), mRNA [NM_006080]	37.25	?E-46
MLPH	Homo sapiens melanophilin (MLPH), mRNA [NM_024101]	35.88	7.87E-42
SOCS2	Homo sapiens suppressor of cytokine signaling 2 (SOCS2), mRNA [NM_003877]	35.06	3.10E-08
AFAP	actin filament associated protein	33.54	?E-46
ZC3H12C	Homo sapiens LOH11CR1B gene, loss of heterozygosity, 11, chromosomal region 1 gene B product. [AB096241]	32.85	8.26E-23
IRF4	Homo sapiens interferon regulatory factor 4 (IRF4), mRNA [NM_002460]	32.2	?E-46
CX3CL1	Homo sapiens chemokine (C-X3-C motif) ligand 1 (CX3CL1), mRNA [NM_002996]	32.08	7.48E-39
PCOLCE2	Homo sapiens procollagen C-endopeptidase enhancer 2 (PCOLCE2), mRNA [NM_013363]	30.31	?E-46
INPP4B	Homo sapiens inositol polyphosphate-4-phosphatase, type II, 105kDa (INPP4B), mRNA [NM_003866]	28.71	?E-46
CD44	CD44 molecule (Indian blood group)	26.32	8.24E-40
CLIC2	Homo sapiens chloride intracellular channel 2 (CLIC2), mRNA [NM_001289]	25.62	2.25E-41
PLD1	Homo sapiens phospholipase D1, phophatidylcholine-specific (PLD1), mRNA [NM_002662]	25.5	?E-46
ESR1	Homo sapiens estrogen receptor 1 (ESR1), mRNA [NM_000125]	25.12	6.11E-25
REL	Homo sapiens v-rel reticuloendotheliosis viral oncogene homolog (avian) (REL), mRNA [NM_002908]	25.1	?E-46
VCAM1	Vascular cell adhesion molecule 1	24.38	2.98E-38
PTGER4	Homo sapiens prostaglandin E receptor 4 (subtype EP4) (PTGER4), mRNA [NM_000958]	22.2	?E-46
