Probeset	Title	Gene symbol (ref.)	HC group	Gene ontology category determined by EASE
205289_at	Bone morphogenetic protein 2	BMP2 (31)	HC1A	Neurogenesis
222898_s_at	Delta-like 3	DLL3	HC1A	Neurogenesis
204225_at	Histone deacetylase 4	HDAC4	HC1A	Neurogenesis
204273_at	Endothelin receptor type B	EDNRB	HC1A	Neurogenesis
219743_at	Hairy/enhancer-of-split related	HEY2	HC1A	Neurogenesis
214680_at	Neurotrophic tyrosine kinase recptor type 2	NTRK2	HC1A	Neurogenesis
209981_at	Ortholog of rat pippin	PIPPIN	HC1A	Unclassified
210815_s_at	Calcitonin receptor-like	CALCRL	HC1A	Signal transducer
221204_s_at	Cartilage acidic protein 1	CRTAC1	HC1A	Cell adhesion
207145_at	Growth differentiation factor 8	GDF8	HC1A	Organogenesis
205874_at	Inositol 1,4,5-trisphosphate 3-kinase A	IP3K	HC1B	Signal transduction
204338_s_at	Regulator of G-protein signalling 4	RGS4 (32)	HC1B	Calmodulin binding
203998_s_at	Synaptotagmin I	SYT1	HC1B	Synaptic vesicle
203798_s_at	Visinin-like 1	VSNL1	HC1B	Calcium ion binding
207853_s_at	Synuclein, Beta	SNCB	HC1B	Enzyme inhibitor
227053_at	Protein kinase C casein kinase substrate in neurons 1	PACSIN1	HC1B	Phospholipase inhibitor
204467_s_at	Synuclein, alpha	SNCA	HC1B	Development
206162_x_at	Synaptotagmin V	SYT5	HC1B	Synaptic vesicle
224650_at	Mal, T-cell differentiation protein 2	MAL2	HC1B	Integral membrane
203510_at	Met proto-oncogene	MET (33)	HC2A	Cell proliferation
201292_at	Topoisomerase II alpha	TOP2A (34)	HC2A	Mitosis
202410_x_at	Insulin-like growth factor 2	IGF2 (35)	HC2A	Cell cycle/cell proliferation
203213_at	Cell division cycle 2	CDC2 (36)	HC2A	Mitosis
209464_at	Serine/threonine kinase 12	STK12 (65)	HC2A	Cell cycle/cell proliferation
209714_s_at	Cyclin-dependent kinase inhibitor 3	CDKN3	HC2A	Mitosis
202107_s_at	Minichromosome maintenance deficient 2	MCM2 (66)	HC2A	Mitosis
202095_s_at	Survivin	BIRC5 (57)	HC2A	Mitosis
203554_x_at	Pituitary tumor-transforming 1	PTTG1	HC2A	Mitosis
209172_s_at	Centromere protein F	CENPF (37)	HC2A	Mitosis
201438_at	Collagen, type VI, alpha 3	COL6A3	HC2B	Extracellular matrix
201508_at	Insulin-like growth factor binding protein 4	IGFBP4 (37)	HC2B	Extracellular
203851_at	Insulin-like growth factor binding protein 6	IGFBP6	HC2B	Extracellular
215446_s_at	Lysyl oxidase	LOX	HC2B	Extracellular matrix
205266_at	Cholinergic differentiation factor	LIF (67)	HC2B	Extracellular
201110_s_at	Thrombospondin 1	THBS1 (38)	HC2B	Extracellular matrix
201505_at	Laminin Beta 1	LAMB1	HC2B	Extracellular matrix
203186_s_at	S100 calcium binding protein A4	S100A4 (40)	HC2B	Morphogenesis/development
209335_at	Decorin	DCN (41)	HC2B	Extracellular matrix
208949_s_at	Galectin 3	LGALS3	HC2B	Extracellular/cell adhesion
210512_s_at	Vascular endothelial growth factor	VEGF (39)	HC2B	Extracellular/cell adhesion
212464_s_at	Fibronectin 1	FN1 (41)	HC2B	Extracellular matrix
203936_s_at	Matrix metalloproteinase 9	MMP9 (68)	HC2B	Extracellular matrix
202291_s_at	Matrix Gla protein	MGP (37)	HC2B	Extracellular matrix
202718_at	Insulin-like growth factor binding protein 2	IGFBP2 (67)	HC2B	Extracellular
