Probe Set ID	Gene Title	Gene Symbol	Public ID	Fold- change	Up-/Downregulation
210662_at	kynureninase (L-kynurenine hydrolase)	KYNU	BC000879	42.2	>2-fold upregulation
240367_at	Chromodomain helicase DNA binding protein 9	CHD9	AA001554	42.2	>2-fold upregulation
232535_at	MRNA; cDNA DKFZp434L201	---	AL133570	34.3	>2-fold upregulation
1556558_s_at	hypothetical protein FLJ36665	FLJ36665	AI247824	32	>2-fold upregulation
230729_at	Transcribed locus, moderately similar to XP_515500.1	---	AI860764	32	>2-fold upregulation
214453_s_at	interferon-induced protein 44	IFI44	NM_006417	29.9	>2-fold upregulation
234260_at	CDC42 small effector 2	CDC42SE2	AL122039	27.9	>2-fold upregulation
207080_s_at	peptide YY	PYY	NM_004160	26	>2-fold upregulation
221234_s_at	basic leucine zipper transcription factor 2	BACH2	NM_021813	26	>2-fold upregulation
230789_at	suppressor of hairy wing homolog 2 (Drosophila)	SUHW2	AI015954	24.3	>2-fold upregulation
1554237_at	serologically defined colon cancer antigen 8	SDCCAG8	BC032454	24.3	>2-fold upregulation
204069_at	Homo sapiens Meis1 (mouse) homolog	MEIS1	NM_002398	21.1	>2-fold upregulation
1556329_a_at	Protocadherin 10	PCDH10	BC042378	19.7	>2-fold upregulation
235401_s_at	Fc receptor-like and mucin-like 1	FCRLM1	AL560266	18.4	>2-fold upregulation
233499_at	---	---	AI366175	18.4	>2-fold upregulation
1564301_a_at	RPA interacting protein	RPAIN	AK096001	17.1	>2-fold upregulation
243872_at	Wings apart-like homolog (Drosophila)	WAPAL	AI739615	16	>2-fold upregulation
1560086_at	CDNA clone IMAGE:5275249	---	BC041381	16	>2-fold upregulation
244419_at	Frizzled-related protein	FRZB	BE549700	14.9	>2-fold upregulation
1563649_at	---	---	AL512696	14.9	>2-fold upregulation
234146_at	---	---	BF348583	14.9	>2-fold upregulation
237617_at	Transcribed locus	---	AI808144	13.9	>2-fold upregulation
214165_s_at	Heparan sulfate 6-O-sulfotransferase 1	HS6ST1	BF512553	13.9	>2-fold upregulation
1562902_at	Homo sapiens, clone IMAGE:5176738, mRNA	---	BC040730	13.9	>2-fold upregulation
233162_at	CDNA FLJ14274 fis, clone PLACE1004979	---	AK024336	13	>2-fold upregulation
237325_at	hypothetical protein LOC51233	LOC51233	AA857437	13	>2-fold upregulation
1568746_a_at	hypothetical protein LOC646268	LOC646268	BC029599	13	>2-fold upregulation
240688_at	---	---	AA034179	12.1	>2-fold upregulation
1553972_a_at	cystathionine-beta-synthase	CBS	BC007257	12.1	>2-fold upregulation
224193_s_at	Fc receptor-like 2	FCRL2	AF319440	11.3	>2-fold upregulation
234489_at	Quaking homolog, KH domain RNA binding (mouse)	QKI	AK021880	10.6	>2-fold upregulation
1557012_a_at	CDNA clone IMAGE:4816709	---	BC040670	10.6	>2-fold upregulation
1565976_at	FCH domain only 2	FCHO2	AF075111	10.6	>2-fold upregulation
221429_x_at	testis expressed sequence 13A	TEX13A	NM_031274	10.6	>2-fold upregulation
244318_at	KIAA0241	KIAA0241	AI911044	10.6	>2-fold upregulation
211355_x_at	leptin receptor	LEPR	U52914	9.8	>2-fold upregulation
217056_at	T cell receptor alpha locus, clone IGRA15		X61070	9.8	>2-fold upregulation
233890_at	Zinc finger protein 536	ZNF536	AL162010	9.8	>2-fold upregulation
243257_at	Zinc finger protein, subfamily 1A, 2 (Helios)	ZNFN1A2	AA806776	9.2	>2-fold upregulation
206898_at	cadherin 19, type 2	CDH19	NM_021153	8.6	>2-fold upregulation
213120_at	KIAA0701 protein	KIAA0701	AA405798	8.6	>2-fold upregulation
206569_at	interleukin 24	IL24	NM_006850	8.6	>2-fold upregulation
44790_s_at	chromosome 13 open reading frame 18	C13orf18	AI129310	8.6	>2-fold upregulation
229427_at	Clone FBD8 Cri-du-chat critical region mRNA	---	BF940761	8	>2-fold upregulation
242495_at	---	---	BE148571	8	>2-fold upregulation
1570180_at	Bicaudal C homolog 1 (Drosophila)	BICC1	BC020302	8	>2-fold upregulation
209072_at	myelin basic protein	MBP	M13577	8	>2-fold upregulation
1562732_at	CDNA FLJ35903 fis, clone TESTI2009585	---	AK093222	8	>2-fold upregulation
235217_at	CDNA clone IMAGE:5302680	---	AW148862	7.5	>2-fold upregulation
234162_at	AT hook, DNA binding motif, containing 1	AHDC1	AK026294	7.5	>2-fold upregulation
239534_at	---	---	AI025460	7.5	>2-fold upregulation
1557810_at	Chaperonin containing TCP1, subunit 5 (epsilon)	CCT5	BM352108	7.5	>2-fold upregulation
236988_x_at	integrin, beta 2	ITGB2	W68403	7	>2-fold upregulation
216861_at	---	---	U05589	7	>2-fold upregulation
229988_at	Supervillin	SVIL	AA858293	7	>2-fold upregulation
217086_at	cholinergic receptor, nicotinic, beta 3	CHRNB3	X67513	6.5	>2-fold upregulation
243863_at	zinc finger, CW type with PWWP domain 2	ZCWPW2	BF575233	6.1	>2-fold upregulation
37566_at	KIAA1045	KIAA1045	AB028968	6.1	>2-fold upregulation
240001_at	---	---	AI078317	6.1	>2-fold upregulation
242512_at	myosin IXA	MYO9A	AI382029	5.3	>2-fold upregulation
235442_at	chromosome X open reading frame 56	CXorf56	BF974463	5.3	>2-fold upregulation
229635_at	hypothetical protein LOC643424	LOC643424	AW043859	4.9	>2-fold upregulation
237738_at	Suppression of tumorigenicity 18	ST18	AI220369	4.9	>2-fold upregulation
210143_at	annexin A10	ANXA10	AF196478	4.9	>2-fold upregulation
233723_at	Chromosome 8 open reading frame 13	C8orf13	AF124368	4.9	>2-fold upregulation
1563018_at	T-box 5	TBX5	BC011028	4.6	>2-fold upregulation
234448_at	MRNA; cDNA DKFZp434F1872	---	AL162033	4.3	>2-fold upregulation
244749_at	Family with sequence similarity 111, member B	FAM111B	AA806349	4	>2-fold upregulation
211767_at	GINS complex subunit 4 (Sld5 homolog)	GINS4	BC005995	3.7	>2-fold upregulation
242703_at	Methylcrotonoyl-Coenzyme A carboxylase 1 (alpha)	MCCC1	AI298089	3.7	>2-fold upregulation
237522_at	Fas (TNF receptor superfamily, member 6)	FAS	AA058563	3.7	>2-fold upregulation
216167_at	leucine rich repeat neuronal 5	LRRN5	AK024867	3.5	>2-fold upregulation
237306_at	hypothetical protein DKFZp779O175	DKFZp779O175	AA447558	3.5	>2-fold upregulation
219730_at	mediator of RNA polymerase II transcription	MED18	NM_017638	3.2	>2-fold upregulation
238044_at	Transcribed locus	---	AW002073	3.2	>2-fold upregulation
216563_at	Ankyrin repeat domain 12	ANKRD12	X80821	3	>2-fold upregulation
204070_at	retinoic acid receptor responder (tazarotene induced) 3	RARRES3	NM_004585	3	>2-fold upregulation
220564_at	chromosome 10 open reading frame 59	C10orf59	NM_018363	3	>2-fold upregulation
231615_at	Chromosome 8 open reading frame 70	C8orf70	D59597	3	>2-fold upregulation
243314_at	Amyloid beta (A4) precursor protein (peptidase nexin-II)	APP	W90446	3	>2-fold upregulation
1568487_x_at	galactosyltransferase activator	GTA	M14624	2.8	>2-fold upregulation
228788_at	yippee-like 1 (Drosophila)	YPEL1	AA425358	2.6	>2-fold upregulation
207509_s_at	leukocyte-associated immunoglobulin-like receptor 2	LAIR2	NM_002288	2.5	>2-fold upregulation
212172_at	adenylate kinase 2	AK2	AW277253	2.5	>2-fold upregulation
1560278_at	hypothetical protein LOC221122	LOC221122	BC039666	2.5	>2-fold upregulation
1567697_at	Polyhomeotic like 3 (Drosophila)	PHC3	S81973	2.5	>2-fold upregulation
216550_x_at	ankyrin repeat domain 12	ANKRD12	X80821	2.3	>2-fold upregulation
243129_at	hypothetical protein LOC642889	FLJ16423 /// LOC642980	BF056529	2.3	>2-fold upregulation
1567687_at	cat eye syndrome chromosome region, candidate 9	CECR9	AF307449	2.3	>2-fold upregulation
235783_at	---	---	BG107419	2.1	>2-fold upregulation
236604_at	BAH domain and coiled-coil containing 1	BAHCC1	BF195603	2.1	>2-fold upregulation
222026_at	RNA binding motif (RNP1, RRM) protein 3	RBM3	BF437591	2.1	>2-fold upregulation
240324_at	Zinc finger protein 596	ZNF596	H50654	2.1	>2-fold upregulation
238566_at	Transcribed locus	---	BF592775	2.1	>2-fold upregulation
243221_at	Family with sequence similarity 20, member A	FAM20A	AA579773	42.2	>2-fold downregulation
1560773_at	hypothetical gene supported by BC040718	LOC388458	AL698576	32	>2-fold downregulation
1554800_at	RAB39, member RAS oncogene family	RAB39	BC028064	27.9	>2-fold downregulation
209369_at	annexin A3	ANXA3	M63310	17.1	>2-fold downregulation
215878_at	integrin, beta 1	ITGB1	BG435463	17.1	>2-fold downregulation
1558062_at	F-box protein 10	FBXO10	BU553712	13.9	>2-fold downregulation
202821_s_at	LIM domain containing preferred translocation partner	LPP	AL044018	13	>2-fold downregulation
241772_at	Protocadherin 11 Y-linked	PCDH11Y	AI732427	12.1	>2-fold downregulation
240354_at	chromosome 12 open reading frame 54	C12orf54	BF510008	10.6	>2-fold downregulation
1569674_at	Basic helix-loop-helix domain containing, class B, 9	BHLHB9	BC032741	8.6	>2-fold downregulation
231565_at	chromosome 4 open reading frame 22	C4orf22	AW341441	7	>2-fold downregulation
242508_at	KIAA2018	KIAA2018	AA430086	6.5	>2-fold downregulation
206225_at	zinc finger protein 507	ZNF507	NM_014910	6.1	>2-fold downregulation
1556704_s_at	hypothetical protein LOC286297	LOC286297	AK097152	5.7	>2-fold downregulation
202672_s_at	activating transcription factor 3	ATF3	NM_001674	5.3	>2-fold downregulation
243619_at	FGFR1 oncogene partner 2	FGFR1OP2	R91766	5.3	>2-fold downregulation
243988_at	Tubulin tyrosine ligase-like family, member 5	TTLL5	AW206953	4.9	>2-fold downregulation
228932_at	Transcribed locus, strongly similar to XP_513313.1	---	BE467383	4.6	>2-fold downregulation
235737_at	thymic stromal lymphopoietin	TSLP	AW118681	4	>2-fold downregulation
1552928_s_at	mitogen-activated protein kinase kinase kinase 7	MAP3K7IP3	NM_152787	4	>2-fold downregulation
1553139_s_at	plexin A3	PLXNA3	NM_017514	4	>2-fold downregulation
222945_x_at	oleoyl-ACP hydrolase	OLAH	AI125696	3.7	>2-fold downregulation
234360_at	---	---	Z84469	3.7	>2-fold downregulation
238429_at	transmembrane protein 71	TMEM71	AI342543	3.7	>2-fold downregulation
1562728_at	CDNA FLJ40174 fis, clone TESTI2016996	---	AK097493	3.5	>2-fold downregulation
229778_at	Chromosome 12 open reading frame 39	C12orf39	BE326710	3.5	>2-fold downregulation
