Gene Symbol	Name	Perou et al, Nature 2000	Sorlie et al, PNAS 2003	Perreard et al, Breast Cancer Research 2006	Hu et al, BMC Genomics 2006	Gene Used in PCR and Gene Set Minimization
AADACL1	Arylacetamide deacetylase-like 1	0	0	0	1	0
ABAT	4-aminobutyrate aminotransferase	0	0	0	1	0
ABCC11	ATP-binding cassette, sub-family C (CFTR/MRP), member 11	0	0	0	1	0
ABCC3	ATP-binding cassette, sub-family C (CFTR/MRP), member 3	0	0	0	1	1
ABCD3	ATP-binding cassette, sub-family D (ALD), member 3	0	1	1	0	0
ABCF2	ATP-binding cassette, sub-family F (GCN20), member 2	0	0	1	0	0
ABLIM1	Actin binding LIM protein 1	1	1	1	0	0
ACAA2	Acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase)	0	1	1	0	0
ACAD11	Acyl-Coenzyme A dehydrogenase family, member 11	0	1	1	0	0
ACADM	Acyl-Coenzyme A dehydrogenase, C-4 to C-12 straight chain	1	0	0	0	0
ACADSB	Acyl-Coenzyme A dehydrogenase, short/branched chain	1	1	1	0	0
ACADVL	Acyl-Coenzyme A dehydrogenase, very long chain	0	1	1	0	0
ACAT1	Acetyl-Coenzyme A acetyltransferase 1 (acetoacetyl Coenzyme A thiolase)	0	0	0	1	0
ACBD4	Acyl-Coenzyme A binding domain containing 4	1	1	0	0	0
ACO2	Aconitase 2, mitochondrial	0	1	0	0	0
ACOT1	Acyl-CoA thioesterase 1	0	0	0	1	0
ACOT4	Acyl-CoA thioesterase 4	0	0	0	0	1
ACOT7	Acyl-CoA thioesterase 7	0	0	0	1	0
ACOX2	Acyl-Coenzyme A oxidase 2, branched chain	1	1	1	1	0
ACSL1	Acyl-CoA synthetase long-chain family member 1	1	1	1	0	0
ACSS1	Acyl-CoA synthetase short-chain family member 1	0	0	0	1	0
ACSS2	Acyl-CoA synthetase short-chain family member 2	0	1	0	0	0
ACTA1	Actin, alpha 1, skeletal muscle	0	0	0	1	0
ACTB	Actin, beta	0	0	0	1	0
ACTC1	Actin, alpha, cardiac muscle 1	0	1	1	0	0
ACTG2	Actin, gamma 2, smooth muscle, enteric	0	1	1	0	0
ACTL8	Actin-like 8	0	0	0	1	0
ACTR3B	ARP3 actin-related protein 3 homolog B (yeast)	0	0	0	1	1
ADAM15	ADAM metallopeptidase domain 15	1	0	0	0	0
ADAM33	ADAM metallopeptidase domain 33	0	0	0	1	0
ADAM9	ADAM metallopeptidase domain 9 (meltrin gamma)	0	1	1	0	0
ADAMDEC1	ADAM-like, decysin 1	0	0	0	1	0
ADH1B	Alcohol dehydrogenase IB (class I), beta polypeptide	1	0	0	0	0
ADPRHL1	ADP-ribosylhydrolase like 1	0	0	0	1	0
ADRA2A	Adrenergic, alpha-2A-, receptor	0	1	1	0	0
ADRA2C	Adrenergic, alpha-2C-, receptor	0	0	0	1	0
ADRM1	Adhesion regulating molecule 1	0	1	1	0	0
ADSL	Adenylosuccinate lyase	0	1	1	0	0
AFF3	AF4/FMR2 family, member 3	1	0	0	0	0
AGL	Amylo-1, 6-glucosidase, 4-alpha-glucanotransferase (glycogen debranching enzyme, glycogen storage disease type III)	1	0	0	0	0
AGR2	Anterior gradient homolog 2 (Xenopus laevis)	0	0	0	1	1
AGR3	Anterior gradient homolog 3 (Xenopus laevis)	0	0	0	1	0
AGT	Angiotensinogen (serpin peptidase inhibitor, clade A, member 8)	0	0	0	1	0
AGXT	Alanine-glyoxylate aminotransferase	0	1	0	0	0
AHNAK	AHNAK nucleoprotein	0	0	0	1	0
AHR	Aryl hydrocarbon receptor	0	0	0	1	0
AIFM1	Apoptosis-inducing factor, mitochondrion-associated, 1	0	0	0	1	0
AIM1	Absent in melanoma 1	0	0	0	1	0
AK2	Adenylate kinase 2	0	0	0	1	0
AK3	Adenylate kinase 3	0	0	0	1	0
AK5	Adenylate kinase 5	0	0	0	1	0
AKAP1	A kinase (PRKA) anchor protein 1	0	0	0	1	0
AKR1A1	Aldo-keto reductase family 1, member A1 (aldehyde reductase)	0	0	0	1	0
AKR1C2	Aldo-keto reductase family 1, member C2 (dihydrodiol dehydrogenase 2; bile acid binding protein; 3-alpha hydroxysteroid dehydrogenase, type III)	1	1	1	0	0
AKR7A2	Aldo-keto reductase family 7, member A2 (aflatoxin aldehyde reductase)	1	1	1	0	0
AKR7A3	Aldo-keto reductase family 7, member A3 (aflatoxin aldehyde reductase)	0	0	0	1	0
AKT3	V-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)	0	0	0	0	1
ALCAM	Activated leukocyte cell adhesion molecule	1	1	1	0	0
ALDH1A1	Aldehyde dehydrogenase 1 family, member A1	1	0	0	0	0
ALDH1A2	Aldehyde dehydrogenase 1 family, member A2	1	0	0	0	0
ALDH3A2	Aldehyde dehydrogenase 3 family, member A2	1	1	1	0	0
ALG5	Asparagine-linked glycosylation 5 homolog (S. cerevisiae, dolichyl-phosphate beta-glucosyltransferase)	0	0	0	1	0
ALG8	Asparagine-linked glycosylation 8 homolog (S. cerevisiae, alpha-1,3-glucosyltransferase)	0	0	0	1	0
AMFR	Autocrine motility factor receptor	0	1	1	1	0
AMPD2	Adenosine monophosphate deaminase 2 (isoform L)	0	0	0	1	0
AMZ2	Archaemetzincins-2	0	0	0	1	0
ANAPC11	APC11 anaphase promoting complex subunit 11 homolog (yeast)	0	0	0	1	0
ANG	Angiogenin, ribonuclease, RNase A family, 5	1	1	1	0	0
ANK3	Ankyrin 3, node of Ranvier (ankyrin G)	0	1	1	0	0
ANKRD22	Ankyrin repeat domain 22	0	0	0	1	0
ANKRD25	Ankyrin repeat domain 25	1	0	0	0	0
ANKRD27	Ankyrin repeat domain 27 (VPS9 domain)	1	1	1	1	0
ANKRD50	Ankyrin repeat domain 50	1	0	0	0	0
ANLN	Anillin, actin binding protein	0	0	0	1	1
ANP32E	Acidic (leucine-rich) nuclear phosphoprotein 32 family, member E	1	1	1	0	0
ANXA1	Annexin A1	1	0	0	0	0
ANXA3	Annexin A3	0	0	0	1	0
ANXA7	Annexin A7	0	1	1	0	0
ANXA9	Annexin A9	1	1	1	0	0
AOC3	Amine oxidase, copper containing 3 (vascular adhesion protein 1)	1	0	0	0	0
AP2S1	Adaptor-related protein complex 2, sigma 1 subunit	0	1	1	0	0
AP3M2	Adaptor-related protein complex 3, mu 2 subunit	0	0	1	0	0
AP4M1	Adaptor-related protein complex 4, mu 1 subunit	0	0	0	1	0
APBB2	Amyloid beta (A4) precursor protein-binding, family B, member 2 (Fe65-like)	0	0	0	1	0
APH1B	Anterior pharynx defective 1 homolog B (C. elegans)	0	1	0	0	0
APITD1	Apoptosis-inducing, TAF9-like domain 1	0	0	0	1	0
APOBEC3B	Apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3B	0	0	0	1	0
APOD	Apolipoprotein D	1	1	1	0	0
APPL2	Adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 2	0	1	1	0	0
AQP1	Aquaporin 1 (Colton blood group)	1	0	0	0	0
AQP3	Aquaporin 3 (Gill blood group)	1	1	1	0	0
AQP7	Aquaporin 7	1	0	0	0	0
AR	Androgen receptor (dihydrotestosterone receptor; testicular feminization; spinal and bulbar muscular atrophy; Kennedy disease)	0	0	0	1	1
AREG	Amphiregulin (schwannoma-derived growth factor)	0	0	0	1	0
ARF1	ADP-ribosylation factor 1	0	0	0	1	0
ARFRP1	ADP-ribosylation factor related protein 1	0	1	1	0	0
ARHGDIB	Rho GDP dissociation inhibitor (GDI) beta	0	0	0	1	0
ARL2BP	ADP-ribosylation factor-like 2 binding protein	0	1	0	0	0
ARL6IP1	ADP-ribosylation factor-like 6 interacting protein 1	0	0	0	1	0
ARL6IP2	ADP-ribosylation factor-like 6 interacting protein 2	0	0	0	1	0
ARMC1	Armadillo repeat containing 1	1	0	0	0	0
ARMCX2	Armadillo repeat containing, X-linked 2	0	0	0	1	0
ARNT2	Aryl-hydrocarbon receptor nuclear translocator 2	1	0	0	1	0
ARPC1B	Actin related protein 2/3 complex, subunit 1B, 41kDa	0	0	0	1	0
ARPC5	Actin related protein 2/3 complex, subunit 5, 16kDa	1	1	1	0	0
ARPC5L	Actin related protein 2/3 complex, subunit 5-like	0	0	0	1	0
ARSA	Arylsulfatase A	0	0	1	0	0
AS3MT	Arsenic (+3 oxidation state) methyltransferase	0	1	1	0	0
ASAH1	N-acylsphingosine amidohydrolase (acid ceramidase) 1	0	1	1	0	0
ASB9	Ankyrin repeat and SOCS box-containing 9	0	0	0	1	0
ASF1A	ASF1 anti-silencing function 1 homolog A (S. cerevisiae)	0	1	1	1	1
ASH2L	Ash2 (absent, small, or homeotic)-like (Drosophila)	0	0	0	1	0
ASPHD1	Aspartate beta-hydroxylase domain containing 1	0	0	0	1	0
ASPM	Asp (abnormal spindle) homolog, microcephaly associated (Drosophila)	0	0	0	1	0
ASPN	Asporin	1	0	0	0	0
ASS1	Argininosuccinate synthetase 1	0	0	0	1	0
ATAD2	ATPase family, AAA domain containing 2	0	0	0	1	0
ATAD4	ATPase family, AAA domain containing 4	0	0	0	1	0
ATAD5	ATPase family, AAA domain containing 5	0	0	0	1	0
ATF5	Activating transcription factor 5	0	0	0	1	0
ATOX1	ATX1 antioxidant protein 1 homolog (yeast)	0	1	1	1	0
ATP2B1	ATPase, Ca++ transporting, plasma membrane 1	0	0	0	1	0
ATP2C2	ATPase, Ca++ transporting, type 2C, member 2	0	0	0	1	0
ATP5G1	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C1 (subunit 9)	0	1	0	1	0
ATP5O	ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (oligomycin sensitivity conferring protein)	0	0	0	1	0
ATP6AP1	ATPase, H+ transporting, lysosomal accessory protein 1	0	0	0	1	0
ATP6V0A4	ATPase, H+ transporting, lysosomal V0 subunit a4	0	0	0	1	0
ATP6V0B	ATPase, H+ transporting, lysosomal 21kDa, V0 subunit b	1	1	1	0	0
ATP6V1B1	ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B1 (Renal tubular acidosis with deafness)	0	1	1	0	0
ATP6V1B2	ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B2	0	0	0	1	0
ATP6V1G1	ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G1	0	1	1	0	0
ATP7B	ATPase, Cu++ transporting, beta polypeptide	1	0	0	0	0
ATP8A1	ATPase, aminophospholipid transporter (APLT), Class I, type 8A, member 1	1	0	0	0	0
ATPIF1	ATPase inhibitory factor 1	0	1	0	1	0
ATXN10	Ataxin 10	0	0	0	1	0
AURKA	Aurora kinase A	0	0	0	1	1
AVEN	Apoptosis, caspase activation inhibitor	0	0	0	0	1
AYTL1	Acyltransferase like 1	1	1	1	0	0
B3GNT5	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5	0	1	1	1	0
B4GALT1	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1	0	1	1	0	0
BACE2	Beta-site APP-cleaving enzyme 2	0	0	0	1	0
BAG1	BCL2-associated athanogene	0	0	0	1	1
BAG4	BCL2-associated athanogene 4	0	0	0	1	0
BAHCC1	BAH domain and coiled-coil containing 1	0	0	0	1	0
BAI2	Brain-specific angiogenesis inhibitor 2	0	0	0	1	0
BAMBI	BMP and activin membrane-bound inhibitor homolog (Xenopus laevis)	0	0	0	1	0
BCAM	Basal cell adhesion molecule (Lutheran blood group)	1	1	1	0	0
BCAS1	Breast carcinoma amplified sequence 1	0	0	0	1	0
BCL11A	B-cell CLL/lymphoma 11A (zinc finger protein)	0	0	0	0	1
BCL2	B-cell CLL/lymphoma 2	1	0	0	0	1
BCL2A1	BCL2-related protein A1	0	0	0	0	1
BCL2L14	BCL2-like 14 (apoptosis facilitator)	0	0	0	1	0
BECN1	Beclin 1 (coiled-coil, myosin-like BCL2 interacting protein)	0	1	1	0	0
BEST4	Bestrophin 4	0	0	0	1	0
BEX1	Brain expressed, X-linked 1	0	0	0	1	0
BEX2	Brain expressed X-linked 2	0	1	1	1	0
BFSP1	Beaded filament structural protein 1, filensin	0	0	0	1	0
BIK	BCL2-interacting killer (apoptosis-inducing)	0	0	0	1	0
BIRC2	Baculoviral IAP repeat-containing 2	0	0	0	1	0
BIRC5	Baculoviral IAP repeat-containing 5 (survivin)	0	0	0	0	1
BIVM	Basic, immunoglobulin-like variable motif containing	0	0	0	1	0
BLVRA	Biliverdin reductase A	0	1	1	1	1
BMI1	BMI1 polycomb ring finger oncogene	1	1	1	0	0
BMP4	Bone morphogenetic protein 4	1	1	1	0	0
BMP7	Bone morphogenetic protein 7 (osteogenic protein 1)	1	0	0	1	0
BOC	Boc homolog (mouse)	0	0	0	1	0
BRCA1	Breast cancer 1, early onset	0	0	0	1	0
BRF2	BRF2, subunit of RNA polymerase III transcription initiation factor, BRF1-like	0	0	0	1	0
BRI3	Brain protein I3	0	0	0	1	0
BRI3BP	BRI3 binding protein	0	0	0	1	0
BSDC1	BSD domain containing 1	0	0	0	1	0
BSPRY	B-box and SPRY domain containing	1	0	0	1	0
BST2	Bone marrow stromal cell antigen 2	1	1	1	0	0
BTF3	Basic transcription factor 3	0	0	0	1	0
BTG2	BTG family, member 2	1	0	0	0	0
BTG3	BTG family, member 3	0	1	1	1	1
BTN2A2	Butyrophilin, subfamily 2, member A2	0	0	0	1	0
BTN3A3	Butyrophilin, subfamily 3, member A3	1	1	1	0	0
BUB1	BUB1 budding uninhibited by benzimidazoles 1 homolog (yeast)	0	0	0	1	1
BUB3	BUB3 budding uninhibited by benzimidazoles 3 homolog (yeast)	0	0	0	1	0
BUD13	BUD13 homolog (S. cerevisiae)	0	0	0	1	0
BXDC1	Brix domain containing 1	0	0	0	1	0
