P value	Gene symbol	Descriptor
0.0038	EIF4G1	Eukaryotic translation initiation factor 4 gamma, 1
0.0086	PRIM2	primase, polypeptide 2A, 58 kDa
0.0021	POR	P450 (cytochrome) oxidoreductase
0.0002	FANCG	Fanconi anemia, complementation group G
0.0097	EXOSC7	Exosome component 7
0.0006	FDPS	Farnesyl diphosphate synthase (farnesyl pyrophosphate synthetase, dimethylallyltranstransferase, geranyltranstransferase)
0.002	C5orf4	Chromosome 5 open reading frame 4
0.0055	CDCA4	Cell division cycle associated 4
0.0099	H2AFV	H2A histone family, member V
0.0061	FABP3	Fatty acid binding protein 3, muscle and heart (mammary-derived growth inhibitor)
0.0027	CKLF	Chemokine-like factor
0.0014	MGC4308	Hypothetical protein MGC4308
0.0009	FADS1	Fatty acid desaturase 1
0.0061	SFTPB	Surfactant, pulmonary-associated protein B
0.0055	PLA2R1	Phospholipase A2 receptor 1, 180 kDa
0.0007	SELENBP1	Selenium binding protein 1
0.006	FARSB	Phenylalanine-tRNA synthetase-like, beta subunit
0.0054	MEF2D	MADS box transcription enhancer factor 2, polypeptide D (myocyte enhancer factor 2D)
0.0029	NUTF2	Nuclear transport factor 2
0.0098	ID3	Inhibitor of DNA binding 3, dominant negative helix-loop-helix protein
0.0087	ID2	Inhibitor of DNA binding 2, dominant negative helix-loop-helix protein
0.0069	PRG2	Proteoglycan 2, bone marrow
0.0001	H2AFX	H2A histone family, member X
0.0047	WSB1	WD repeat and SOCS box-containing 1
