Rank	High in	p-value	FDR (%)	Probe set ID	Gene Symbol	Gene Description
1	Neg	0.00000005	<.0001	242747_at	---	---
2	Neg	0.00000147	<.0001	205429_s_at	MPP6	membrane protein, palmitoylated 6 (MAGUK p55 subfamily member 6)
3	Neg	0.00000036	<.0001	221841_s_at	KLF4	Kruppel-like factor 4 (gut)
4	Pos	0.00000054	<.0001	209286_at	CDC42EP3	CDC42 effector protein (Rho GTPase binding) 3
5	Neg	0	<.0001	1564310_a_at	PARP15	poly (ADP-ribose) polymerase family, member 15
6	Neg	0.00000045	<.0001	201719_s_at	EPB41L2	erythrocyte membrane protein band 4.1-like 2
7	Pos	0.00000219	<.0001	218899_s_at	BAALC	brain and acute leukemia, cytoplasmic
8	Neg	0.00000101	<.0001	213358_at	KIAA0802	KIAA0802
9	Neg	0.000001	<.0001	1553380_at	PARP15	poly (ADP-ribose) polymerase family, member 15
10	Pos	0.00000077	<.0001	225685_at	---	CDNA FLJ31353 fis, clone MESAN2000264
11	Neg	0.00000042	<.0001	227336_at	DTX1	deltex homolog 1 (Drosophila)
12	Neg	0.00000032	<.0001	201718_s_at	EPB41L2	erythrocyte membrane protein band 4.1-like 2
13	Neg	0.0000006	<.0001	201710_at	MYBL2	v-myb myeloblastosis viral oncogene homolog (avian)-like 2
14	Pos	0.00000183	<.0001	207426_s_at	TNFSF4	tumor necrosis factor (ligand) superfamily, member 4 (tax-transcriptionally activated glycoprotein 1, 34kDa)
15	Neg	0.0000012	<.0001	219990_at	E2F8	E2F transcription factor 8
16	Pos	0.00000207	<.0001	213817_at	---	CDNA FLJ13601 fis, clone PLACE1010069
17	Pos	0.00001106	<.0001	220448_at	KCNK12	potassium channel, subfamily K, member 12
18	Pos	0.0000011	<.0001	232539_at	---	MRNA; cDNA DKFZp761H1023 (from clone DKFZp761H1023)
19	Neg	0.00000065	<.0001	225688_s_at	PHLDB2	pleckstrin homology-like domain, family B, member 2
20	Pos	0.00000546	<.0001	218589_at	P2RY5	purinergic receptor P2Y, G-protein coupled, 5
21	Neg	0.00000073	<.0001	204562_at	IRF4	interferon regulatory factor 4
22	Neg	0.00000016	<.0001	219032_x_at	OPN3	opsin 3
23	Pos	0.00000598	<.0001	242051_at	CD99	CD99 molecule
