Coordinate	Gene Symbol	Gene Name	Ratio	Category	Sub Category
A3i		Cyclin-dependent kinase 4 inhibitor 2D	2.04	Cell division	Cell-cycle regulators
A7d		Cytokeratin 1	2.26	Cell structure	Intermediate Filament Proteins
B3i		Caspase 9	4.11	Cell division	Cell-apoptosis
B7b		Chromatin assembly factor 1 p48 subunit	2.93	Cell division	Chromosome structure
B7j		Abelson-related gene	4.49	Tumor Suppressors	Oncogenes & Suppressors
C2e		DNA damage-inducible transcript 3	2.8	Cell division	Apoptosis-Associated Proteins
C2j		Ras associated with diabetes protein 1	2.47	Cell signaling	Intracellular transducers
C3e	RAD23	UV excision repair protein RAD23	5.15	Cell division	DNA synthesis/replication
C4b		Wingless-related MMTV integration 5a	3.09	Cell Adhesion	Extracellular Communication Proteins
C4k		Dishevelled homolog 1-like protein	4.13	Cell signaling	Intracellular Transducers
C7m		Retinoic acid receptor beta	5.47	Cell division	Death Receptors
D3e	VTN	Vitronectin (VTN);	2.36	Cell structure	Extracellular Matrix Proteins
D4j	ITGB7	Integrin beta 7 (ITGB7)	2.27	Cell Adhesion	Matrix Adhesion Receptors
D4k	ITGB8	Integrin beta 8 (ITGB8)	2.45	Cell Adhesion	Cell-Cell Adhesion Receptors
D5g	VIL2	Ezrin; cytovillin 2; villin 2 (VIL2)	3.06	Tumor Suppressors	Oncogenes & Tumor Suppressors
D6l		Caveolin 1	3.29	Metabolism	GTP/GDP Exchangers
E1h	MMP11	Matrix metalloproteinase 11 (MMP11)	4.64	Cell structure	Extracellular matrix Proteins
E1m	MMP16	Matrix metalloproteinase 16 (MMP16)	3.06	Protein modification	Metalloproteinases
E2b		Tissue inhibitor of metalloproteinase 1	3.82	Protein modification	Protease Inhibitors
E2h		Tissue-type plasminogen activator	4.39	Protein modification	Serine Proteases
E5b		RHO GDP-dissociation inihibitor 1	2.42	Metabolism	GTP/GDP Exchangers
E5h	CDH5	Cadherin 5 (CDH5);	2.64	Cell Adhesion	Cell-Cell Adhesion Receptors
F1h	BMP2A	Bone morphogenetic protein 2A (BMP2A)	12.45	Cell communication	Cytokines
F3j		Early growth response protein 1	16.06	RNA synthesis	Transcription Activators & Repressors
F4l	IL6	Interleukin 6 (IL6)	4.28	Cell communication	Interleukins & Interferons
F5e	IL13	Interleukin 13 (IL13)	2.62	Cell communication	Interleukins & Interferons
F5k	IFNG	Interferon gamma (IFN-gamma; IFNG)	6.04	Cell communication	Interleukins & Interferons
F5l		Leukocyte interferon-inducible peptide	2.73	Unclassified	Functionally Unclassified Proteins
A1j		Cell division cycle 25 homolog A	0.35	Cell division	Cell-cycle regulators
2m	CCND2	Cyclin D2 (CCND2)	0.34	Cell division	Cell-cycle regulators
A2n	CCND3	G1/S-specific cyclin D3 (CCND3)	0.3	Cell division	Cell-cycle regulators
A3k	PLK	Polo-like kinase (PLK)	0.47	Cell division	Cell Cycle-Regulating Kinases
D1m	COL6A2	Collagen VI alpha 2 subunit (COL6A2)	0.32	Cell communication	Extracellular Matrix Proteins
D2b	COL11A1	Collagen XI alpha 1 subunit (COL11A1)	0.17	Cell communication	Extracellular Matrix Proteins
D7e		Vascular endothelial growth factor C	0.11	Cell communication	Growth Factors,
