Category	Gene ID	Description	Gene symbol	Smokers/nonsmokers Fold up-regulated	Smokers/nonsmokers Fold down-regulated	p value2	Reference
Immune response and inflammation	HG4069;HT4339	Chemokine (C-C motif) ligand 2 (MCP-1)3	CCL2	4.9		0.002	[13, 18–20]
Immune response and inflammation	HG1723;HT1729	Macrophage scavenger receptor (scavenger receptor type A)	MSR1	3.6		0.025	13
Immune response and inflammation	M98399	CD36 antigen	CD36	2.4		0.043	13
Immune response and inflammation	HG1155;HT4822	Colony-stimulating factor 1	CSF1	2.3		0.041	21
Immune response and inflammation	X99133	Lipocalin 2	LCN2		7.2	0.042	[26–28]
Proteolysis/ antiproteolysis	L23808	Matrix metalloproteinase 12 (macrophage elastase)	MMP12	3.5		0.038	[6, 7, 22]
Proteolysis/ antiproteolysis	M11313	alpha2-macroglobulin	A2M	3.2		0.036	23
Antioxidant-related	X15722	Glutathione reductase	GSR	3.2		0.047	45
Antioxidant-related	X55448	Glucose-6-phosphate	G6PD	2.1		0.025	25
Antioxidant-related	U30255	Phosphogluconate	PGD	2.1		0.011	25
Regulation of transcription	M84820	beta-retinoid X receptor	RXRB	2.2		0.037	[38–40]
Extracellular matrix	Z26653	alpha 2-laminin	LAMA2		3.9	0.031	46
Other	L26336	70 kDa heat shock protein 2	HSPA2		3.8	0.045	[47, 48]
