Gene Symbol	Median Discordant	Median ZAP-CD38-	Median ZAP+CD38+
NA	227	95	375
CD38	59	65	185
STAT1	2270	2185	4440
AEBP1	1183	706	1570
SERPINF1	1576	1074	2313
MX1	2064	1889	3895
LTB	8057	9399	15967
TNFRSF7	6832	5556	8933
IF135	910	1006	1621
TAF12	502	417	678
NA	2692	2257	3670
TALDO1	2050	1873	3072
GRN	4411	5126	6992
TAP1	2139	2038	2907
ERH	4096	3904	5800
CUL7	726	598	981
PITPNA	974	768	1192
BST2	1958	2104	2760
KDELR2	1465	1327	1858
COX5A	2246	2208	2806
CD5	1311	949	1321
PSMB2	3185	3094	4126
RNH	3591	2799	3767
ALOX5	5253	6223	7513
PSMB9	4624	4358	6574
PSMB4	4741	4607	5975
CCT8	2934	2465	2816
PSMD9	2075	1682	2275
SOD1	5830	6051	7392
POLR2J	5402	4280	4972
LSS	579	837	722
RPL21	24139	26103	19866
HNRPA1	18690	14642	11879
CXCR4	24274	30538	14528
MXI1	3469	2317	1312
EIF5A	996	1928	841
NRIP1	172	483	110
