Probe ID	Gene Name	Description
217137_x_at	---	Kpni repeat mrna (cdna clone pcd-kpni-8), 3 end
215051_x_at	AIF1	allograft inflammatory factor 1
213095_x_at	AIF1	allograft inflammatory factor 1
209901_x_at	AIF1	allograft inflammatory factor 1
201012_at	ANXA1	annexin A1
209871_s_at	APBA2	amyloid beta (A4) precursor protein-binding, family A, member 2 (X11-like)
204561_x_at	APOC2	apolipoprotein C-II
205568_at	AQP9	aquaporin 9
203946_s_at	ARG2	arginase, type II
202207_at	ARL4C	ADP-ribosylation factor-like 4C
216144_at	ATXN7L1	Ataxin 7-like 1
212599_at	AUTS2	autism susceptibility candidate 2
217911_s_at	BAG3	BCL2-associated athanogene 3
219528_s_at	BCL11B	B-cell CLL/lymphoma 11B (zinc finger protein)
218992_at	C9orf46	chromosome 9 open reading frame 46
210691_s_at	CACYBP	calcyclin binding protein
207900_at	CCL17	chemokine (C-C motif) ligand 17
205114_s_at	CCL3	chemokine (C-C motif) ligand 3
204103_at	CCL4	chemokine (C-C motif) ligand 4
204655_at	CCL5	chemokine (C-C motif) ligand 5
1405_i_at	CCL5	chemokine (C-C motif) ligand 5
210031_at	CD247	CD247 molecule
211861_x_at	CD28	CD28 molecule
206545_at	CD28	CD28 molecule
217078_s_at	CD300A	CD300a molecule
213539_at	CD3D	CD3d molecule, delta (CD3-TCR complex)
206804_at	CD3G	CD3g molecule, gamma (CD3-TCR complex)
207892_at	CD40LG	CD40 ligand (TNF superfamily, member 5, hyper-IgM syndrome)
217523_at	CD44	CD44 molecule (Indian blood group)
206485_at	CD5	CD5 molecule
205173_x_at	CD58	CD58 molecule
211744_s_at	CD58	CD58 molecule
216942_s_at	CD58	CD58 molecule
208602_x_at	CD6	CD6 molecule
209795_at	CD69	CD69 molecule
214049_x_at	CD7	CD7 molecule
214551_s_at	CD7	CD7 molecule
205758_at	CD8A	CD8a molecule
215332_s_at	CD8B	CD8b molecule
207979_s_at	CD8B	CD8b molecule
206761_at	CD96	CD96 molecule
206380_s_at	CFP	complement factor properdin
210123_s_at	CHRNA7	cholinergic receptor, nicotinic, alpha 7
206682_at	CLEC10A	C-type lectin domain family 10, member A
209732_at	CLEC2B	C-type lectin domain family 2, member B
219529_at	CLIC3	chloride intracellular channel 3
201942_s_at	CPD	carboxypeptidase D
209967_s_at	CREM	cAMP responsive element modulator
206914_at	CRTAM	cytotoxic and regulatory T cell molecule
210140_at	CST7	cystatin F (leukocystatin)
221331_x_at	CTLA4	cytotoxic T-lymphocyte-associated protein 4
214450_at	CTSW	cathepsin W
207850_at	CXCL3	chemokine (C-X-C motif) ligand 3
217119_s_at	CXCR3	chemokine (C-X-C motif) receptor 3
207681_at	CXCR3	chemokine (C-X-C motif) receptor 3
221563_at	DUSP10	dual specificity phosphatase 10
204794_at	DUSP2	dual specificity phosphatase 2
204015_s_at	DUSP4	dual specificity phosphatase 4
204014_at	DUSP4	dual specificity phosphatase 4
205419_at	EBI2	Epstein-Barr virus induced gene 2 (lymphocyte-specific G protein-coupled receptor)
202735_at	EBP	emopamil binding protein (sterol isomerase)
204714_s_at	F5	coagulation factor V (proaccelerin, labile factor)
217967_s_at	FAM129A	family with sequence similarity 129, member A
217966_s_at	FAM129A	family with sequence similarity 129, member A
203240_at	FCGBP	Fc fragment of IgG binding protein
218532_s_at	FLJ20152	hypothetical protein FLJ20152
210607_at	FLT3LG	fms-related tyrosine kinase 3 ligand
218880_at	FOSL2	FOS-like antigen 2
212486_s_at	FYN	FYN oncogene related to SRC, FGR, YES
208868_s_at	GABARAPL1	GABA(A) receptor-associated protein like 1
204121_at	GADD45G	growth arrest and DNA-damage-inducible, gamma
204456_s_at	GAS1	growth arrest-specific 1
209604_s_at	GATA3	GATA binding protein 3
209602_s_at	GATA3	GATA binding protein 3
204224_s_at	GCH1	GTP cyclohydrolase 1 (dopa-responsive dystonia)
217167_x_at	GK	glycerol kinase
215977_x_at	GK	glycerol kinase
37145_at	GNLY	granulysin
205495_s_at	GNLY	granulysin
217771_at	GOLPH2	golgi phosphoprotein 2
207651_at	GPR171	G protein-coupled receptor 171
212070_at	GPR56	G protein-coupled receptor 56
205488_at	GZMA	granzyme A (granzyme 1, cytotoxic T-lymphocyte-associated serine esterase 3)
210164_at	GZMB	granzyme B (granzyme 2, cytotoxic T-lymphocyte-associated serine esterase 1)
210321_at	GZMH	granzyme H (cathepsin G-like 2, protein h-CCPX)
206666_at	GZMK	granzyme K (granzyme 3; tryptase II)
207460_at	GZMM	granzyme M (lymphocyte met-ase 1)
212291_at	HIPK1	homeodomain interacting protein kinase 1
203290_at	HLA-DQA1	major histocompatibility complex, class II, DQ alpha 1
221491_x_at	HLA-DRB1	major histocompatibility complex, class II, DR beta 1
213793_s_at	HOMER1	homer homolog 1 (Drosophila)
