mirNA Name	Harzard Ratio (95% Cl)	P	Adjusted/Unadjusted analysis
hsa-mir-25	0.46(0.28-0.75)	0.002	Unadjusted analysis
hsa-mir-191	0.52(0.33-0.80)	0.003	Unadjusted analysis
hsa-let-7e	0.46(0.27-0.80)	0.006	Unadjusted analysis
hsa-mir-34c	0.31(0.13-0.74)	0.008	Unadjusted analysis
hsa-mir-34a	0.47(0.26-0.84)	0.011	Unadjusted analysis
hsa-mir-25	0.44(0.27-0.72)	0.001	Adjusted analysis
hsa-mir-191	0.51(0.33-0.89)	0.003	Adjusted analysis
hsa-let-7e	0.45(0.26-0.79)	0.006	Adjusted analysis
hsa-mir-34c	0.32(0.13-0.77)	0.011	Adjusted analysis
hsa-mir-34a	0.48(0.27-0.85)	0.011	Adjusted analysis
