Rank	Parametric p-value	FDR	Geom mean of ratios in class 1	Geom mean of ratios in class 2	Fold-change	Unique id	Gene symbol
1	2.55E-05	0.4283914	2.985194	1.2762016	2.3391241	26836	HCRTR1
2	5.69E-05	0.4283914	4.6350325	1.3034161	3.556065	43409	CES2
5	9.53E-05	0.4283914	8.5685213	2.4326406	3.5223129	19374	THOC6
6	9.74E-05	0.4283914	3.3032403	1.0732124	3.0778998	11065	OPTC
8	0.0001107	0.4283914	6.9738266	1.7419691	4.0034158	25000	MMP3
9	0.0001145	0.4283914	2.1203161	1.0377621	2.0431619	15002	FLJ90231
13	0.000179	0.4283914	1.9602603	0.6006955	3.2633178	15589	IGLJ3
16	0.0002281	0.4283914	4.3504213	1.8130145	2.3995513	4705	MRCL3
31	0.0005764	0.4283914	4.1391416	1.8200715	2.2741643	30771	TRAPPC6A
34	0.0005971	0.4283914	2.6839761	1.0793427	2.4866765	44178	C11orf9
53	0.0008525	0.4283914	0.7031069	1.4964702	0.4698436	11796	FLJ43855
60	0.0009263	0.4283914	9.6401117	1.4392333	6.6980881	14826	CTA-246H3.1
78	0.0011305	0.4283914	2.9285821	0.9170844	3.1933615	40717	IGKV1D-13
79	0.0011537	0.4283914	2.9861585	1.0985281	2.7183268	38147	PLA2G6
83	0.0012428	0.4283914	2.1734014	1.0101557	2.1515508	4870	VPS16
95	0.001398	0.4283914	2.7367349	1.2299329	2.2251092	27090	ncRNA_ACA22_2_51
100	0.0014172	0.4283914	2.806998	0.9711134	2.8904945	42410	YAP1
101	0.0014246	0.4283914	2.7077866	1.0809749	2.5049486	1798	GABBR1
102	0.0014315	0.4283914	3.4288493	1.589062	2.1577819	17581	ASB16
107	0.0014657	0.4283914	2.3466958	0.9009623	2.6046548	40341	BIRC2
